
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.989	14.243	1024	100.000	20.950	49.553	21.447	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.967	14.216	1024	100.000	20.950	50.167	21.593	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/3/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/3/2021	08:39:10	0.00		248.79	249.56	---	---	13.347	13.347	---	---	1021.48	58.453	13.347	---	---	22.599	22.722	---	---	211.116	309.383	---	---	5.466	5.845	---	---	
8/3/2021	08:39:11	1.50		248.85	249.60	---	---	13.347	13.347	---	---	1021.45	58.453	13.347	---	---	22.596	22.720	---	---	211.140	309.433	---	---	5.463	5.827	---	---	
8/3/2021	08:39:13	3.00		248.84	249.51	---	---	13.351	13.351	---	---	1021.47	58.453	13.351	---	---	22.596	22.722	---	---	211.146	309.458	---	---	5.457	5.813	---	---	
8/3/2021	08:39:14	4.50		248.95	249.36	---	---	13.351	13.351	---	---	1021.46	58.453	13.351	---	---	22.591	22.729	---	---	211.199	309.526	---	---	5.469	5.828	---	---	
8/3/2021	08:39:16	6.00		248.96	249.29	---	---	13.351	13.351	---	---	1021.48	58.453	13.351	---	---	22.591	22.732	---	---	211.237	309.577	---	---	5.463	5.828	---	---	
8/3/2021	08:39:17	7.50		248.87	249.24	---	---	13.358	13.358	---	---	1021.49	58.453	13.358	---	---	22.592	22.732	---	---	211.286	309.617	---	---	5.467	5.832	---	---	
8/3/2021	08:39:19	9.00		248.66	249.25	---	---	13.362	13.362	---	---	1021.51	58.453	13.362	---	---	22.600	22.730	---	---	211.261	309.615	---	---	5.460	5.802	---	---	
8/3/2021	08:39:20	10.50		248.59	249.26	---	---	13.365	13.365	---	---	1021.51	58.453	13.365	---	---	22.602	22.728	---	---	211.266	309.580	---	---	5.466	5.796	---	---	
8/3/2021	08:39:22	12.00		248.69	249.33	---	---	13.351	13.351	---	---	1021.50	58.453	13.351	---	---	22.603	22.730	---	---	211.274	309.607	---	---	5.466	5.816	---	---	
8/3/2021	08:39:23	13.50		248.71	249.38	---	---	13.343	13.343	---	---	1021.52	58.453	13.343	---	---	22.604	22.730	---	---	211.300	309.632	---	---	5.464	5.835	---	---	
8/3/2021	08:39:25	15.00		248.64	249.29	---	---	13.347	13.347	---	---	1021.52	58.453	13.347	---	---	22.606	22.733	---	---	211.347	309.669	---	---	5.463	5.844	---	---	
8/3/2021	08:39:26	16.50		248.50	249.23	---	---	13.347	13.347	---	---	1021.52	58.453	13.347	---	---	22.612	22.736	---	---	211.371	309.705	---	---	5.463	5.832	---	---	
