
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	11.997	11.956	1009	100.000	20.950	53.587	21.413	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.017	11.968	1009	100.000	20.950	54.011	21.738	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/20/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/20/2021	08:08:58	0.00		229.94	228.42	---	---	14.003	14.003	---	---	1023.82	57.262	14.003	---	---	22.889	23.311	---	---	245.555	183.052	---	---	5.522	5.916	---	---	
7/20/2021	08:08:59	1.51		229.99	228.35	---	---	13.989	13.989	---	---	1023.83	57.262	13.989	---	---	22.891	23.320	---	---	246.127	183.207	---	---	5.508	5.916	---	---	
7/20/2021	08:09:00	2.40		229.97	228.17	---	---	13.985	13.985	---	---	1023.81	57.262	13.985	---	---	22.893	23.331	---	---	246.164	183.323	---	---	5.505	5.907	---	---	
7/20/2021	08:09:01	3.29		230.03	227.92	---	---	13.992	13.992	---	---	1023.80	57.262	13.992	---	---	22.888	23.342	---	---	246.188	183.438	---	---	5.504	5.909	---	---	
7/20/2021	08:09:02	4.18		230.00	227.73	---	---	13.999	13.999	---	---	1023.77	57.262	13.999	---	---	22.887	23.349	---	---	246.232	183.499	---	---	5.510	5.903	---	---	
7/20/2021	08:09:03	5.07		230.03	227.63	---	---	14.013	14.013	---	---	1023.79	57.262	14.013	---	---	22.881	23.349	---	---	246.253	183.525	---	---	5.516	5.910	---	---	
7/20/2021	08:09:04	5.98		229.98	227.51	---	---	14.027	14.027	---	---	1023.80	57.252	14.027	---	---	22.879	23.350	---	---	246.282	183.474	---	---	5.509	5.898	---	---	
7/20/2021	08:09:04	6.86		230.02	227.46	---	---	14.027	14.027	---	---	1023.80	57.242	14.027	---	---	22.876	23.353	---	---	245.946	183.481	---	---	5.509	5.905	---	---	
7/20/2021	08:09:05	7.75		229.98	227.37	---	---	14.028	14.028	---	---	1023.77	57.232	14.028	---	---	22.878	23.358	---	---	245.990	183.378	---	---	5.508	5.907	---	---	
7/20/2021	08:09:06	8.64		229.84	227.26	---	---	14.031	14.031	---	---	1023.71	57.232	14.031	---	---	22.884	23.362	---	---	246.203	182.891	---	---	5.505	5.907	---	---	
7/20/2021	08:09:07	9.59		229.52	227.11	---	---	14.038	14.038	---	---	1023.71	57.232	14.038	---	---	22.898	23.368	---	---	246.965	182.563	---	---	5.507	5.914	---	---	
7/20/2021	08:09:08	10.59		227.68	226.99	---	---	14.034	14.034	---	---	1023.73	57.232	14.034	---	---	22.995	23.375	---	---	248.579	182.362	---	---	5.507	5.916	---	---	
