
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.784	11.987	1020	100.000	20.950	47.948	22.040	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.831	11.985	1020	100.000	20.950	49.234	21.452	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/13/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/13/2021	12:02:54	0.00		230.59	228.39	---	---	12.009	12.009	---	---	1020.77	60.665	12.009	---	---	24.241	23.797	---	---	290.675	194.136	---	---	5.457	5.807	---	---	
7/13/2021	12:03:09	15.00		231.11	228.33	---	---	12.008	12.008	---	---	1020.76	60.642	12.008	---	---	24.217	23.800	---	---	290.377	194.256	---	---	5.485	5.820	---	---	
7/13/2021	12:03:24	30.00		231.22	228.54	---	---	12.012	12.012	---	---	1020.75	60.630	12.012	---	---	24.210	23.789	---	---	290.236	194.572	---	---	5.460	5.859	---	---	
7/13/2021	12:03:39	45.00		231.39	228.66	---	---	12.005	12.005	---	---	1020.72	60.637	12.005	---	---	24.205	23.785	---	---	290.183	194.827	---	---	5.476	5.796	---	---	
7/13/2021	12:03:54	60.00		231.30	228.65	---	---	12.012	12.012	---	---	1020.75	60.635	12.012	---	---	24.207	23.783	---	---	288.525	193.945	---	---	5.466	5.834	---	---	
7/13/2021	12:04:09	75.00		231.79	228.79	---	---	12.001	12.001	---	---	1020.68	60.635	12.001	---	---	24.187	23.780	---	---	288.670	192.348	---	---	5.483	5.814	---	---	
7/13/2021	12:04:24	90.00		232.05	228.95	---	---	12.002	12.002	---	---	1020.73	60.635	12.002	---	---	24.175	23.772	---	---	288.456	192.403	---	---	5.465	5.821	---	---	
7/13/2021	12:04:39	105.00		232.05	226.39	---	---	12.006	12.006	---	---	1020.72	60.635	12.006	---	---	24.173	23.895	---	---	288.389	194.069	---	---	5.474	5.833	---	---	
7/13/2021	12:04:54	120.00		232.33	227.32	---	---	12.006	12.006	---	---	1020.72	60.635	12.006	---	---	24.160	23.850	---	---	288.307	193.732	---	---	5.476	5.819	---	---	
7/13/2021	12:05:09	135.00		232.13	226.82	---	---	12.020	12.020	---	---	1020.73	60.635	12.020	---	---	24.165	23.869	---	---	288.427	193.388	---	---	5.471	5.822	---	---	
7/13/2021	12:05:24	150.00		231.85	226.85	---	---	12.013	12.013	---	---	1020.72	60.635	12.013	---	---	24.180	23.870	---	---	288.500	195.022	---	---	5.473	5.820	---	---	
7/13/2021	12:05:39	165.00		231.02	226.48	---	---	12.020	12.020	---	---	1020.75	60.645	12.020	---	---	24.217	23.886	---	---	288.839	194.716	---	---	5.466	5.810	---	---	
