7/21/2021/11:15 AM SW ver:OXY4v2_30
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230969
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100775
Frequency         : 006
Sending interval  : 0001
Averaging         : 8
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.26 at 012.6°C amp 011700
100.00%a.s.phase 2: 28.11 at 013.4°C amp 004800
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/21/2021;11:15:07 AM;0.00;88.410;29.660;3933.000;12.400;0.000
7/21/2021;11:15:09 AM;0.03;88.740;29.620;3933.000;12.400;0.000
7/21/2021;11:15:24 AM;0.28;88.170;29.690;3887.000;12.400;0.000
7/21/2021;11:15:39 AM;0.53;88.210;29.680;3831.000;12.400;0.000
7/21/2021;11:15:54 AM;0.78;88.800;29.610;3846.000;12.400;0.000
7/21/2021;11:16:09 AM;1.03;89.390;29.540;3961.000;12.400;0.000
7/21/2021;11:16:24 AM;1.28;89.770;29.490;4013.000;12.400;0.000
7/21/2021;11:16:39 AM;1.53;84.840;30.120;3963.000;12.400;0.000
7/21/2021;11:16:54 AM;1.78;82.320;30.460;4040.000;12.400;0.000
7/21/2021;11:17:09 AM;2.03;80.820;30.670;4072.000;12.400;0.000
7/21/2021;11:17:24 AM;2.28;80.540;30.710;4095.000;12.400;0.000
7/21/2021;11:17:39 AM;2.53;80.860;30.660;4098.000;12.400;0.000
7/21/2021;11:17:54 AM;2.78;79.450;30.860;4102.000;12.400;0.000
7/21/2021;11:18:09 AM;3.03;79.920;30.790;4083.000;12.400;0.000
7/21/2021;11:18:24 AM;3.28;80.070;30.770;4095.000;12.400;0.000
7/21/2021;11:18:39 AM;3.53;81.510;30.570;4099.000;12.400;0.000
