7/28/2021/8:39 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 101559
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.38 at 013.6°C amp 031500
100.00%a.s.phase 2: 28.78 at 013.7°C amp 014400
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/28/2021;8:39:02 AM;0.00;66.240;33.660;16244.000;12.800;0.000
7/28/2021;8:39:03 AM;0.02;66.270;33.650;16249.000;12.800;0.000
7/28/2021;8:39:04 AM;0.03;66.100;33.680;16260.000;12.800;0.000
7/28/2021;8:39:15 AM;0.22;64.660;33.940;16391.000;12.800;0.000
7/28/2021;8:39:30 AM;0.47;64.070;34.050;16483.000;12.800;0.000
7/28/2021;8:39:45 AM;0.72;63.360;34.180;16552.000;12.800;0.000
7/28/2021;8:40:00 AM;0.97;63.310;34.190;16585.000;12.800;0.000
7/28/2021;8:40:15 AM;1.22;62.930;34.260;17445.000;12.800;0.000
7/28/2021;8:40:30 AM;1.47;63.760;34.110;19951.000;12.800;0.000
7/28/2021;8:40:45 AM;1.72;65.730;33.750;21586.000;12.800;0.000
7/28/2021;8:41:00 AM;1.97;66.680;33.580;19345.000;12.800;0.000
7/28/2021;8:41:15 AM;2.22;68.650;33.240;18748.000;12.800;0.000
7/28/2021;8:41:30 AM;2.47;69.190;33.150;20997.000;12.800;0.000
7/28/2021;8:41:45 AM;2.72;70.270;32.970;23671.000;12.800;0.000
7/28/2021;8:42:00 AM;2.97;70.290;32.960;20877.000;12.800;0.000
7/28/2021;8:42:15 AM;3.22;70.380;32.950;15410.000;12.800;0.000
7/28/2021;8:42:30 AM;3.47;70.140;32.990;14156.000;12.800;0.000
7/28/2021;8:42:45 AM;3.72;70.100;33.000;14840.000;12.800;0.000
7/28/2021;8:43:00 AM;3.97;70.080;33.000;15479.000;12.800;0.000
7/28/2021;8:43:15 AM;4.22;70.310;32.960;15336.000;12.800;0.000
7/28/2021;8:43:30 AM;4.47;69.990;33.020;17065.000;12.800;0.000
7/28/2021;8:43:45 AM;4.72;70.370;32.950;17618.000;12.800;0.000
7/28/2021;8:44:00 AM;4.97;69.660;33.070;17710.000;12.800;0.000
7/28/2021;8:44:15 AM;5.22;69.080;33.170;17741.000;12.800;0.000
7/28/2021;8:44:30 AM;5.47;69.190;33.150;17746.000;12.800;0.000
7/28/2021;8:44:45 AM;5.72;69.660;33.070;17837.000;12.800;0.000
7/28/2021;8:45:00 AM;5.97;68.820;33.210;17533.000;12.800;0.000
7/28/2021;8:45:15 AM;6.22;69.110;33.160;17353.000;12.800;0.000
7/28/2021;8:45:30 AM;6.47;69.000;33.180;17453.000;12.800;0.000
7/28/2021;8:45:45 AM;6.72;68.470;33.270;17473.000;12.800;0.000
7/28/2021;8:46:00 AM;6.97;68.270;33.310;17358.000;12.800;0.000
7/28/2021;8:46:15 AM;7.22;68.780;33.220;17330.000;12.800;0.000
7/28/2021;8:46:30 AM;7.47;68.360;33.290;17596.000;12.800;0.000
7/28/2021;8:46:45 AM;7.72;67.410;33.450;17562.000;12.800;0.000
7/28/2021;8:47:00 AM;7.97;67.310;33.470;17463.000;12.800;0.000
7/28/2021;8:47:15 AM;8.22;67.560;33.430;17398.000;12.800;0.000
7/28/2021;8:47:30 AM;8.47;67.200;33.490;17441.000;12.800;0.000
7/28/2021;8:47:45 AM;8.72;67.170;33.500;17536.000;12.800;0.000
7/28/2021;8:48:00 AM;8.97;66.910;33.540;17588.000;12.800;0.000
7/28/2021;8:48:15 AM;9.22;66.880;33.550;17540.000;12.800;0.000
7/28/2021;8:48:30 AM;9.47;66.660;33.590;17440.000;12.800;0.000
7/28/2021;8:48:45 AM;9.72;66.340;33.640;17499.000;12.800;0.000
7/28/2021;8:49:00 AM;9.97;66.500;33.610;17546.000;12.800;0.000
7/28/2021;8:49:15 AM;10.22;66.210;33.670;17718.000;12.800;0.000
7/28/2021;8:49:30 AM;10.47;65.660;33.760;17561.000;12.800;0.000
7/28/2021;8:49:45 AM;10.72;66.070;33.690;17861.000;12.800;0.000
7/28/2021;8:50:00 AM;10.97;65.820;33.730;17716.000;12.800;0.000
