8/3/2021/8:21 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 102298
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.95 at 014.5°C amp 025700
100.00%a.s.phase 2: 28.72 at 014.2°C amp 012900
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/3/2021;8:21:27 AM;0.00;82.430;31.070;15416.000;13.300;0.000
8/3/2021;8:21:28 AM;0.02;83.310;30.950;14903.000;13.300;0.000
8/3/2021;8:21:29 AM;0.05;82.470;31.060;15463.000;13.300;0.000
8/3/2021;8:21:38 AM;0.19;82.510;31.060;15177.000;13.300;0.000
8/3/2021;8:21:53 AM;0.44;82.050;31.120;15216.000;13.300;0.000
8/3/2021;8:22:08 AM;0.69;81.780;31.160;15157.000;13.300;0.000
8/3/2021;8:22:23 AM;0.94;80.270;31.370;15435.000;13.300;0.000
8/3/2021;8:22:38 AM;1.19;80.190;31.380;15220.000;13.300;0.000
8/3/2021;8:22:53 AM;1.44;79.610;31.460;15527.000;13.300;0.000
8/3/2021;8:23:08 AM;1.69;79.980;31.410;15260.000;13.300;0.000
8/3/2021;8:23:23 AM;1.94;79.360;31.500;15455.000;13.300;0.000
8/3/2021;8:23:38 AM;2.19;79.050;31.540;15536.000;13.300;0.000
8/3/2021;8:23:53 AM;2.44;78.650;31.600;15302.000;13.300;0.000
8/3/2021;8:24:08 AM;2.69;79.390;31.500;15414.000;13.300;0.000
8/3/2021;8:24:23 AM;2.94;79.620;31.460;15468.000;13.300;0.000
8/3/2021;8:24:38 AM;3.19;78.810;31.580;15095.000;13.300;0.000
8/3/2021;8:24:53 AM;3.44;79.330;31.500;15156.000;13.300;0.000
8/3/2021;8:25:08 AM;3.69;79.290;31.510;15120.000;13.300;0.000
8/3/2021;8:25:23 AM;3.94;78.460;31.630;14914.000;13.300;0.000
8/3/2021;8:25:38 AM;4.19;77.850;31.720;15030.000;13.300;0.000
8/3/2021;8:25:53 AM;4.44;77.280;31.800;14969.000;13.300;0.000
8/3/2021;8:26:08 AM;4.69;77.770;31.730;15186.000;13.300;0.000
8/3/2021;8:26:23 AM;4.94;77.720;31.740;14831.000;13.300;0.000
8/3/2021;8:26:38 AM;5.19;77.610;31.750;15004.000;13.300;0.000
8/3/2021;8:26:53 AM;5.44;77.170;31.820;14965.000;13.300;0.000
8/3/2021;8:27:08 AM;5.69;77.390;31.790;14951.000;13.300;0.000
8/3/2021;8:27:23 AM;5.94;76.390;31.940;15040.000;13.300;0.000
8/3/2021;8:27:38 AM;6.19;76.060;31.990;14950.000;13.300;0.000
8/3/2021;8:27:53 AM;6.44;76.490;31.920;15094.000;13.300;0.000
8/3/2021;8:28:08 AM;6.69;74.940;32.160;15254.000;13.300;0.000
8/3/2021;8:28:23 AM;6.94;73.550;32.370;15267.000;13.300;0.000
8/3/2021;8:28:38 AM;7.19;73.240;32.420;15525.000;13.300;0.000
8/3/2021;8:28:53 AM;7.44;74.230;32.270;15271.000;13.300;0.000
8/3/2021;8:29:08 AM;7.69;72.970;32.470;15453.000;13.300;0.000
8/3/2021;8:29:23 AM;7.94;72.480;32.540;15966.000;13.300;0.000
8/3/2021;8:29:38 AM;8.19;72.630;32.520;15856.000;13.300;0.000
8/3/2021;8:29:53 AM;8.44;72.330;32.570;16104.000;13.300;0.000
8/3/2021;8:30:08 AM;8.69;71.100;32.770;16130.000;13.300;0.000
8/3/2021;8:30:23 AM;8.94;72.000;32.620;16179.000;13.300;0.000
8/3/2021;8:30:38 AM;9.19;73.350;32.410;15799.000;13.300;0.000
8/3/2021;8:30:53 AM;9.44;73.700;32.350;15901.000;13.300;0.000
8/3/2021;8:31:08 AM;9.69;73.430;32.390;15860.000;13.300;0.000
8/3/2021;8:31:23 AM;9.94;73.670;32.360;15621.000;13.300;0.000
8/3/2021;8:31:38 AM;10.19;72.950;32.470;15656.000;13.300;0.000
8/3/2021;8:31:53 AM;10.44;72.890;32.480;15980.000;13.300;0.000
8/3/2021;8:32:08 AM;10.69;72.710;32.510;15858.000;13.300;0.000
8/3/2021;8:32:23 AM;10.94;72.750;32.500;15834.000;13.300;0.000
8/3/2021;8:32:38 AM;11.19;73.010;32.460;15905.000;13.300;0.000
8/3/2021;8:32:53 AM;11.44;73.170;32.430;15762.000;13.300;0.000
8/3/2021;8:33:08 AM;11.69;73.440;32.390;15681.000;13.300;0.000
8/3/2021;8:33:23 AM;11.94;72.400;32.560;15534.000;13.300;0.000
8/3/2021;8:33:38 AM;12.19;68.210;33.250;16140.000;13.300;0.000
