7/28/2021/8:39 AM SW ver:OXY4v2_30
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230969
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 101465
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.18 at 013.6°C amp 010100
100.00%a.s.phase 2: 28.53 at 013.7°C amp 004600
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/28/2021;8:39:01 AM;0.00;88.450;30.060;4470.000;12.800;0.000
7/28/2021;8:39:03 AM;0.02;88.240;30.090;4479.000;12.800;0.000
7/28/2021;8:39:14 AM;0.21;89.780;29.900;4472.000;12.800;0.000
7/28/2021;8:39:29 AM;0.46;89.770;29.900;4480.000;12.800;0.000
7/28/2021;8:39:44 AM;0.71;88.650;30.040;4106.000;12.800;0.000
7/28/2021;8:39:59 AM;0.96;84.570;30.570;4223.000;12.800;0.000
7/28/2021;8:40:14 AM;1.21;71.280;32.530;4467.000;12.800;0.000
7/28/2021;8:40:29 AM;1.46;63.820;33.820;4681.000;12.800;0.000
7/28/2021;8:40:44 AM;1.71;61.690;34.220;4756.000;12.800;0.000
7/28/2021;8:40:59 AM;1.96;60.750;34.400;4789.000;12.800;0.000
7/28/2021;8:41:14 AM;2.21;60.760;34.400;4810.000;12.800;0.000
7/28/2021;8:41:29 AM;2.46;58.890;34.760;4825.000;12.800;0.000
7/28/2021;8:41:44 AM;2.71;59.460;34.650;4822.000;12.800;0.000
7/28/2021;8:41:59 AM;2.96;60.490;34.450;4796.000;12.800;0.000
7/28/2021;8:42:14 AM;3.21;61.610;34.230;4773.000;12.800;0.000
7/28/2021;8:42:29 AM;3.46;62.830;34.000;4733.000;12.800;0.000
7/28/2021;8:42:44 AM;3.71;63.650;33.850;4701.000;12.800;0.000
7/28/2021;8:42:59 AM;3.96;65.750;33.470;4671.000;12.800;0.000
7/28/2021;8:43:14 AM;4.21;65.390;33.530;4637.000;12.800;0.000
7/28/2021;8:43:29 AM;4.46;65.890;33.440;4633.000;12.800;0.000
7/28/2021;8:43:44 AM;4.71;66.150;33.400;4635.000;12.800;0.000
7/28/2021;8:43:59 AM;4.96;66.310;33.370;4622.000;12.800;0.000
7/28/2021;8:44:14 AM;5.21;66.540;33.330;4624.000;12.800;0.000
7/28/2021;8:44:29 AM;5.46;66.190;33.390;4606.000;12.800;0.000
7/28/2021;8:44:44 AM;5.71;66.160;33.390;4617.000;12.800;0.000
7/28/2021;8:44:59 AM;5.96;66.690;33.300;4612.000;12.800;0.000
7/28/2021;8:45:14 AM;6.21;65.870;33.450;4611.000;12.800;0.000
7/28/2021;8:45:29 AM;6.46;66.320;33.370;4612.000;12.800;0.000
7/28/2021;8:45:44 AM;6.71;67.160;33.220;4611.000;12.800;0.000
7/28/2021;8:45:59 AM;6.96;67.220;33.210;4625.000;12.800;0.000
7/28/2021;8:46:14 AM;7.21;67.200;33.210;4625.000;12.800;0.000
7/28/2021;8:46:29 AM;7.46;65.460;33.520;4619.000;12.800;0.000
7/28/2021;8:46:44 AM;7.71;65.440;33.520;4637.000;12.800;0.000
7/28/2021;8:46:59 AM;7.96;65.620;33.490;4634.000;12.800;0.000
7/28/2021;8:47:14 AM;8.21;65.210;33.560;4644.000;12.800;0.000
7/28/2021;8:47:29 AM;8.46;65.670;33.480;4637.000;12.800;0.000
7/28/2021;8:47:44 AM;8.71;65.690;33.480;4644.000;12.800;0.000
7/28/2021;8:47:59 AM;8.96;65.730;33.470;4644.000;12.800;0.000
7/28/2021;8:48:14 AM;9.21;64.370;33.720;4658.000;12.800;0.000
7/28/2021;8:48:29 AM;9.46;64.940;33.610;4656.000;12.800;0.000
7/28/2021;8:48:44 AM;9.71;65.700;33.480;4670.000;12.800;0.000
7/28/2021;8:48:59 AM;9.96;65.070;33.590;4667.000;12.800;0.000
7/28/2021;8:49:14 AM;10.21;64.370;33.720;4681.000;12.800;0.000
7/28/2021;8:49:29 AM;10.46;64.680;33.660;4675.000;12.800;0.000
7/28/2021;8:49:44 AM;10.71;64.460;33.700;4676.000;12.800;0.000
7/28/2021;8:49:59 AM;10.96;64.500;33.690;4698.000;12.800;0.000
7/28/2021;8:50:14 AM;11.21;64.520;33.690;4696.000;12.800;0.000
7/28/2021;8:50:29 AM;11.46;64.030;33.780;4692.000;12.800;0.000
7/28/2021;8:50:44 AM;11.71;63.510;33.880;4719.000;12.800;0.000
7/28/2021;8:50:59 AM;11.96;62.960;33.980;4700.000;12.800;0.000
7/28/2021;8:51:14 AM;12.21;62.610;34.040;4712.000;12.800;0.000
7/28/2021;8:51:29 AM;12.46;63.150;33.940;4712.000;12.800;0.000
7/28/2021;8:51:44 AM;12.71;63.230;33.930;4738.000;12.800;0.000
7/28/2021;8:51:59 AM;12.96;62.680;34.030;4731.000;12.800;0.000
7/28/2021;8:52:14 AM;13.21;62.600;34.040;4741.000;12.800;0.000
7/28/2021;8:52:29 AM;13.46;62.230;34.110;4745.000;12.800;0.000
7/28/2021;8:52:44 AM;13.71;61.840;34.190;4754.000;12.800;0.000
7/28/2021;8:52:59 AM;13.96;61.120;34.330;4769.000;12.800;0.000
7/28/2021;8:53:14 AM;14.21;61.780;34.200;4774.000;12.800;0.000
7/28/2021;8:53:29 AM;14.46;61.240;34.300;4789.000;12.800;0.000
7/28/2021;8:53:44 AM;14.71;61.170;34.320;4794.000;12.800;0.000
7/28/2021;8:53:59 AM;14.96;59.900;34.560;4802.000;12.800;0.000
7/28/2021;8:54:14 AM;15.21;60.150;34.520;4788.000;12.800;0.000
7/28/2021;8:54:29 AM;15.46;60.070;34.530;4814.000;12.800;0.000
7/28/2021;8:54:44 AM;15.71;60.460;34.450;4814.000;12.800;0.000
7/28/2021;8:54:59 AM;15.96;59.840;34.580;4822.000;12.800;0.000
7/28/2021;8:55:14 AM;16.21;59.240;34.700;4817.000;12.800;0.000
7/28/2021;8:55:29 AM;16.46;59.560;34.630;4825.000;12.800;0.000
7/28/2021;8:55:44 AM;16.71;59.200;34.700;4844.000;12.800;0.000
7/28/2021;8:55:59 AM;16.96;59.320;34.680;4844.000;12.800;0.000
7/28/2021;8:56:14 AM;17.21;59.330;34.680;4844.000;12.800;0.000
7/28/2021;8:56:29 AM;17.46;58.450;34.850;4869.000;12.800;0.000
7/28/2021;8:56:44 AM;17.71;57.420;35.060;4869.000;12.800;0.000
7/28/2021;8:56:59 AM;17.96;58.670;34.810;4867.000;12.800;0.000
