7/20/2021/8:14 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 102378
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.59 at 012.6°C amp 020400
100.00%a.s.phase 2: 28.17 at 012.6°C amp 010500
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/20/2021;8:14:48 AM;0.00;71.660;31.860;13305.000;12.700;0.000
7/20/2021;8:14:48 AM;0.01;75.290;31.220;7875.000;14.200;0.000
7/20/2021;8:14:49 AM;0.02;74.900;31.280;7865.000;14.200;0.000
7/20/2021;8:14:50 AM;0.03;75.230;31.230;7853.000;14.200;0.000
7/20/2021;8:14:51 AM;0.05;69.800;31.850;13289.000;14.200;0.000
7/20/2021;8:14:52 AM;0.07;69.890;31.830;13218.000;14.200;0.000
7/20/2021;8:14:53 AM;0.09;69.320;31.930;13286.000;14.200;0.000
7/20/2021;8:15:04 AM;0.26;69.770;31.850;13236.000;14.200;0.000
7/20/2021;8:15:19 AM;0.51;69.610;31.880;13241.000;14.200;0.000
7/20/2021;8:15:34 AM;0.76;68.970;31.990;13274.000;14.200;0.000
7/20/2021;8:15:49 AM;1.01;68.440;32.080;13332.000;14.200;0.000
7/20/2021;8:16:04 AM;1.26;68.460;32.070;13366.000;14.200;0.000
7/20/2021;8:16:19 AM;1.51;68.510;32.060;13331.000;14.200;0.000
7/20/2021;8:16:34 AM;1.76;68.180;32.120;13337.000;14.200;0.000
7/20/2021;8:16:49 AM;2.01;68.390;32.080;13364.000;14.200;0.000
7/20/2021;8:17:04 AM;2.26;67.740;32.190;13274.000;14.200;0.000
7/20/2021;8:17:19 AM;2.51;67.910;32.160;13254.000;14.200;0.000
7/20/2021;8:17:34 AM;2.76;67.900;32.170;13262.000;14.200;0.000
7/20/2021;8:17:49 AM;3.01;67.610;32.220;13249.000;14.200;0.000
7/20/2021;8:18:04 AM;3.26;67.740;32.190;13286.000;14.200;0.000
7/20/2021;8:18:19 AM;3.51;67.930;32.160;13277.000;14.200;0.000
7/20/2021;8:18:34 AM;3.76;67.800;32.180;13261.000;14.200;0.000
