7/13/2021/12:05 PM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 102624
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.29 at 013.2°C amp 029000
100.00%a.s.phase 2: 28.67 at 012.1°C amp 012800
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/13/2021;12:05:28 PM;0.00;83.260;30.670;9298.000;12.300;0.000
7/13/2021;12:05:28 PM;0.01;85.150;30.630;30575.000;12.000;0.000
7/13/2021;12:05:29 PM;0.02;84.520;30.720;30591.000;12.000;0.000
7/13/2021;12:05:31 PM;0.06;83.100;30.750;9311.000;12.000;0.000
7/13/2021;12:05:39 PM;0.20;83.300;30.720;9302.000;12.000;0.000
7/13/2021;12:05:54 PM;0.45;82.880;30.780;9305.000;12.000;0.000
7/13/2021;12:06:09 PM;0.70;83.310;30.720;9315.000;12.000;0.000
7/13/2021;12:06:24 PM;0.95;83.040;30.760;9346.000;12.000;0.000
7/13/2021;12:06:39 PM;1.20;82.820;30.790;9324.000;12.000;0.000
7/13/2021;12:06:54 PM;1.45;82.260;30.860;9311.000;12.000;0.000
7/13/2021;12:07:09 PM;1.70;82.250;30.870;9330.000;12.000;0.000
7/13/2021;12:07:24 PM;1.95;82.560;30.820;9337.000;12.000;0.000
7/13/2021;12:07:39 PM;2.20;82.210;30.870;9368.000;12.000;0.000
7/13/2021;12:07:54 PM;2.45;81.850;30.920;9350.000;12.000;0.000
7/13/2021;12:08:09 PM;2.70;81.630;30.950;9380.000;12.000;0.000
7/13/2021;12:08:24 PM;2.95;81.430;30.980;9400.000;12.000;0.000
7/13/2021;12:08:39 PM;3.20;81.600;30.960;9380.000;12.000;0.000
7/13/2021;12:08:54 PM;3.45;80.560;31.100;9361.000;12.000;0.000
7/13/2021;12:09:09 PM;3.70;82.060;30.890;9364.000;12.000;0.000
7/13/2021;12:09:24 PM;3.95;81.610;30.950;9392.000;12.000;0.000
7/13/2021;12:09:39 PM;4.20;82.190;30.870;9369.000;12.000;0.000
7/13/2021;12:09:54 PM;4.45;81.830;30.920;9378.000;12.000;0.000
7/13/2021;12:10:09 PM;4.70;81.880;30.920;9362.000;12.000;0.000
7/13/2021;12:10:24 PM;4.95;81.890;30.920;9366.000;12.000;0.000
7/13/2021;12:10:39 PM;5.20;81.780;30.930;9377.000;12.000;0.000
7/13/2021;12:10:54 PM;5.45;82.610;30.820;9380.000;12.000;0.000
