
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.936	13.416	1020	100.000	20.950	49.869	21.905	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.934	13.447	1020	100.000	20.950	49.466	21.607	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/28/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/28/2021	18:25:10	0.00		252.08	236.57	---	---	12.712	12.712	---	---	1020.50	51.563	12.712	---	---	23.008	23.406	---	---	178.354	163.492	---	---	5.481	5.908	---	---	
7/28/2021	18:25:25	15.00		252.96	217.78	---	---	12.708	12.708	---	---	1020.48	51.563	12.708	---	---	22.970	24.331	---	---	178.075	173.152	---	---	5.495	5.887	---	---	
7/28/2021	18:25:40	30.00		252.75	220.62	---	---	12.736	12.736	---	---	1020.49	51.563	12.736	---	---	22.970	24.177	---	---	177.855	171.795	---	---	5.477	5.872	---	---	
7/28/2021	18:25:55	45.00		254.97	225.34	---	---	12.723	12.723	---	---	1020.46	51.563	12.723	---	---	22.877	23.944	---	---	176.932	155.816	---	---	5.477	5.861	---	---	
7/28/2021	18:26:10	60.00		223.44	226.81	---	---	12.805	12.805	---	---	1020.45	51.563	12.805	---	---	24.329	23.843	---	---	190.528	169.439	---	---	5.475	5.862	---	---	
7/28/2021	18:26:25	75.00		220.30	232.06	---	---	12.757	12.757	---	---	1020.45	51.540	12.757	---	---	24.506	23.604	---	---	191.718	167.561	---	---	5.502	5.901	---	---	
7/28/2021	18:26:40	90.00		216.91	224.27	---	---	12.725	12.725	---	---	1020.48	51.540	12.725	---	---	24.693	23.997	---	---	193.581	170.945	---	---	5.473	5.856	---	---	
7/28/2021	18:26:55	105.00		218.26	221.39	---	---	12.735	12.735	---	---	1020.49	51.520	12.735	---	---	24.618	24.138	---	---	192.864	172.064	---	---	5.482	5.867	---	---	
7/28/2021	18:27:10	120.00		220.41	223.08	---	---	12.746	12.746	---	---	1020.43	51.510	12.746	---	---	24.504	24.049	---	---	192.091	171.013	---	---	5.483	5.868	---	---	
7/28/2021	18:27:25	135.00		222.06	223.53	---	---	12.760	12.760	---	---	1020.48	51.479	12.760	---	---	24.415	24.022	---	---	191.198	170.884	---	---	5.489	5.885	---	---	
7/28/2021	18:27:40	150.00		218.76	223.29	---	---	12.752	12.752	---	---	1020.48	51.449	12.752	---	---	24.587	24.036	---	---	192.789	170.951	---	---	5.480	5.868	---	---	
7/28/2021	18:27:55	165.00		216.91	221.11	---	---	12.749	12.749	---	---	1020.50	51.428	12.749	---	---	24.684	24.147	---	---	193.705	171.729	---	---	5.479	5.907	---	---	
