
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	30.000	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	30.000	60%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	30.000	60%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	30.000	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.405	14.290	1023	100.000	20.950	51.411	22.734	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.374	14.279	1023	100.000	20.950	50.869	22.600	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.568	12.565	1018	100.000	20.950	54.412	22.176	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.493	12.581	1019	100.000	20.950	52.588	24.343	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/3/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/3/2021	08:15:03	0.00		257.40	216.97	---	---	13.115	13.115	13.115	13.115	1020.53	57.667	13.115	---	---	23.617	25.438	178.209	174.688	216.829	213.115	4.537	4.185	2.835	3.701	22.476	26.493	
8/3/2021	08:15:18	15.00		257.89	217.30	---	---	13.105	13.105	13.105	13.105	1020.50	57.697	13.105	---	---	23.599	25.424	178.268	175.070	217.427	213.221	4.520	4.190	2.817	3.711	27.150	32.122	
8/3/2021	08:15:33	30.00		257.82	217.01	---	---	13.115	13.115	13.115	13.115	1020.50	57.728	13.115	---	---	23.598	25.435	178.074	174.545	217.959	213.129	4.465	4.188	2.829	3.688	26.270	31.263	
8/3/2021	08:15:48	45.00		257.92	217.85	---	---	13.112	13.112	13.112	13.112	1020.49	57.728	13.112	---	---	23.595	25.392	178.486	174.751	217.471	212.676	4.515	4.194	2.855	3.724	26.264	31.266	
8/3/2021	08:16:03	60.00		257.55	218.63	---	---	13.157	13.157	13.157	13.157	1020.55	57.728	13.157	---	---	23.596	25.334	178.510	174.798	217.226	212.192	4.517	4.189	2.804	3.694	13.846	15.488	
8/3/2021	08:16:18	75.00		257.40	217.92	---	---	13.189	13.189	13.189	13.189	1020.51	57.781	13.189	---	---	23.591	25.360	178.218	174.647	217.522	212.418	4.498	4.232	2.833	3.726	24.105	28.349	
8/3/2021	08:16:33	90.00		257.07	219.71	---	---	13.195	13.195	13.195	13.195	1020.50	57.781	13.195	---	---	23.604	25.264	178.579	175.057	211.544	210.863	4.539	4.174	2.820	3.713	26.068	31.151	
8/3/2021	08:16:48	105.00		257.40	220.41	---	---	13.189	13.189	13.189	13.189	1020.50	57.781	13.189	---	---	23.591	25.229	178.191	174.904	210.988	210.697	4.491	4.206	2.790	3.700	26.403	31.493	
8/3/2021	08:17:03	120.00		238.88	220.43	---	---	13.213	13.213	13.213	13.213	1020.51	57.781	13.213	---	---	24.448	25.220	178.392	174.997	216.557	210.601	4.528	4.206	2.807	3.711	26.435	31.576	
8/3/2021	08:17:18	135.00		221.21	220.83	---	---	13.223	13.223	13.223	13.223	1020.51	57.781	13.223	---	---	25.337	25.195	177.868	174.745	226.403	210.355	4.491	4.184	2.806	3.702	26.063	31.312	
8/3/2021	08:17:33	150.00		220.06	220.27	---	---	13.253	13.253	13.253	13.253	1020.54	57.781	13.253	---	---	25.387	25.214	178.111	174.696	224.046	210.108	4.490	4.189	2.794	3.698	25.745	30.896	
8/3/2021	08:17:48	165.00		221.31	220.19	---	---	13.242	13.242	13.242	13.242	1020.53	57.761	13.242	---	---	25.325	25.222	178.266	175.186	223.233	210.302	4.507	4.240	2.829	3.707	25.047	29.767	
8/3/2021	08:18:03	180.00		221.45	219.19	---	---	13.238	13.238	13.238	13.238	1020.52	57.751	13.238	---	---	25.319	25.276	178.142	174.765	223.108	210.869	4.525	4.192	2.787	3.715	24.608	29.796	
8/3/2021	08:18:18	195.00		222.13	219.50	---	---	13.232	13.232	13.232	13.232	1020.49	57.751	13.232	---	---	25.286	25.261	178.688	174.856	223.180	210.686	4.519	4.190	2.808	3.680	25.229	30.309	
