
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.300	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	25.000	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.521	12.569	1017	100.000	20.950	58.878	21.485	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.521	12.557	1017	100.000	20.950	55.048	22.252	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/29/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/29/2021	11:44:19	0.00		273.30	266.62	---	---	12.566	12.566	---	---	1017.09	61.001	12.566	---	---	21.578	22.636	---	---	480.847	595.169	---	---	6.327	6.716	---	---	
7/29/2021	11:44:34	15.00		272.34	268.96	---	---	12.562	12.562	---	---	1017.05	61.001	12.562	---	---	21.624	22.533	---	---	484.150	599.045	---	---	6.031	6.643	---	---	
7/29/2021	11:44:49	30.00		271.99	273.87	---	---	12.551	12.551	---	---	1017.03	61.001	12.551	---	---	21.643	22.321	---	---	484.286	614.356	---	---	6.198	6.596	---	---	
7/29/2021	11:45:04	45.00		273.45	273.74	---	---	12.553	12.553	---	---	1017.07	60.968	12.553	---	---	21.577	22.326	---	---	476.915	614.198	---	---	7.336	6.615	---	---	
7/29/2021	11:45:19	60.00		274.47	274.05	---	---	12.551	12.551	---	---	1017.05	60.947	12.551	---	---	21.531	22.313	---	---	483.705	613.954	---	---	8.343	6.609	---	---	
7/29/2021	11:45:34	75.00		276.27	274.06	---	---	12.560	12.560	---	---	1017.04	60.917	12.560	---	---	21.447	22.309	---	---	477.422	613.652	---	---	6.434	6.564	---	---	
7/29/2021	11:45:49	90.00		273.81	273.85	---	---	12.558	12.558	---	---	1017.06	60.917	12.558	---	---	21.558	22.320	---	---	488.746	613.789	---	---	6.148	6.664	---	---	
7/29/2021	11:46:04	105.00		272.30	273.46	---	---	12.559	12.559	---	---	1017.07	60.917	12.559	---	---	21.626	22.336	---	---	490.746	615.075	---	---	6.138	6.601	---	---	
7/29/2021	11:46:19	120.00		271.62	272.85	---	---	12.566	12.566	---	---	1017.01	61.306	12.566	---	---	21.655	22.360	---	---	491.403	615.843	---	---	6.154	6.647	---	---	
7/29/2021	11:46:34	135.00		271.41	272.21	---	---	12.567	12.567	---	---	1017.07	61.321	12.567	---	---	21.664	22.388	---	---	492.036	617.180	---	---	6.118	6.538	---	---	
7/29/2021	11:46:49	150.00		268.10	271.82	---	---	12.571	12.571	---	---	1017.06	61.217	12.571	---	---	21.815	22.403	---	---	496.160	617.472	---	---	6.162	6.577	---	---	
7/29/2021	11:47:04	165.00		267.65	271.31	---	---	12.569	12.569	---	---	1017.06	61.113	12.569	---	---	21.837	22.427	---	---	496.650	618.245	---	---	6.174	6.598	---	---	
