
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.208	13.308	1019	100.000	20.950	50.414	21.813	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.198	13.313	1019	100.000	20.950	51.939	22.683	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.179	13.316	1019	100.000	20.950	51.313	22.657	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.171	13.317	1019	100.000	20.950	49.197	21.306	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/19/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/19/2021	11:54:29	0.00		231.59	217.59	233.17	205.78	12.767	12.767	12.767	12.767	1016.34	63.458	12.767	---	---	23.834	25.510	24.650	24.589	126.468	113.348	94.386	128.376	5.601	6.015	4.869	5.369	
8/19/2021	11:54:44	15.00		232.17	218.67	225.95	206.16	12.766	12.766	12.766	12.766	1016.29	63.458	12.766	---	---	23.805	25.452	25.019	24.569	127.466	113.117	95.105	126.577	5.558	5.977	4.862	5.411	
8/19/2021	11:54:59	30.00		231.01	217.57	206.70	208.24	12.776	12.776	12.776	12.776	1016.27	63.488	12.776	---	---	23.859	25.508	26.052	24.453	109.759	112.967	101.535	128.151	5.566	5.980	4.846	5.374	
8/19/2021	11:55:14	45.00		218.25	216.71	206.98	208.19	12.787	12.787	12.787	12.787	1016.27	63.488	12.787	---	---	24.502	25.551	26.032	24.453	128.478	113.357	101.228	128.279	5.557	6.012	4.873	5.430	
8/19/2021	11:55:29	60.00		218.35	216.75	208.16	208.04	12.785	12.785	12.785	12.785	1016.27	63.488	12.785	---	---	24.497	25.549	25.966	24.461	128.784	113.289	100.954	128.318	5.582	6.001	4.861	5.454	
8/19/2021	11:55:44	75.00		217.69	216.21	209.15	208.17	12.789	12.789	12.789	12.789	1016.29	63.519	12.789	---	---	24.531	25.577	25.909	24.453	128.936	113.386	100.629	128.266	5.560	6.013	4.851	5.392	
8/19/2021	11:55:59	90.00		216.92	216.63	209.68	208.17	12.795	12.795	12.795	12.795	1016.24	63.549	12.795	---	---	24.569	25.552	25.877	24.450	129.389	113.290	100.520	128.280	5.517	6.022	4.848	5.389	
8/19/2021	11:56:14	105.00		215.77	215.82	209.79	208.01	12.794	12.794	12.794	12.794	1016.26	63.572	12.794	---	---	24.630	25.597	25.871	24.460	129.765	113.316	100.527	128.341	5.549	6.000	4.844	5.316	
8/19/2021	11:56:29	120.00		215.01	215.04	209.26	207.95	12.797	12.797	12.797	12.797	1016.22	63.602	12.797	---	---	24.669	25.639	25.900	24.462	129.727	113.607	100.545	128.356	5.559	5.992	4.878	5.384	
8/19/2021	11:56:44	135.00		213.71	214.80	209.57	208.11	12.806	12.806	12.806	12.806	1016.31	63.602	12.806	---	---	24.736	25.648	25.879	24.450	130.088	113.735	100.555	128.297	5.580	6.040	4.868	5.409	
8/19/2021	11:56:59	150.00		212.81	214.46	209.28	207.55	12.805	12.805	12.805	12.805	1016.24	63.572	12.805	---	---	24.784	25.668	25.896	24.481	130.321	113.732	100.599	128.407	5.563	6.037	4.850	5.416	
8/19/2021	11:57:14	165.00		212.14	213.70	209.06	207.05	12.800	12.800	12.800	12.800	1016.30	63.572	12.800	---	---	24.822	25.711	25.909	24.509	130.504	114.087	100.582	128.579	5.549	5.998	4.865	5.422	
8/19/2021	11:57:29	180.00		211.51	212.49	209.16	207.28	12.805	12.805	12.805	12.805	1016.29	63.602	12.805	---	---	24.854	25.777	25.903	24.495	130.634	114.284	100.595	128.524	5.565	5.965	4.859	5.463	
