8/11/2021/3:41 PM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 100079
Frequency         : 006
Sending interval  : 0001
Averaging         : 8
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.73 at 013.7°C amp 014100
100.00%a.s.phase 2: 28.18 at 013.3°C amp 004800
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/11/2021;3:41:47 PM;0.00;76.770;31.160;7580.000;13.100;0.000
8/11/2021;3:41:48 PM;0.02;76.430;31.210;7742.000;13.100;0.000
8/11/2021;3:41:49 PM;0.05;75.600;31.330;7520.000;13.100;0.000
8/11/2021;3:41:51 PM;0.07;77.160;31.100;7443.000;13.100;0.000
8/11/2021;3:41:52 PM;0.09;75.960;31.280;7727.000;13.100;0.000
8/11/2021;3:42:06 PM;0.33;77.270;31.080;6238.000;13.100;0.000
8/11/2021;3:42:21 PM;0.58;77.960;30.980;6344.000;13.100;0.000
8/11/2021;3:42:36 PM;0.83;78.830;30.860;6186.000;13.100;0.000
8/11/2021;3:42:51 PM;1.08;78.290;30.940;6185.000;13.100;0.000
8/11/2021;3:43:06 PM;1.33;77.980;30.980;6161.000;13.100;0.000
8/11/2021;3:43:21 PM;1.58;78.600;30.890;5849.000;13.100;0.000
8/11/2021;3:43:36 PM;1.83;78.520;30.900;6212.000;13.100;0.000
8/11/2021;3:43:51 PM;2.08;77.640;31.030;6209.000;13.100;0.000
8/11/2021;3:44:06 PM;2.33;80.000;30.690;6257.000;13.100;0.000
