8/19/2021/11:52 AM SW ver:OXY4v2_30
Header Ch-3
Description: 
IDENTIFICATION
PHIboard number   : v1230971
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 064
Ref LED amplitude : 104101
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.92 at 014.4°C amp 006000
100.00%a.s.phase 2: 27.73 at 013.3°C amp 002500
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/19/2021;11:52:03 AM;0.00;85.300;29.570;1738.000;12.700;0.000
8/19/2021;11:52:04 AM;0.02;85.020;29.610;1727.000;12.700;0.000
8/19/2021;11:52:06 AM;0.05;83.480;29.810;1969.000;12.700;0.000
8/19/2021;11:52:16 AM;0.21;95.410;28.340;1974.000;12.700;0.000
8/19/2021;11:52:31 AM;0.46;87.010;29.350;1703.000;12.700;0.000
8/19/2021;11:52:46 AM;0.71;89.740;29.010;1678.000;12.700;0.000
8/19/2021;11:53:01 AM;0.96;85.940;29.490;2041.000;12.700;0.000
8/19/2021;11:53:16 AM;1.21;87.770;29.260;1769.000;12.700;0.000
8/19/2021;11:53:31 AM;1.46;88.430;29.180;1763.000;12.700;0.000
8/19/2021;11:53:46 AM;1.71;89.100;29.090;1762.000;12.700;0.000
8/19/2021;11:54:01 AM;1.96;86.370;29.440;1755.000;12.700;0.000
8/19/2021;11:54:16 AM;2.21;87.610;29.280;1750.000;12.700;0.000
8/19/2021;11:54:31 AM;2.46;84.960;29.620;1750.000;12.700;0.000
8/19/2021;11:54:46 AM;2.71;86.370;29.440;1752.000;12.700;0.000
8/19/2021;11:55:01 AM;2.96;88.120;29.210;1743.000;12.700;0.000
8/19/2021;11:55:16 AM;3.21;84.680;29.650;1758.000;12.700;0.000
8/19/2021;11:55:31 AM;3.46;84.300;29.710;1752.000;12.700;0.000
8/19/2021;11:55:46 AM;3.71;85.710;29.520;1777.000;12.700;0.000
8/19/2021;11:56:01 AM;3.96;86.250;29.450;1764.000;12.700;0.000
8/19/2021;11:56:16 AM;4.21;86.180;29.460;1765.000;12.700;0.000
8/19/2021;11:56:31 AM;4.46;84.690;29.650;1771.000;12.700;0.000
8/19/2021;11:56:46 AM;4.71;85.190;29.590;1771.000;12.700;0.000
8/19/2021;11:57:01 AM;4.96;83.220;29.850;1764.000;12.700;0.000
8/19/2021;11:57:16 AM;5.21;83.650;29.790;1770.000;12.700;0.000
8/19/2021;11:57:31 AM;5.46;87.650;29.270;1778.000;12.700;0.000
8/19/2021;11:57:46 AM;5.71;84.750;29.650;1776.000;12.700;0.000
8/19/2021;11:58:01 AM;5.96;83.870;29.760;1756.000;12.700;0.000
8/19/2021;11:58:16 AM;6.21;83.150;29.860;1770.000;12.700;0.000
8/19/2021;11:58:31 AM;6.46;83.750;29.780;1770.000;12.700;0.000
8/19/2021;11:58:46 AM;6.71;85.940;29.490;1781.000;12.700;0.000
8/19/2021;11:59:01 AM;6.96;85.000;29.610;1768.000;12.700;0.000
8/19/2021;11:59:16 AM;7.21;84.900;29.630;1780.000;12.700;0.000
8/19/2021;11:59:31 AM;7.46;84.120;29.730;1777.000;12.700;0.000
8/19/2021;11:59:46 AM;7.71;82.930;29.890;1781.000;12.700;0.000
8/19/2021;12:00:01 PM;7.96;83.920;29.760;1773.000;12.700;0.000
8/19/2021;12:00:16 PM;8.21;82.110;30.000;1771.000;12.700;0.000
8/19/2021;12:00:31 PM;8.46;84.820;29.640;1792.000;12.700;0.000
8/19/2021;12:00:46 PM;8.71;81.930;30.020;1778.000;12.700;0.000
8/19/2021;12:01:01 PM;8.96;86.260;29.450;1789.000;12.700;0.000
8/19/2021;12:01:16 PM;9.21;83.600;29.800;1789.000;12.700;0.000
8/19/2021;12:01:31 PM;9.46;83.390;29.830;1797.000;12.700;0.000
8/19/2021;12:01:46 PM;9.71;83.700;29.780;1792.000;12.700;0.000
8/19/2021;12:02:01 PM;9.96;83.340;29.830;1797.000;12.700;0.000
8/19/2021;12:02:15 PM;10.21;80.580;30.210;1796.000;12.700;0.000
8/19/2021;12:02:31 PM;10.46;83.690;29.790;1798.000;12.700;0.000
