
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.411	13.505	1019	100.000	20.950	49.953	22.236	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.430	13.488	1019	100.000	20.950	49.541	21.880	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/26/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/26/2021	08:59:43	0.00		228.12	219.61	---	---	16.664	16.664	---	---	1019.46	60.617	16.664	---	---	23.132	23.185	---	---	184.255	168.308	---	---	5.490	5.851	---	---	
7/26/2021	08:59:58	15.00		228.05	220.81	---	---	16.660	16.660	---	---	1019.48	60.596	16.660	---	---	23.137	23.126	---	---	184.050	167.908	---	---	5.476	5.867	---	---	
7/26/2021	09:00:13	30.00		228.12	221.28	---	---	16.660	16.660	---	---	1019.46	60.648	16.660	---	---	23.134	23.103	---	---	184.250	167.759	---	---	5.479	5.859	---	---	
7/26/2021	09:00:28	45.00		228.57	220.57	---	---	16.613	16.613	---	---	1019.53	60.658	16.613	---	---	23.127	23.153	---	---	184.235	168.078	---	---	5.486	5.866	---	---	
7/26/2021	09:00:43	60.00		228.44	221.82	---	---	16.631	16.631	---	---	1019.51	60.650	16.631	---	---	23.127	23.085	---	---	184.214	167.499	---	---	5.473	5.866	---	---	
7/26/2021	09:00:58	75.00		228.32	220.05	---	---	16.651	16.651	---	---	1019.47	60.668	16.651	---	---	23.127	23.167	---	---	184.141	168.194	---	---	5.493	5.843	---	---	
7/26/2021	09:01:13	90.00		227.93	218.74	---	---	16.711	16.711	---	---	1019.46	60.688	16.711	---	---	23.127	23.214	---	---	184.167	168.629	---	---	5.489	5.881	---	---	
7/26/2021	09:01:28	105.00		228.08	217.57	---	---	16.684	16.684	---	---	1019.49	60.688	16.684	---	---	23.128	23.282	---	---	184.152	169.158	---	---	5.491	5.864	---	---	
7/26/2021	09:01:43	120.00		227.87	215.52	---	---	16.687	16.687	---	---	1019.52	60.688	16.687	---	---	23.137	23.386	---	---	184.210	170.009	---	---	5.477	5.840	---	---	
7/26/2021	09:01:58	135.00		227.65	214.71	---	---	16.746	16.746	---	---	1019.49	60.688	16.746	---	---	23.129	23.409	---	---	184.186	170.186	---	---	5.474	5.853	---	---	
7/26/2021	09:02:13	150.00		227.64	214.81	---	---	16.761	16.761	---	---	1019.54	60.688	16.761	---	---	23.125	23.400	---	---	184.130	170.063	---	---	5.496	5.867	---	---	
7/26/2021	09:02:28	165.00		227.66	214.44	---	---	16.757	16.757	---	---	1019.52	60.719	16.757	---	---	23.125	23.420	---	---	184.149	170.195	---	---	5.475	5.814	---	---	
7/26/2021	09:02:43	180.00		227.55	214.29	---	---	16.769	16.769	---	---	1019.49	60.749	16.769	---	---	23.126	23.424	---	---	184.115	170.258	---	---	5.480	5.843	---	---	
7/26/2021	09:02:58	195.00		227.49	214.38	---	---	16.794	16.794	---	---	1019.48	60.749	16.794	---	---	23.121	23.411	---	---	184.123	170.224	---	---	5.473	5.860	---	---	
7/26/2021	09:03:13	210.00		227.35	214.52	---	---	16.822	16.822	---	---	1019.51	60.749	16.822	---	---	23.119	23.395	---	---	184.114	169.915	---	---	5.490	5.897	---	---	
7/26/2021	09:03:28	225.00		226.86	214.18	---	---	16.874	16.874	---	---	1019.48	60.780	16.874	---	---	23.126	23.396	---	---	184.117	170.027	---	---	5.483	5.873	---	---	
7/26/2021	09:03:43	240.00		226.65	211.63	---	---	16.887	16.887	---	---	1019.48	60.780	16.887	---	---	23.132	23.525	---	---	184.091	171.057	---	---	5.494	5.901	---	---	
7/26/2021	09:03:58	255.00		226.52	215.10	---	---	16.905	16.905	---	---	1019.50	60.780	16.905	---	---	23.132	23.338	---	---	184.107	169.475	---	---	5.483	5.871	---	---	
7/26/2021	09:04:13	270.00		226.26	213.48	---	---	16.929	16.929	---	---	1019.48	60.780	16.929	---	---	23.138	23.414	---	---	184.107	170.091	---	---	5.487	5.858	---	---	
7/26/2021	09:04:28	285.00		226.17	213.26	---	---	16.951	16.951	---	---	1019.45	60.795	16.951	---	---	23.135	23.419	---	---	184.109	170.185	---	---	5.506	5.843	---	---	
7/26/2021	09:04:43	300.00		226.08	213.94	---	---	17.004	17.004	---	---	1019.44	60.795	17.004	---	---	23.123	23.366	---	---	184.013	169.808	---	---	5.484	5.870	---	---	
7/26/2021	09:04:58	315.00		226.08	214.81	---	---	16.962	16.962	---	---	1019.51	60.802	16.962	---	---	23.136	23.335	---	---	184.070	169.478	---	---	5.491	5.861	---	---	
7/26/2021	09:05:13	330.00		225.83	215.04	---	---	16.994	16.994	---	---	1019.50	60.802	16.994	---	---	23.138	23.313	---	---	184.082	169.305	---	---	5.489	5.828	---	---	
7/26/2021	09:05:28	345.00		226.36	214.82	---	---	16.955	16.955	---	---	1019.47	60.802	16.955	---	---	23.125	23.337	---	---	184.039	169.447	---	---	5.469	5.835	---	---	
7/26/2021	09:05:43	360.00		226.37	214.44	---	---	16.948	16.948	---	---	1019.46	60.729	16.948	---	---	23.127	23.358	---	---	184.064	169.634	---	---	5.470	5.813	---	---	
7/26/2021	09:05:58	375.00		226.10	214.32	---	---	16.980	16.980	---	---	1019.49	60.739	16.980	---	---	23.129	23.354	---	---	184.060	169.615	---	---	5.483	5.878	---	---	
7/26/2021	09:06:13	390.00		226.10	214.43	---	---	16.998	16.998	---	---	1019.50	60.749	16.998	---	---	23.123	23.342	---	---	184.061	169.462	---	---	5.462	5.848	---	---	
7/26/2021	09:06:28	405.00		225.79	214.43	---	---	17.033	17.033	---	---	1019.47	60.749	17.033	---	---	23.128	23.332	---	---	184.033	169.522	---	---	5.476	5.826	---	---	
7/26/2021	09:06:43	420.00		226.19	214.41	---	---	16.978	16.978	---	---	1019.48	60.719	16.978	---	---	23.125	23.350	---	---	183.872	169.503	---	---	5.476	5.863	---	---	
7/26/2021	09:06:58	435.00		225.82	214.32	---	---	17.027	17.027	---	---	1019.49	60.719	17.027	---	---	23.128	23.339	---	---	183.966	169.456	---	---	5.496	5.874	---	---	
7/26/2021	09:07:13	450.00		225.92	214.47	---	---	17.058	17.058	---	---	1019.46	60.719	17.058	---	---	23.113	23.322	---	---	183.944	169.270	---	---	5.482	5.851	---	---	
7/26/2021	09:07:28	465.00		225.70	213.99	---	---	17.073	17.073	---	---	1019.48	60.688	17.073	---	---	23.120	23.342	---	---	183.948	169.414	---	---	5.494	5.837	---	---	
7/26/2021	09:07:43	480.00		225.50	213.31	---	---	17.117	17.117	---	---	1019.49	60.688	17.117	---	---	23.115	23.363	---	---	183.996	169.545	---	---	5.475	5.871	---	---	
7/26/2021	09:07:58	495.00		225.52	213.06	---	---	17.097	17.097	---	---	1019.47	60.688	17.097	---	---	23.121	23.382	---	---	183.946	169.810	---	---	5.481	5.805	---	---	
7/26/2021	09:08:13	510.00		225.26	213.04	---	---	17.146	17.146	---	---	1019.51	60.688	17.146	---	---	23.117	23.367	---	---	183.912	169.316	---	---	5.482	5.873	---	---	
7/26/2021	09:08:28	525.00		224.98	213.26	---	---	17.160	17.160	---	---	1019.51	60.658	17.160	---	---	23.127	23.352	---	---	183.910	169.463	---	---	5.475	5.889	---	---	
7/26/2021	09:08:43	540.00		224.69	212.81	---	---	17.209	17.209	---	---	1019.43	60.671	17.209	---	---	23.126	23.359	---	---	183.777	169.596	---	---	5.487	5.865	---	---	
7/26/2021	09:08:58	555.00		224.59	212.52	---	---	17.254	17.254	---	---	1019.41	60.696	17.254	---	---	23.116	23.360	---	---	183.899	169.573	---	---	5.492	5.879	---	---	
7/26/2021	09:09:13	570.00		224.57	212.92	---	---	17.230	17.230	---	---	1019.50	60.696	17.230	---	---	23.125	23.347	---	---	184.075	169.535	---	---	5.489	5.903	---	---	
7/26/2021	09:09:28	585.00		224.61	212.94	---	---	17.220	17.220	---	---	1019.53	60.696	17.220	---	---	23.126	23.350	---	---	181.686	168.149	---	---	5.506	5.880	---	---	
7/26/2021	09:09:43	600.00		224.75	213.72	---	---	17.207	17.207	---	---	1019.52	60.696	17.207	---	---	23.123	23.313	---	---	181.644	167.858	---	---	5.501	5.913	---	---	
7/26/2021	09:09:58	615.00		224.63	213.16	---	---	17.235	17.235	---	---	1019.46	60.696	17.235	---	---	23.121	23.333	---	---	181.653	168.004	---	---	5.496	5.885	---	---	
7/26/2021	09:10:13	630.00		224.43	213.18	---	---	17.232	17.232	---	---	1019.45	60.696	17.232	---	---	23.131	23.333	---	---	181.628	168.017	---	---	5.493	5.871	---	---	
7/26/2021	09:10:28	645.00		224.67	213.38	---	---	17.225	17.225	---	---	1019.52	60.696	17.225	---	---	23.122	23.324	---	---	181.662	167.833	---	---	5.488	5.878	---	---	
7/26/2021	09:10:43	660.00		224.43	212.87	---	---	17.245	17.245	---	---	1019.47	60.696	17.245	---	---	23.127	23.344	---	---	181.668	168.105	---	---	5.502	5.865	---	---	
7/26/2021	09:10:58	675.00		224.31	212.21	---	---	17.249	17.249	---	---	1019.53	60.665	17.249	---	---	23.132	23.378	---	---	181.650	168.353	---	---	5.494	5.897	---	---	
7/26/2021	09:11:13	690.00		224.88	212.30	---	---	17.177	17.177	---	---	1019.49	60.675	17.177	---	---	23.127	23.396	---	---	181.601	168.515	---	---	5.486	5.905	---	---	
7/26/2021	09:11:28	705.00		225.28	213.02	---	---	17.128	17.128	---	---	1019.57	60.696	17.128	---	---	23.122	23.375	---	---	182.061	168.302	---	---	5.481	5.860	---	---	
7/26/2021	09:11:43	720.00		225.77	212.99	---	---	17.056	17.056	---	---	1019.46	60.704	17.056	---	---	23.121	23.399	---	---	181.992	168.379	---	---	5.475	5.894	---	---	
7/26/2021	09:11:58	735.00		225.88	212.41	---	---	17.039	17.039	---	---	1019.53	60.719	17.039	---	---	23.121	23.435	---	---	182.203	164.753	---	---	5.504	5.887	---	---	
7/26/2021	09:12:13	750.00		225.04	210.27	---	---	17.146	17.146	---	---	1019.47	60.719	17.146	---	---	23.128	23.513	---	---	181.823	164.639	---	---	5.494	5.867	---	---	
7/26/2021	09:12:28	765.00		226.76	213.38	---	---	16.885	16.885	---	---	1019.46	60.625	16.885	---	---	23.128	23.434	---	---	181.744	164.800	---	---	5.493	5.869	---	---	
7/26/2021	09:12:43	780.00		227.97	214.03	---	---	16.740	16.740	---	---	1019.45	60.574	16.740	---	---	23.115	23.447	---	---	181.695	166.716	---	---	5.482	5.848	---	---	
7/26/2021	09:12:58	795.00		228.60	214.21	---	---	16.643	16.643	---	---	1019.48	60.551	16.643	---	---	23.116	23.469	---	---	181.728	166.891	---	---	5.473	5.863	---	---	
7/26/2021	09:13:13	810.00		228.89	214.27	---	---	16.593	16.593	---	---	1019.53	60.520	16.593	---	---	23.118	23.482	---	---	181.670	166.907	---	---	5.472	5.829	---	---	
7/26/2021	09:13:28	825.00		229.39	216.70	---	---	16.521	16.521	---	---	1019.52	60.490	16.521	---	---	23.117	23.380	---	---	181.742	166.207	---	---	5.479	5.885	---	---	
7/26/2021	09:13:43	840.00		229.90	215.59	---	---	16.442	16.442	---	---	1019.59	60.459	16.442	---	---	23.118	23.462	---	---	181.651	166.755	---	---	5.496	5.883	---	---	
7/26/2021	09:13:58	855.00		230.49	214.40	---	---	16.344	16.344	---	---	1019.53	60.459	16.344	---	---	23.121	23.556	---	---	181.624	167.411	---	---	5.495	5.869	---	---	
7/26/2021	09:14:13	870.00		231.20	214.08	---	---	16.251	16.251	---	---	1019.51	60.449	16.251	---	---	23.117	23.603	---	---	181.649	167.796	---	---	5.477	5.871	---	---	
7/26/2021	09:14:28	885.00		230.91	214.68	---	---	16.266	16.266	---	---	1019.50	60.429	16.266	---	---	23.127	23.567	---	---	181.657	167.616	---	---	5.487	5.871	---	---	
7/26/2021	09:14:43	900.00		231.63	216.18	---	---	16.171	16.171	---	---	1019.45	60.429	16.171	---	---	23.123	23.521	---	---	181.677	167.193	---	---	5.478	5.828	---	---	
7/26/2021	09:14:58	915.00		231.30	218.36	---	---	16.210	16.210	---	---	1019.52	60.375	16.210	---	---	23.126	23.396	---	---	181.639	166.635	---	---	5.468	5.853	---	---	
7/26/2021	09:15:13	930.00		248.57	233.56	---	---	13.798	13.798	---	---	1019.47	60.345	13.798	---	---	23.126	23.450	---	---	181.730	167.308	---	---	5.484	5.864	---	---	
7/26/2021	09:15:28	945.00		255.77	241.19	---	---	12.910	12.910	---	---	1019.47	60.345	12.910	---	---	23.112	23.396	---	---	181.676	167.104	---	---	5.497	5.873	---	---	
7/26/2021	09:15:43	960.00		256.67	241.76	---	---	12.785	12.785	---	---	1019.49	60.345	12.785	---	---	23.117	23.413	---	---	181.766	166.606	---	---	5.475	5.832	---	---	
7/26/2021	09:15:58	975.00		256.71	241.41	---	---	12.768	12.768	---	---	1019.49	60.284	12.768	---	---	23.120	23.435	---	---	181.765	166.912	---	---	5.477	5.836	---	---	
