
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	11.997	11.956	1009	100.000	20.950	53.587	21.413	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.017	11.968	1009	100.000	20.950	54.011	21.738	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/27/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/27/2021	08:00:05	0.00		130.60	135.22	---	---	12.432	12.432	---	---	1019.70	58.765	12.432	---	---	30.350	30.335	---	---	250.737	231.352	---	---	5.489	5.815	---	---	
7/27/2021	08:00:06	1.02		130.54	135.16	---	---	12.432	12.432	---	---	1019.72	58.775	12.432	---	---	30.356	30.341	---	---	250.755	231.402	---	---	5.502	5.843	---	---	
7/27/2021	08:00:06	1.89		130.56	135.16	---	---	12.425	12.425	---	---	1019.67	58.786	12.425	---	---	30.356	30.343	---	---	250.758	231.472	---	---	5.500	5.866	---	---	
7/27/2021	08:00:08	3.00		130.54	135.17	---	---	12.432	12.432	---	---	1019.64	58.796	12.432	---	---	30.356	30.339	---	---	250.746	231.424	---	---	5.501	5.873	---	---	
7/27/2021	08:00:08	3.87		130.58	135.13	---	---	12.432	12.432	---	---	1019.69	58.796	12.432	---	---	30.352	30.343	---	---	250.748	231.451	---	---	5.490	5.855	---	---	
7/27/2021	08:00:09	4.79		130.50	135.03	---	---	12.449	12.449	---	---	1019.70	58.796	12.449	---	---	30.353	30.345	---	---	250.764	231.437	---	---	5.478	5.835	---	---	
7/27/2021	08:00:10	5.77		130.50	134.94	---	---	12.449	12.449	---	---	1019.73	58.796	12.449	---	---	30.353	30.353	---	---	250.791	231.451	---	---	5.472	5.813	---	---	
7/27/2021	08:00:11	6.77		130.49	134.88	---	---	12.453	12.453	---	---	1019.71	58.796	12.453	---	---	30.352	30.358	---	---	250.815	231.471	---	---	5.479	5.846	---	---	
7/27/2021	08:00:12	7.77		130.55	134.88	---	---	12.450	12.450	---	---	1019.72	58.796	12.450	---	---	30.349	30.359	---	---	250.794	231.489	---	---	5.488	5.849	---	---	
7/27/2021	08:00:13	8.77		130.57	134.90	---	---	12.443	12.443	---	---	1019.72	58.796	12.443	---	---	30.349	30.360	---	---	250.735	231.499	---	---	5.485	5.864	---	---	
7/27/2021	08:00:14	9.77		130.60	134.97	---	---	12.442	12.442	---	---	1019.69	58.796	12.442	---	---	30.346	30.353	---	---	250.714	231.493	---	---	5.472	5.842	---	---	
7/27/2021	08:00:15	10.93		130.71	135.11	---	---	12.425	12.425	---	---	1019.72	58.796	12.425	---	---	30.343	30.347	---	---	250.702	231.484	---	---	5.471	5.850	---	---	
7/27/2021	08:00:17	12.83		130.75	135.21	---	---	12.415	12.415	---	---	1019.69	58.804	12.415	---	---	30.343	30.343	---	---	250.710	231.461	---	---	5.468	5.864	---	---	
7/27/2021	08:00:18	13.70		130.80	135.20	---	---	12.408	12.408	---	---	1019.75	58.811	12.408	---	---	30.341	30.346	---	---	250.701	231.436	---	---	5.480	5.859	---	---	
7/27/2021	08:00:19	14.58		130.71	135.18	---	---	12.411	12.411	---	---	1019.74	58.819	12.411	---	---	30.348	30.346	---	---	250.699	231.400	---	---	5.484	5.861	---	---	
7/27/2021	08:00:20	15.49		130.62	135.12	---	---	12.424	12.424	---	---	1019.75	58.819	12.424	---	---	30.351	30.347	---	---	250.710	231.393	---	---	5.502	5.864	---	---	
7/27/2021	08:00:21	16.38		130.56	135.20	---	---	12.428	12.428	---	---	1019.70	58.819	12.428	---	---	30.356	30.338	---	---	250.706	231.372	---	---	5.500	5.870	---	---	
7/27/2021	08:00:22	17.44		130.55	135.13	---	---	12.435	12.435	---	---	1019.65	58.819	12.435	---	---	30.354	30.341	---	---	250.722	231.383	---	---	5.492	5.843	---	---	
7/27/2021	08:00:23	18.32		130.59	135.18	---	---	12.435	12.435	---	---	1019.68	58.819	12.435	---	---	30.350	30.337	---	---	250.733	231.374	---	---	5.488	5.826	---	---	
7/27/2021	08:00:24	19.20		130.64	135.15	---	---	12.435	12.435	---	---	1019.67	58.819	12.435	---	---	30.345	30.340	---	---	250.723	231.233	---	---	5.492	5.818	---	---	
7/27/2021	08:00:25	20.08		130.67	135.21	---	---	12.442	12.442	---	---	1019.70	58.819	12.442	---	---	30.340	30.332	---	---	250.680	231.210	---	---	5.494	5.858	---	---	
7/27/2021	08:00:25	20.95		130.59	135.16	---	---	12.453	12.453	---	---	1019.69	58.819	12.453	---	---	30.343	30.332	---	---	250.658	231.187	---	---	5.491	5.852	---	---	
