
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.501	12.542	1021	100.000	20.950	54.828	22.412	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.511	12.546	1021	100.000	20.950	52.073	21.908	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/29/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/29/2021	12:02:19	1.37		276.88	276.94	---	---	12.526	12.526	---	---	1020.98	58.412	12.526	---	---	22.457	21.949	---	---	545.518	435.637	---	---	6.136	7.337	---	---	
7/29/2021	12:02:20	2.27		276.91	276.96	---	---	12.526	12.526	---	---	1020.98	58.412	12.526	---	---	22.455	21.948	---	---	545.513	435.850	---	---	6.138	7.342	---	---	
7/29/2021	12:02:20	3.16		276.98	276.92	---	---	12.526	12.526	---	---	1020.96	58.422	12.526	---	---	22.453	21.950	---	---	545.527	435.875	---	---	6.131	7.320	---	---	
7/29/2021	12:02:21	4.05		276.87	276.82	---	---	12.537	12.537	---	---	1020.97	58.422	12.537	---	---	22.453	21.950	---	---	545.545	435.985	---	---	6.129	7.332	---	---	
7/29/2021	12:02:22	4.93		276.77	276.76	---	---	12.540	12.540	---	---	1020.96	58.422	12.540	---	---	22.457	21.951	---	---	545.558	436.002	---	---	6.116	7.329	---	---	
7/29/2021	12:02:23	5.81		276.73	276.76	---	---	12.544	12.544	---	---	1020.96	58.422	12.544	---	---	22.457	21.950	---	---	545.590	435.856	---	---	6.116	7.341	---	---	
7/29/2021	12:02:24	6.80		276.70	276.81	---	---	12.543	12.543	---	---	1020.92	58.422	12.543	---	---	22.458	21.948	---	---	545.597	435.987	---	---	6.108	7.262	---	---	
7/29/2021	12:02:25	7.80		276.71	276.79	---	---	12.543	12.543	---	---	1020.97	58.422	12.543	---	---	22.458	21.949	---	---	545.598	435.320	---	---	6.039	7.054	---	---	
7/29/2021	12:02:26	8.80		276.74	276.78	---	---	12.540	12.540	---	---	1020.99	58.422	12.540	---	---	22.458	21.950	---	---	546.185	441.368	---	---	6.235	6.982	---	---	
7/29/2021	12:02:27	9.80		276.85	276.79	---	---	12.533	12.533	---	---	1021.01	58.422	12.533	---	---	22.456	21.953	---	---	546.447	452.037	---	---	6.237	6.993	---	---	
7/29/2021	12:02:28	10.80		277.14	276.86	---	---	12.533	12.533	---	---	1020.97	58.422	12.533	---	---	22.443	21.950	---	---	546.230	457.726	---	---	6.306	7.147	---	---	
7/29/2021	12:02:29	11.80		277.62	276.99	---	---	12.532	12.532	---	---	1020.95	58.422	12.532	---	---	22.423	21.945	---	---	545.092	451.304	---	---	6.071	7.016	---	---	
