
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.784	11.987	1020	100.000	20.950	47.948	22.040	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.831	11.985	1020	100.000	20.950	49.234	21.452	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/12/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/12/2021	15:48:54	0.00		251.06	241.04	---	---	12.062	12.062	---	---	1020.17	58.122	12.062	---	---	23.300	23.180	---	---	272.464	192.446	---	---	5.475	5.848	---	---	
7/12/2021	15:49:09	15.00		250.82	237.57	---	---	12.080	12.080	---	---	1020.13	58.102	12.080	---	---	23.304	23.334	---	---	272.567	193.859	---	---	5.475	5.829	---	---	
7/12/2021	15:49:24	30.00		251.03	237.33	---	---	12.065	12.065	---	---	1020.15	58.071	12.065	---	---	23.300	23.351	---	---	272.559	193.906	---	---	5.461	5.841	---	---	
7/12/2021	15:49:39	45.00		251.10	237.36	---	---	12.058	12.058	---	---	1020.12	58.018	12.058	---	---	23.300	23.352	---	---	272.549	193.992	---	---	5.477	5.826	---	---	
7/12/2021	15:49:54	60.00		250.88	237.32	---	---	12.062	12.062	---	---	1020.09	58.018	12.062	---	---	23.308	23.353	---	---	272.794	193.909	---	---	5.470	5.815	---	---	
7/12/2021	15:50:09	75.00		250.94	234.98	---	---	12.062	12.062	---	---	1020.09	57.987	12.062	---	---	23.305	23.462	---	---	272.434	195.052	---	---	5.466	5.851	---	---	
7/12/2021	15:50:24	90.00		251.00	234.99	---	---	12.058	12.058	---	---	1020.05	57.957	12.058	---	---	23.304	23.464	---	---	272.477	195.137	---	---	5.466	5.877	---	---	
7/12/2021	15:50:39	105.00		250.75	236.24	---	---	12.066	12.066	---	---	1020.12	57.957	12.066	---	---	23.312	23.402	---	---	272.501	194.670	---	---	5.469	5.841	---	---	
7/12/2021	15:50:54	120.00		251.04	235.88	---	---	12.052	12.052	---	---	1020.14	57.957	12.052	---	---	23.305	23.423	---	---	272.585	194.889	---	---	5.477	5.822	---	---	
7/12/2021	15:51:09	135.00		250.94	233.58	---	---	12.056	12.056	---	---	1020.11	57.957	12.056	---	---	23.308	23.531	---	---	272.553	195.934	---	---	5.470	5.888	---	---	
7/12/2021	15:51:24	150.00		250.85	233.10	---	---	12.056	12.056	---	---	1020.11	57.957	12.056	---	---	23.311	23.554	---	---	272.600	196.196	---	---	5.475	5.877	---	---	
7/12/2021	15:51:39	165.00		250.99	231.25	---	---	12.059	12.059	---	---	1020.13	57.947	12.059	---	---	23.304	23.641	---	---	272.566	197.043	---	---	5.488	5.858	---	---	
7/12/2021	15:51:54	180.00		251.04	232.32	---	---	12.049	12.049	---	---	1020.09	57.926	12.049	---	---	23.306	23.594	---	---	272.495	196.532	---	---	5.481	5.848	---	---	
7/12/2021	15:52:09	195.00		250.92	232.90	---	---	12.049	12.049	---	---	1020.06	57.926	12.049	---	---	23.311	23.566	---	---	272.589	196.317	---	---	5.469	5.850	---	---	
7/12/2021	15:52:24	210.00		250.94	232.91	---	---	12.057	12.057	---	---	1020.08	57.916	12.057	---	---	23.307	23.562	---	---	272.524	196.109	---	---	5.464	5.863	---	---	
