
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.633	13.214	1023	100.000	20.950	48.222	22.077	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.599	13.182	1023	100.000	20.950	49.663	21.513	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/19/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/19/2021	10:29:46	0.00		255.49	250.53	---	---	12.711	12.711	---	---	1022.35	58.361	12.711	---	---	23.098	22.765	---	---	254.340	179.422	---	---	5.480	5.850	---	---	
7/19/2021	10:30:01	15.00		255.45	248.68	---	---	12.718	12.718	---	---	1022.42	58.361	12.718	---	---	23.098	22.845	---	---	253.845	180.146	---	---	5.476	5.856	---	---	
7/19/2021	10:30:16	30.00		255.61	249.56	---	---	12.718	12.718	---	---	1022.40	58.361	12.718	---	---	23.091	22.806	---	---	254.056	179.759	---	---	5.467	5.844	---	---	
7/19/2021	10:30:31	45.00		255.49	249.17	---	---	12.722	12.722	---	---	1022.34	58.361	12.722	---	---	23.095	22.822	---	---	253.851	179.977	---	---	5.493	5.861	---	---	
7/19/2021	10:30:46	60.00		255.41	246.35	---	---	12.729	12.729	---	---	1022.42	58.361	12.729	---	---	23.096	22.946	---	---	253.891	181.013	---	---	5.492	5.868	---	---	
7/19/2021	10:31:01	75.00		255.38	246.00	---	---	12.740	12.740	---	---	1022.37	58.361	12.740	---	---	23.094	22.958	---	---	253.965	181.140	---	---	5.487	5.857	---	---	
7/19/2021	10:31:16	90.00		255.47	244.63	---	---	12.729	12.729	---	---	1022.38	58.310	12.729	---	---	23.093	23.024	---	---	254.051	181.804	---	---	5.496	5.853	---	---	
7/19/2021	10:31:31	105.00		255.43	245.19	---	---	12.743	12.743	---	---	1022.36	58.280	12.743	---	---	23.090	22.994	---	---	253.503	181.306	---	---	5.468	5.829	---	---	
7/19/2021	10:31:46	120.00		255.39	243.27	---	---	12.736	12.736	---	---	1022.39	58.247	12.736	---	---	23.094	23.083	---	---	255.673	182.096	---	---	5.475	5.867	---	---	
7/19/2021	10:32:01	135.00		255.58	243.75	---	---	12.767	12.767	---	---	1022.34	58.247	12.767	---	---	23.076	23.051	---	---	255.651	181.594	---	---	5.475	5.855	---	---	
7/19/2021	10:32:16	150.00		255.64	242.09	---	---	12.791	12.791	---	---	1022.34	58.270	12.791	---	---	23.065	23.118	---	---	255.033	181.894	---	---	5.482	5.841	---	---	
7/19/2021	10:32:31	165.00		255.00	243.61	---	---	12.803	12.803	---	---	1022.39	58.247	12.803	---	---	23.088	23.044	---	---	255.518	181.136	---	---	5.495	5.846	---	---	
7/19/2021	10:32:46	180.00		255.56	242.73	---	---	12.808	12.808	---	---	1022.37	58.216	12.808	---	---	23.062	23.083	---	---	255.181	181.481	---	---	5.472	5.862	---	---	
7/19/2021	10:33:01	195.00		255.50	241.59	---	---	12.791	12.791	---	---	1022.33	58.206	12.791	---	---	23.071	23.141	---	---	255.352	182.029	---	---	5.476	5.831	---	---	
7/19/2021	10:33:16	210.00		255.32	241.95	---	---	12.805	12.805	---	---	1022.35	58.155	12.805	---	---	23.074	23.120	---	---	255.318	181.758	---	---	5.482	5.831	---	---	
7/19/2021	10:33:31	225.00		254.79	240.68	---	---	12.816	12.816	---	---	1022.31	58.155	12.816	---	---	23.093	23.174	---	---	255.488	182.283	---	---	5.484	5.825	---	---	
7/19/2021	10:33:46	240.00		255.07	239.00	---	---	12.829	12.829	---	---	1022.34	58.135	12.829	---	---	23.076	23.248	---	---	255.359	182.919	---	---	5.473	5.842	---	---	
7/19/2021	10:34:01	255.00		255.51	239.96	---	---	12.833	12.833	---	---	1022.33	58.102	12.833	---	---	23.056	23.202	---	---	254.439	182.574	---	---	5.459	5.828	---	---	
7/19/2021	10:34:16	270.00		254.57	238.91	---	---	12.850	12.850	---	---	1022.36	58.102	12.850	---	---	23.090	23.245	---	---	254.803	182.913	---	---	5.484	5.844	---	---	
7/19/2021	10:34:31	285.00		254.60	239.09	---	---	12.832	12.832	---	---	1022.33	58.102	12.832	---	---	23.096	23.243	---	---	254.764	182.845	---	---	5.470	5.844	---	---	
7/19/2021	10:34:46	300.00		255.37	237.87	---	---	12.826	12.826	---	---	1022.24	58.102	12.826	---	---	23.064	23.301	---	---	254.551	183.438	---	---	5.482	5.859	---	---	
7/19/2021	10:35:01	315.00		254.63	237.97	---	---	12.826	12.826	---	---	1022.28	58.071	12.826	---	---	23.096	23.297	---	---	254.733	183.342	---	---	5.480	5.850	---	---	
7/19/2021	10:35:16	330.00		255.54	238.57	---	---	12.833	12.833	---	---	1022.31	58.071	12.833	---	---	23.055	23.266	---	---	254.354	183.177	---	---	5.485	5.874	---	---	
7/19/2021	10:35:31	345.00		255.55	237.87	---	---	12.837	12.837	---	---	1022.38	58.071	12.837	---	---	23.054	23.298	---	---	254.226	183.560	---	---	5.492	5.869	---	---	
7/19/2021	10:35:46	360.00		255.40	237.25	---	---	12.827	12.827	---	---	1022.35	58.041	12.827	---	---	23.063	23.331	---	---	254.241	183.684	---	---	5.486	5.849	---	---	
7/19/2021	10:36:01	375.00		255.29	237.29	---	---	12.878	12.878	---	---	1022.30	58.071	12.878	---	---	23.050	23.311	---	---	248.824	183.308	---	---	5.478	5.826	---	---	
7/19/2021	10:36:16	390.00		254.67	235.51	---	---	12.871	12.871	---	---	1022.30	58.071	12.871	---	---	23.079	23.398	---	---	235.515	179.729	---	---	5.480	5.810	---	---	
7/19/2021	10:36:31	405.00		254.49	235.35	---	---	12.892	12.892	---	---	1022.30	58.041	12.892	---	---	23.080	23.398	---	---	232.226	178.450	---	---	5.465	5.851	---	---	
7/19/2021	10:36:46	420.00		254.31	235.45	---	---	12.913	12.913	---	---	1022.37	58.010	12.913	---	---	23.080	23.386	---	---	229.571	178.454	---	---	5.465	5.830	---	---	
7/19/2021	10:37:01	435.00		254.01	234.84	---	---	12.895	12.895	---	---	1022.35	58.031	12.895	---	---	23.100	23.421	---	---	223.284	178.221	---	---	5.475	5.837	---	---	
7/19/2021	10:37:16	450.00		255.15	235.17	---	---	12.909	12.909	---	---	1022.35	58.020	12.909	---	---	23.046	23.400	---	---	251.976	184.572	---	---	5.479	5.853	---	---	
7/19/2021	10:37:31	465.00		255.08	234.83	---	---	12.922	12.922	---	---	1022.35	58.041	12.922	---	---	23.044	23.412	---	---	252.453	184.720	---	---	5.470	5.848	---	---	
