
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SD7-502-195	3	ON External	20.000	ON	1013	29.900	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.936	13.416	1020	100.000	20.950	49.869	21.905	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.934	13.447	1020	100.000	20.950	49.466	21.607	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/27/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/27/2021	13:49:09	0.00		254.07	237.91	---	---	12.526	12.526	---	---	1020.43	59.887	12.526	---	---	22.985	23.407	---	---	184.529	168.951	---	---	5.487	5.866	---	---	
7/27/2021	13:49:24	15.00		253.87	239.53	---	---	12.526	12.526	---	---	1020.45	59.887	12.526	---	---	22.993	23.332	---	---	184.433	168.336	---	---	5.486	5.846	---	---	
7/27/2021	13:49:39	30.00		253.98	240.66	---	---	12.533	12.533	---	---	1020.42	59.887	12.533	---	---	22.986	23.277	---	---	184.389	167.948	---	---	5.487	5.865	---	---	
7/27/2021	13:49:54	45.00		253.97	238.41	---	---	12.540	12.540	---	---	1020.42	59.856	12.540	---	---	22.984	23.379	---	---	184.541	168.726	---	---	5.489	5.872	---	---	
7/27/2021	13:50:09	60.00		254.10	237.37	---	---	12.522	12.522	---	---	1020.42	59.856	12.522	---	---	22.985	23.434	---	---	184.415	169.219	---	---	5.472	5.845	---	---	
7/27/2021	13:50:24	75.00		254.18	238.36	---	---	12.530	12.530	---	---	1020.45	59.846	12.530	---	---	22.979	23.385	---	---	184.367	168.837	---	---	5.485	5.870	---	---	
7/27/2021	13:50:39	90.00		254.24	240.05	---	---	12.537	12.537	---	---	1020.42	59.826	12.537	---	---	22.973	23.304	---	---	184.541	168.196	---	---	5.477	5.850	---	---	
7/27/2021	13:50:54	105.00		254.26	241.38	---	---	12.523	12.523	---	---	1020.44	59.826	12.523	---	---	22.978	23.248	---	---	184.445	167.714	---	---	5.479	5.820	---	---	
7/27/2021	13:51:09	120.00		254.23	239.73	---	---	12.533	12.533	---	---	1020.41	59.826	12.533	---	---	22.975	23.320	---	---	184.580	168.306	---	---	5.496	5.881	---	---	
7/27/2021	13:51:24	135.00		254.35	240.11	---	---	12.523	12.523	---	---	1020.41	59.826	12.523	---	---	22.973	23.306	---	---	184.588	168.189	---	---	5.486	5.897	---	---	
7/27/2021	13:51:39	150.00		254.39	240.89	---	---	12.526	12.526	---	---	1020.46	59.826	12.526	---	---	22.971	23.269	---	---	184.564	167.921	---	---	5.484	5.830	---	---	
7/27/2021	13:51:54	165.00		254.53	241.70	---	---	12.530	12.530	---	---	1020.38	59.826	12.530	---	---	22.963	23.230	---	---	184.342	167.601	---	---	5.475	5.856	---	---	
