
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.300	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	25.000	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.351	12.785	1019	100.000	20.950	48.583	21.802	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.441	12.796	1019	100.000	20.950	49.768	21.861	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/20/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/20/2021	08:12:42	0.00		223.98	216.38	---	---	14.146	14.146	---	---	1019.81	58.552	14.146	---	---	23.564	24.049	---	---	247.623	298.225	---	---	5.563	5.961	---	---	
7/20/2021	08:12:57	15.00		223.84	217.26	---	---	14.152	14.152	---	---	1019.82	58.491	14.152	---	---	23.569	24.001	---	---	247.981	297.680	---	---	5.534	5.958	---	---	
7/20/2021	08:13:12	30.00		223.67	217.36	---	---	14.156	14.156	---	---	1019.88	58.491	14.156	---	---	23.575	23.995	---	---	248.058	297.586	---	---	5.517	5.975	---	---	
7/20/2021	08:13:27	45.00		223.60	217.19	---	---	14.155	14.155	---	---	1019.75	58.582	14.155	---	---	23.579	24.004	---	---	247.553	298.145	---	---	5.547	5.954	---	---	
7/20/2021	08:13:42	60.00		223.58	218.33	---	---	14.158	14.158	---	---	1019.77	58.491	14.158	---	---	23.579	23.944	---	---	247.419	294.726	---	---	5.574	5.957	---	---	
7/20/2021	08:13:57	75.00		223.74	218.11	---	---	14.151	14.151	---	---	1019.83	58.437	14.151	---	---	23.574	23.958	---	---	247.326	295.158	---	---	5.550	5.916	---	---	
7/20/2021	08:14:12	90.00		224.05	216.49	---	---	14.163	14.163	---	---	1019.77	58.491	14.163	---	---	23.555	24.037	---	---	247.203	296.238	---	---	5.507	5.978	---	---	
7/20/2021	08:14:27	105.00		223.93	214.67	---	---	14.165	14.165	---	---	1019.82	58.407	14.165	---	---	23.560	24.131	---	---	247.421	297.635	---	---	5.543	6.000	---	---	
7/20/2021	08:14:42	120.00		223.44	212.46	---	---	14.183	14.183	---	---	1019.73	58.437	14.183	---	---	23.578	24.242	---	---	247.736	299.183	---	---	5.530	5.980	---	---	
7/20/2021	08:14:57	135.00		222.70	213.71	---	---	14.185	14.185	---	---	1019.79	58.437	14.185	---	---	23.613	24.175	---	---	248.349	298.325	---	---	5.524	5.995	---	---	
7/20/2021	08:15:12	150.00		222.08	214.69	---	---	14.191	14.191	---	---	1019.84	58.437	14.191	---	---	23.642	24.122	---	---	248.519	297.711	---	---	5.560	6.006	---	---	
7/20/2021	08:15:27	165.00		222.09	212.80	---	---	14.192	14.192	---	---	1019.76	58.491	14.192	---	---	23.641	24.220	---	---	248.566	299.094	---	---	5.522	5.999	---	---	
7/20/2021	08:15:42	180.00		222.05	213.72	---	---	14.185	14.185	---	---	1019.78	58.592	14.185	---	---	23.645	24.175	---	---	248.668	298.403	---	---	5.560	5.992	---	---	
7/20/2021	08:15:57	195.00		222.15	214.94	---	---	14.181	14.181	---	---	1019.78	58.727	14.181	---	---	23.642	24.112	---	---	248.740	297.693	---	---	5.534	5.999	---	---	
7/20/2021	08:16:12	210.00		222.20	214.72	---	---	14.193	14.193	---	---	1019.74	58.737	14.193	---	---	23.635	24.120	---	---	248.700	297.825	---	---	5.571	5.961	---	---	
7/20/2021	08:16:27	225.00		222.34	214.86	---	---	14.198	14.198	---	---	1019.78	58.687	14.198	---	---	23.627	24.110	---	---	248.631	297.937	---	---	5.569	5.954	---	---	
7/20/2021	08:16:42	240.00		222.47	214.71	---	---	14.203	14.203	---	---	1019.84	58.658	14.203	---	---	23.619	24.117	---	---	248.289	298.294	---	---	5.537	5.980	---	---	
7/20/2021	08:16:57	255.00		222.61	214.33	---	---	14.223	14.223	---	---	1019.74	58.582	14.223	---	---	23.605	24.130	---	---	248.176	298.750	---	---	5.557	6.013	---	---	
7/20/2021	08:17:12	270.00		222.75	214.04	---	---	14.223	14.223	---	---	1019.86	58.613	14.223	---	---	23.598	24.145	---	---	252.973	298.084	---	---	5.587	5.992	---	---	
7/20/2021	08:17:27	285.00		222.32	209.23	---	---	14.221	14.221	---	---	1019.82	58.552	14.221	---	---	23.620	24.401	---	---	250.837	300.412	---	---	5.541	5.951	---	---	
7/20/2021	08:17:42	300.00		222.11	208.35	---	---	14.240	14.240	---	---	1019.80	58.491	14.240	---	---	23.624	24.442	---	---	250.739	301.670	---	---	5.559	5.948	---	---	
7/20/2021	08:17:57	315.00		221.90	210.03	---	---	14.254	14.254	---	---	1019.81	58.562	14.254	---	---	23.630	24.347	---	---	250.710	300.388	---	---	5.581	5.959	---	---	
7/20/2021	08:18:12	330.00		221.44	210.44	---	---	14.258	14.258	---	---	1019.81	58.592	14.258	---	---	23.651	24.324	---	---	250.808	300.115	---	---	5.563	5.959	---	---	
7/20/2021	08:18:27	345.00		221.27	210.90	---	---	14.254	14.254	---	---	1019.80	58.532	14.254	---	---	23.661	24.301	---	---	250.611	299.966	---	---	5.548	5.942	---	---	
7/20/2021	08:18:42	360.00		221.42	210.84	---	---	14.250	14.250	---	---	1019.80	58.491	14.250	---	---	23.655	24.305	---	---	252.001	299.776	---	---	5.585	5.940	---	---	
7/20/2021	08:18:57	375.00		221.35	210.98	---	---	14.251	14.251	---	---	1019.84	58.491	14.251	---	---	23.658	24.297	---	---	251.923	299.684	---	---	5.539	5.961	---	---	
7/20/2021	08:19:12	390.00		221.43	210.36	---	---	14.260	14.260	---	---	1019.82	58.511	14.260	---	---	23.651	24.327	---	---	251.870	300.078	---	---	5.553	5.979	---	---	
7/20/2021	08:19:27	405.00		221.54	210.03	---	---	14.258	14.258	---	---	1019.82	58.491	14.258	---	---	23.646	24.345	---	---	251.726	300.302	---	---	5.565	5.987	---	---	
7/20/2021	08:19:42	420.00		221.63	209.90	---	---	14.258	14.258	---	---	1019.81	58.532	14.258	---	---	23.642	24.353	---	---	251.751	300.481	---	---	5.584	5.987	---	---	
7/20/2021	08:19:57	435.00		221.34	209.92	---	---	14.257	14.257	---	---	1019.82	58.437	14.257	---	---	23.656	24.352	---	---	251.595	300.454	---	---	5.502	5.952	---	---	
7/20/2021	08:20:12	450.00		220.70	209.92	---	---	14.265	14.265	---	---	1019.80	58.437	14.265	---	---	23.686	24.349	---	---	251.935	300.518	---	---	5.508	5.968	---	---	
7/20/2021	08:20:27	465.00		220.15	209.63	---	---	14.261	14.261	---	---	1019.78	58.437	14.261	---	---	23.715	24.366	---	---	252.393	300.637	---	---	5.528	5.944	---	---	
7/20/2021	08:20:42	480.00		219.33	210.36	---	---	14.267	14.267	---	---	1019.82	58.552	14.267	---	---	23.753	24.325	---	---	252.831	300.117	---	---	5.580	6.009	---	---	
7/20/2021	08:20:57	495.00		218.96	210.74	---	---	14.269	14.269	---	---	1019.74	58.552	14.269	---	---	23.771	24.304	---	---	253.068	299.848	---	---	5.586	5.952	---	---	
7/20/2021	08:21:12	510.00		218.64	210.92	---	---	14.272	14.272	---	---	1019.80	58.552	14.272	---	---	23.786	24.293	---	---	253.200	299.648	---	---	5.561	5.971	---	---	
7/20/2021	08:21:27	525.00		218.39	211.04	---	---	14.274	14.274	---	---	1019.77	58.491	14.274	---	---	23.798	24.286	---	---	253.307	299.622	---	---	5.564	6.011	---	---	
7/20/2021	08:21:42	540.00		218.38	210.96	---	---	14.279	14.279	---	---	1019.84	58.491	14.279	---	---	23.797	24.289	---	---	253.349	299.597	---	---	5.583	5.999	---	---	
7/20/2021	08:21:57	555.00		218.30	211.05	---	---	14.278	14.278	---	---	1019.81	58.491	14.278	---	---	23.801	24.284	---	---	253.407	299.588	---	---	5.560	5.964	---	---	
7/20/2021	08:22:12	570.00		217.95	210.96	---	---	14.284	14.284	---	---	1019.87	58.468	14.284	---	---	23.817	24.287	---	---	253.492	299.587	---	---	5.595	5.991	---	---	
7/20/2021	08:22:27	585.00		217.83	211.00	---	---	14.278	14.278	---	---	1019.88	58.437	14.278	---	---	23.825	24.287	---	---	253.588	299.577	---	---	5.528	5.974	---	---	
7/20/2021	08:22:42	600.00		217.41	210.85	---	---	14.286	14.286	---	---	1019.79	58.437	14.286	---	---	23.844	24.292	---	---	253.709	299.606	---	---	5.563	5.954	---	---	
7/20/2021	08:22:57	615.00		217.37	210.93	---	---	14.279	14.279	---	---	1019.90	58.407	14.279	---	---	23.848	24.290	---	---	253.831	299.612	---	---	5.560	5.992	---	---	
7/20/2021	08:23:12	630.00		217.14	211.10	---	---	14.277	14.277	---	---	1019.88	58.407	14.277	---	---	23.860	24.282	---	---	253.929	299.571	---	---	5.497	5.977	---	---	
7/20/2021	08:23:27	645.00		217.10	211.16	---	---	14.280	14.280	---	---	1019.88	58.376	14.280	---	---	23.861	24.278	---	---	253.998	299.520	---	---	5.582	5.942	---	---	
7/20/2021	08:23:42	660.00		217.21	211.17	---	---	14.277	14.277	---	---	1019.86	58.376	14.277	---	---	23.857	24.278	---	---	253.977	299.505	---	---	5.558	5.943	---	---	
7/20/2021	08:23:57	675.00		217.16	211.27	---	---	14.274	14.274	---	---	1019.85	58.346	14.274	---	---	23.860	24.274	---	---	253.933	299.492	---	---	5.512	6.006	---	---	
7/20/2021	08:24:12	690.00		217.17	211.29	---	---	14.279	14.279	---	---	1019.84	58.346	14.279	---	---	23.858	24.271	---	---	253.922	299.401	---	---	5.553	6.015	---	---	
7/20/2021	08:24:27	705.00		217.31	211.43	---	---	14.279	14.279	---	---	1019.83	58.346	14.279	---	---	23.850	24.264	---	---	253.882	299.362	---	---	5.549	5.987	---	---	
7/20/2021	08:24:42	720.00		217.32	211.56	---	---	14.263	14.263	---	---	1019.85	58.323	14.263	---	---	23.856	24.262	---	---	253.879	299.332	---	---	5.513	5.990	---	---	
7/20/2021	08:24:57	735.00		217.35	211.47	---	---	14.267	14.267	---	---	1019.83	58.323	14.267	---	---	23.853	24.266	---	---	253.894	299.353	---	---	5.527	5.973	---	---	
7/20/2021	08:25:12	750.00		217.44	211.52	---	---	14.251	14.251	---	---	1019.78	58.323	14.251	---	---	23.854	24.268	---	---	253.838	299.347	---	---	5.611	5.988	---	---	
7/20/2021	08:25:27	765.00		217.32	211.54	---	---	14.252	14.252	---	---	1019.84	58.292	14.252	---	---	23.860	24.267	---	---	253.874	299.365	---	---	5.497	5.956	---	---	
7/20/2021	08:25:42	780.00		217.38	211.49	---	---	14.259	14.259	---	---	1019.81	58.292	14.259	---	---	23.854	24.267	---	---	253.892	299.404	---	---	5.556	5.995	---	---	
7/20/2021	08:25:57	795.00		217.30	211.35	---	---	14.264	14.264	---	---	1019.77	58.292	14.264	---	---	23.856	24.273	---	---	253.894	299.459	---	---	5.545	5.941	---	---	
7/20/2021	08:26:12	810.00		217.31	211.31	---	---	14.262	14.262	---	---	1019.80	58.292	14.262	---	---	23.857	24.276	---	---	253.865	299.565	---	---	5.598	5.997	---	---	
7/20/2021	08:26:27	825.00		217.29	211.15	---	---	14.265	14.265	---	---	1019.85	58.262	14.265	---	---	23.856	24.283	---	---	253.930	299.611	---	---	5.510	5.978	---	---	
7/20/2021	08:26:42	840.00		217.17	211.20	---	---	14.266	14.266	---	---	1019.86	58.262	14.266	---	---	23.863	24.281	---	---	253.898	299.612	---	---	5.505	5.928	---	---	
7/20/2021	08:26:57	855.00		217.38	211.14	---	---	14.262	14.262	---	---	1019.84	58.262	14.262	---	---	23.853	24.285	---	---	253.913	299.683	---	---	5.535	5.963	---	---	
7/20/2021	08:27:12	870.00		217.32	211.21	---	---	14.264	14.264	---	---	1019.88	58.262	14.264	---	---	23.855	24.281	---	---	253.917	299.706	---	---	5.526	5.955	---	---	
7/20/2021	08:27:27	885.00		217.36	211.21	---	---	14.263	14.263	---	---	1019.82	58.262	14.263	---	---	23.854	24.281	---	---	253.936	299.707	---	---	5.500	5.943	---	---	
7/20/2021	08:27:42	900.00		217.44	211.13	---	---	14.254	14.254	---	---	1019.82	58.262	14.254	---	---	23.852	24.288	---	---	253.949	299.757	---	---	5.569	5.999	---	---	
7/20/2021	08:27:57	915.00		217.27	211.15	---	---	14.251	14.251	---	---	1019.86	58.262	14.251	---	---	23.862	24.288	---	---	253.964	299.748	---	---	5.486	5.932	---	---	
7/20/2021	08:28:12	930.00		217.39	211.03	---	---	14.262	14.262	---	---	1019.84	58.241	14.262	---	---	23.852	24.291	---	---	253.954	299.803	---	---	5.531	5.957	---	---	
7/20/2021	08:28:27	945.00		217.35	211.07	---	---	14.253	14.253	---	---	1019.78	58.562	14.253	---	---	23.857	24.292	---	---	253.942	299.787	---	---	5.526	5.926	---	---	
7/20/2021	08:28:42	960.00		217.33	211.31	---	---	14.250	14.250	---	---	1019.86	58.511	14.250	---	---	23.859	24.280	---	---	253.979	299.736	---	---	5.506	5.965	---	---	
7/20/2021	08:28:57	975.00		217.11	211.37	---	---	14.256	14.256	---	---	1019.85	58.407	14.256	---	---	23.869	24.275	---	---	254.019	299.700	---	---	5.547	5.962	---	---	
7/20/2021	08:29:12	990.00		217.26	211.33	---	---	14.255	14.255	---	---	1019.87	58.376	14.255	---	---	23.861	24.277	---	---	254.069	299.698	---	---	5.573	5.990	---	---	
7/20/2021	08:29:27	1005.00		217.13	211.31	---	---	14.261	14.261	---	---	1019.81	58.376	14.261	---	---	23.866	24.276	---	---	254.078	299.654	---	---	5.559	5.988	---	---	
