
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.300	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	25.000	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.621	14.014	1015	100.000	20.950	49.133	22.274	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.646	13.944	1015	100.000	20.950	50.340	22.275	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/28/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/28/2021	18:25:54	0.00		261.60	230.79	---	---	12.754	12.754	---	---	1016.54	53.570	12.754	---	---	22.908	24.331	---	---	222.287	342.558	---	---	5.727	6.088	---	---	
7/28/2021	18:26:09	15.00		261.74	231.47	---	---	12.743	12.743	---	---	1016.52	53.547	12.743	---	---	22.905	24.301	---	---	222.347	342.553	---	---	5.230	5.748	---	---	
7/28/2021	18:26:24	30.00		261.51	231.39	---	---	12.741	12.741	---	---	1016.47	53.547	12.741	---	---	22.916	24.305	---	---	222.351	342.484	---	---	5.122	5.718	---	---	
7/28/2021	18:26:39	45.00		261.69	231.21	---	---	12.741	12.741	---	---	1016.51	53.516	12.741	---	---	22.908	24.314	---	---	222.323	342.545	---	---	5.948	6.105	---	---	
7/28/2021	18:26:54	60.00		261.68	231.22	---	---	12.751	12.751	---	---	1016.52	53.486	12.751	---	---	22.906	24.310	---	---	222.302	342.526	---	---	5.434	5.861	---	---	
7/28/2021	18:27:09	75.00		261.74	233.80	---	---	12.751	12.751	---	---	1016.57	53.486	12.751	---	---	22.903	24.185	---	---	222.286	340.584	---	---	5.457	5.866	---	---	
7/28/2021	18:27:24	90.00		262.08	239.49	---	---	12.752	12.752	---	---	1016.46	53.455	12.752	---	---	22.888	23.911	---	---	222.115	337.020	---	---	5.461	5.868	---	---	
7/28/2021	18:27:39	105.00		200.71	241.32	---	---	12.750	12.750	---	---	1016.46	53.455	12.750	---	---	25.863	23.825	---	---	268.634	333.993	---	---	5.685	6.034	---	---	
7/28/2021	18:27:54	120.00		178.18	237.76	---	---	12.754	12.754	---	---	1016.49	53.455	12.754	---	---	27.189	23.992	---	---	284.704	336.635	---	---	5.402	5.923	---	---	
7/28/2021	18:28:09	135.00		184.03	237.00	---	---	12.765	12.765	---	---	1016.47	53.455	12.765	---	---	26.824	24.025	---	---	274.148	334.621	---	---	5.378	5.831	---	---	
7/28/2021	18:28:24	150.00		187.43	230.86	---	---	12.777	12.777	---	---	1016.46	53.455	12.777	---	---	26.614	24.319	---	---	271.344	339.746	---	---	5.701	6.003	---	---	
7/28/2021	18:28:39	165.00		194.54	232.59	---	---	12.784	12.784	---	---	1016.50	53.402	12.784	---	---	26.195	24.231	---	---	266.346	338.786	---	---	5.206	5.727	---	---	
