
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.300	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	25.000	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.351	12.785	1019	100.000	20.950	48.583	21.802	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.441	12.796	1019	100.000	20.950	49.768	21.861	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/21/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/21/2021	14:35:57	0.00		227.13	228.83	---	---	12.666	12.666	---	---	1019.44	52.982	12.666	---	---	23.910	23.931	---	---	265.276	299.611	---	---	5.559	5.929	---	---	
7/21/2021	14:36:12	15.00		226.06	229.36	---	---	12.680	12.680	---	---	1019.49	52.982	12.680	---	---	23.958	23.901	---	---	265.930	299.110	---	---	5.496	5.977	---	---	
7/21/2021	14:36:27	30.00		224.49	225.89	---	---	12.683	12.683	---	---	1019.46	52.982	12.683	---	---	24.033	24.071	---	---	266.895	301.516	---	---	5.523	5.966	---	---	
7/21/2021	14:36:42	45.00		222.20	209.46	---	---	12.672	12.672	---	---	1019.47	52.982	12.672	---	---	24.150	24.926	---	---	268.289	313.226	---	---	5.513	5.961	---	---	
7/21/2021	14:36:57	60.00		222.17	219.98	---	---	12.677	12.677	---	---	1019.54	52.982	12.677	---	---	24.150	24.372	---	---	268.354	305.248	---	---	5.574	6.000	---	---	
7/21/2021	14:37:12	75.00		222.11	219.22	---	---	12.682	12.682	---	---	1019.49	52.982	12.682	---	---	24.150	24.408	---	---	268.305	305.890	---	---	5.550	5.928	---	---	
7/21/2021	14:37:27	90.00		219.42	223.84	---	---	12.678	12.678	---	---	1019.41	52.982	12.678	---	---	24.286	24.175	---	---	270.019	302.931	---	---	5.559	5.959	---	---	
7/21/2021	14:37:42	105.00		214.08	226.08	---	---	12.675	12.675	---	---	1019.45	52.982	12.675	---	---	24.559	24.064	---	---	273.450	301.444	---	---	5.520	5.971	---	---	
7/21/2021	14:37:57	120.00		213.23	227.45	---	---	12.678	12.678	---	---	1019.54	52.982	12.678	---	---	24.602	23.995	---	---	273.980	300.513	---	---	5.530	5.978	---	---	
7/21/2021	14:38:12	135.00		213.46	227.05	---	---	12.685	12.685	---	---	1019.45	53.013	12.685	---	---	24.587	24.012	---	---	273.780	300.720	---	---	5.512	5.969	---	---	
7/21/2021	14:38:27	150.00		215.04	226.57	---	---	12.679	12.679	---	---	1019.49	53.023	12.679	---	---	24.508	24.039	---	---	272.753	301.101	---	---	5.570	5.996	---	---	
7/21/2021	14:38:42	165.00		217.23	225.95	---	---	12.672	12.672	---	---	1019.44	53.043	12.672	---	---	24.399	24.072	---	---	271.366	301.353	---	---	5.524	5.953	---	---	
