
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.300	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	25.000	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.621	14.014	1015	100.000	20.950	49.133	22.274	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.646	13.944	1015	100.000	20.950	50.340	22.275	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/27/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/27/2021	05:40:39	0.00		197.57	193.57	---	---	12.578	12.578	---	---	1014.56	59.849	12.578	---	---	26.095	26.408	---	---	258.547	326.141	---	---	5.613	5.978	---	---	
7/27/2021	05:40:54	15.00		196.60	251.05	---	---	12.578	12.578	---	---	1014.51	59.879	12.578	---	---	26.149	23.439	---	---	258.933	287.068	---	---	5.539	5.996	---	---	
7/27/2021	05:41:09	30.00		197.20	243.02	---	---	12.585	12.585	---	---	1014.58	59.940	12.585	---	---	26.113	23.804	---	---	256.720	293.475	---	---	5.600	5.991	---	---	
7/27/2021	05:41:24	45.00		198.05	242.75	---	---	12.587	12.587	---	---	1014.61	59.940	12.587	---	---	26.064	23.816	---	---	256.209	293.419	---	---	5.534	5.955	---	---	
7/27/2021	05:41:39	60.00		203.79	242.00	---	---	12.589	12.589	---	---	1014.56	59.879	12.589	---	---	25.743	23.850	---	---	252.530	293.918	---	---	5.628	6.029	---	---	
7/27/2021	05:41:54	75.00		226.82	241.95	---	---	12.592	12.592	---	---	1014.59	59.879	12.592	---	---	24.546	23.851	---	---	239.513	293.840	---	---	5.570	5.999	---	---	
7/27/2021	05:42:09	90.00		236.58	240.35	---	---	12.593	12.593	---	---	1014.59	59.940	12.593	---	---	24.076	23.927	---	---	234.386	294.803	---	---	5.588	5.974	---	---	
7/27/2021	05:42:24	105.00		240.15	241.78	---	---	12.587	12.587	---	---	1014.53	59.940	12.587	---	---	23.912	23.861	---	---	232.748	293.962	---	---	5.602	5.989	---	---	
7/27/2021	05:42:39	120.00		241.63	241.74	---	---	12.592	12.592	---	---	1014.58	59.879	12.592	---	---	23.842	23.862	---	---	231.943	293.922	---	---	5.576	5.984	---	---	
7/27/2021	05:42:54	135.00		242.32	239.68	---	---	12.593	12.593	---	---	1014.60	59.899	12.593	---	---	23.810	23.958	---	---	231.594	295.242	---	---	5.578	6.008	---	---	
7/27/2021	05:43:09	150.00		242.18	235.14	---	---	12.589	12.589	---	---	1014.57	59.879	12.589	---	---	23.818	24.177	---	---	231.573	298.368	---	---	5.575	6.030	---	---	
7/27/2021	05:43:24	165.00		243.08	234.00	---	---	12.591	12.591	---	---	1014.59	59.879	12.591	---	---	23.775	24.232	---	---	231.226	298.996	---	---	5.598	5.996	---	---	
