
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.300	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	25.000	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.621	14.014	1015	100.000	20.950	49.133	22.274	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.646	13.944	1015	100.000	20.950	50.340	22.275	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/26/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/26/2021	09:41:39	0.00		252.45	249.17	---	---	12.922	12.922	---	---	1015.52	61.314	12.922	---	---	23.243	23.403	---	---	198.670	265.493	---	---	5.588	6.042	---	---	
7/26/2021	09:41:40	1.00		252.33	249.13	---	---	12.919	12.919	---	---	1015.51	61.314	12.919	---	---	23.249	23.406	---	---	198.674	265.519	---	---	5.575	6.033	---	---	
7/26/2021	09:41:40	1.90		252.33	249.13	---	---	12.920	12.920	---	---	1015.48	61.314	12.920	---	---	23.249	23.405	---	---	198.668	265.503	---	---	5.595	6.017	---	---	
7/26/2021	09:41:41	2.83		252.36	249.11	---	---	12.923	12.923	---	---	1015.46	61.314	12.923	---	---	23.247	23.406	---	---	198.687	265.505	---	---	5.608	5.998	---	---	
7/26/2021	09:41:42	3.83		252.48	249.08	---	---	12.923	12.923	---	---	1015.41	61.314	12.923	---	---	23.242	23.407	---	---	198.707	265.512	---	---	5.604	6.016	---	---	
7/26/2021	09:41:43	4.83		252.36	249.06	---	---	12.925	12.925	---	---	1015.37	61.314	12.925	---	---	23.246	23.407	---	---	198.726	265.514	---	---	5.639	6.031	---	---	
7/26/2021	09:41:44	5.83		252.38	249.10	---	---	12.926	12.926	---	---	1015.39	61.314	12.926	---	---	23.245	23.405	---	---	198.751	265.511	---	---	5.627	6.046	---	---	
7/26/2021	09:41:45	6.83		252.45	249.07	---	---	12.933	12.933	---	---	1015.41	61.314	12.933	---	---	23.239	23.404	---	---	198.775	265.515	---	---	5.660	6.039	---	---	
7/26/2021	09:41:46	7.83		252.44	249.03	---	---	12.934	12.934	---	---	1015.49	61.314	12.934	---	---	23.239	23.405	---	---	198.823	265.527	---	---	5.624	6.028	---	---	
7/26/2021	09:41:47	8.83		252.30	248.97	---	---	12.936	12.936	---	---	1015.46	61.314	12.936	---	---	23.245	23.407	---	---	198.843	265.535	---	---	5.619	6.051	---	---	
7/26/2021	09:41:48	9.83		252.05	248.95	---	---	12.935	12.935	---	---	1015.47	61.314	12.935	---	---	23.256	23.408	---	---	198.859	265.554	---	---	5.630	6.049	---	---	
7/26/2021	09:41:49	10.83		252.01	248.93	---	---	12.937	12.937	---	---	1015.42	61.314	12.937	---	---	23.257	23.409	---	---	198.875	265.571	---	---	5.623	6.055	---	---	
7/26/2021	09:41:50	11.83		252.05	248.84	---	---	12.935	12.935	---	---	1015.40	61.314	12.935	---	---	23.256	23.413	---	---	198.882	265.573	---	---	5.661	6.024	---	---	
7/26/2021	09:41:51	12.83		252.08	248.84	---	---	12.937	12.937	---	---	1015.42	61.314	12.937	---	---	23.254	23.413	---	---	198.901	265.597	---	---	5.649	6.031	---	---	
7/26/2021	09:41:52	13.83		252.01	248.71	---	---	12.935	12.935	---	---	1015.47	61.314	12.935	---	---	23.258	23.419	---	---	198.904	265.585	---	---	5.647	6.042	---	---	
7/26/2021	09:41:53	14.83		251.94	248.81	---	---	12.933	12.933	---	---	1015.50	61.314	12.933	---	---	23.261	23.416	---	---	198.952	265.612	---	---	5.634	6.068	---	---	
7/26/2021	09:41:54	15.83		251.90	248.77	---	---	12.932	12.932	---	---	1015.52	61.314	12.932	---	---	23.263	23.417	---	---	198.975	265.606	---	---	5.618	6.063	---	---	
7/26/2021	09:41:55	16.83		251.72	248.78	---	---	12.934	12.934	---	---	1015.50	61.314	12.934	---	---	23.270	23.416	---	---	199.005	265.605	---	---	5.617	6.030	---	---	
7/26/2021	09:41:56	17.83		251.65	248.75	---	---	12.936	12.936	---	---	1015.49	61.314	12.936	---	---	23.273	23.417	---	---	199.035	265.605	---	---	5.602	6.007	---	---	
7/26/2021	09:41:57	18.83		251.65	248.77	---	---	12.932	12.932	---	---	1015.46	61.314	12.932	---	---	23.274	23.417	---	---	199.037	265.642	---	---	5.615	6.006	---	---	
7/26/2021	09:41:58	19.83		251.88	248.72	---	---	12.934	12.934	---	---	1015.46	61.314	12.934	---	---	23.264	23.419	---	---	199.019	265.690	---	---	5.615	6.020	---	---	
7/26/2021	09:41:59	20.83		251.89	248.65	---	---	12.933	12.933	---	---	1015.45	61.314	12.933	---	---	23.263	23.422	---	---	199.005	265.754	---	---	5.576	6.019	---	---	
7/26/2021	09:42:00	21.83		252.04	248.54	---	---	12.932	12.932	---	---	1015.43	61.314	12.932	---	---	23.257	23.428	---	---	198.987	265.761	---	---	5.556	6.016	---	---	
7/26/2021	09:42:01	22.83		252.01	248.61	---	---	12.928	12.928	---	---	1015.41	61.314	12.928	---	---	23.260	23.426	---	---	199.010	265.776	---	---	5.572	5.999	---	---	
7/26/2021	09:42:02	23.83		252.14	248.68	---	---	12.924	12.924	---	---	1015.43	61.314	12.924	---	---	23.256	23.425	---	---	198.986	265.739	---	---	5.639	5.996	---	---	
7/26/2021	09:42:03	24.83		252.11	248.78	---	---	12.922	12.922	---	---	1015.42	61.314	12.922	---	---	23.258	23.421	---	---	198.996	265.694	---	---	5.665	5.999	---	---	
7/26/2021	09:42:04	25.83		252.16	248.77	---	---	12.919	12.919	---	---	1015.42	61.314	12.919	---	---	23.256	23.422	---	---	198.990	265.672	---	---	5.679	6.012	---	---	
7/26/2021	09:42:05	26.83		252.21	248.69	---	---	12.922	12.922	---	---	1015.43	61.314	12.922	---	---	23.253	23.424	---	---	198.979	265.642	---	---	5.646	5.992	---	---	
7/26/2021	09:42:06	27.83		252.29	248.67	---	---	12.923	12.923	---	---	1015.46	61.314	12.923	---	---	23.249	23.425	---	---	198.997	265.653	---	---	5.601	5.994	---	---	
7/26/2021	09:42:07	28.83		252.20	248.59	---	---	12.925	12.925	---	---	1015.44	61.314	12.925	---	---	23.253	23.428	---	---	198.987	265.625	---	---	5.569	5.975	---	---	
7/26/2021	09:42:08	29.83		252.11	248.55	---	---	12.922	12.922	---	---	1015.45	61.314	12.922	---	---	23.258	23.431	---	---	198.999	265.640	---	---	5.562	6.023	---	---	
7/26/2021	09:42:09	30.83		251.85	248.54	---	---	12.922	12.922	---	---	1015.45	61.304	12.922	---	---	23.269	23.431	---	---	198.991	265.637	---	---	5.602	6.015	---	---	
7/26/2021	09:42:10	31.83		251.84	248.65	---	---	12.922	12.922	---	---	1015.47	61.293	12.922	---	---	23.270	23.426	---	---	199.028	265.649	---	---	5.614	6.007	---	---	
7/26/2021	09:42:11	32.83		251.85	248.71	---	---	12.921	12.921	---	---	1015.47	61.283	12.921	---	---	23.269	23.424	---	---	199.050	265.679	---	---	5.642	5.982	---	---	
