
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.300	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	25.000	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.351	12.785	1019	100.000	20.950	48.583	21.802	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.441	12.796	1019	100.000	20.950	49.768	21.861	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/19/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/19/2021	11:10:27	0.00		247.89	236.06	---	---	13.152	13.152	---	---	1018.28	58.620	13.152	---	---	22.788	23.414	---	---	253.526	300.752	---	---	5.614	5.997	---	---	
7/19/2021	11:10:42	15.00		247.97	236.14	---	---	13.152	13.152	---	---	1018.24	58.618	13.152	---	---	22.785	23.411	---	---	253.557	300.754	---	---	5.609	6.002	---	---	
7/19/2021	11:10:57	30.00		247.85	235.46	---	---	13.158	13.158	---	---	1018.26	58.689	13.158	---	---	22.788	23.441	---	---	253.559	301.118	---	---	5.581	5.992	---	---	
7/19/2021	11:11:12	45.00		247.85	235.40	---	---	13.161	13.161	---	---	1018.27	58.720	13.161	---	---	22.787	23.442	---	---	253.527	301.226	---	---	5.595	6.035	---	---	
7/19/2021	11:11:27	60.00		247.71	235.05	---	---	13.160	13.160	---	---	1018.27	58.750	13.160	---	---	22.793	23.459	---	---	253.502	301.355	---	---	5.583	5.957	---	---	
7/19/2021	11:11:42	75.00		247.72	235.39	---	---	13.157	13.157	---	---	1018.24	58.750	13.157	---	---	22.794	23.444	---	---	253.333	301.225	---	---	5.548	5.955	---	---	
7/19/2021	11:11:57	90.00		247.78	235.32	---	---	13.161	13.161	---	---	1018.26	58.720	13.161	---	---	22.790	23.446	---	---	253.471	301.242	---	---	5.611	5.942	---	---	
7/19/2021	11:12:12	105.00		247.81	234.51	---	---	13.160	13.160	---	---	1018.25	58.628	13.160	---	---	22.789	23.485	---	---	253.556	301.753	---	---	5.552	6.005	---	---	
7/19/2021	11:12:27	120.00		247.73	233.34	---	---	13.164	13.164	---	---	1018.28	58.618	13.164	---	---	22.791	23.539	---	---	253.551	302.601	---	---	5.573	5.942	---	---	
7/19/2021	11:12:42	135.00		247.80	233.23	---	---	13.162	13.162	---	---	1018.22	58.628	13.162	---	---	22.789	23.546	---	---	253.539	302.649	---	---	5.567	5.983	---	---	
7/19/2021	11:12:57	150.00		247.58	233.96	---	---	13.163	13.163	---	---	1018.21	58.605	13.163	---	---	22.798	23.510	---	---	253.577	302.165	---	---	5.570	6.001	---	---	
7/19/2021	11:13:12	165.00		247.39	234.34	---	---	13.168	13.168	---	---	1018.28	58.605	13.168	---	---	22.805	23.490	---	---	253.612	301.866	---	---	5.553	5.984	---	---	
