
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.514	14.339	1020	100.000	20.950	50.466	21.982	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.267	14.224	1020	100.000	20.950	51.919	22.715	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.993	16.428	1014	100.000	20.950	50.212	21.551	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.986	16.441	1014	100.000	20.950	49.598	21.172	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/2/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/2/2021	09:15:24	0.00		248.95	248.69	---	---	13.344	13.344	13.344	13.344	1020.25	65.281	13.344	---	---	23.112	23.881	179.703	178.306	115.500	110.350	2.920	2.683	6.135	6.336	19.463	22.288	
8/2/2021	09:15:39	15.00		249.02	248.59	---	---	13.346	13.346	13.346	13.346	1020.20	65.258	13.346	---	---	23.109	23.885	-59.715	178.280	115.466	110.354	2.890	2.715	6.329	6.540	18.875	21.458	
8/2/2021	09:15:54	30.00		249.06	248.06	---	---	13.341	13.341	13.341	13.341	1020.30	65.258	13.341	---	---	23.108	23.912	-59.993	178.369	115.440	110.417	2.922	2.681	5.741	5.990	19.097	22.224	
8/2/2021	09:16:09	45.00		248.96	248.49	---	---	13.347	13.347	13.347	13.347	1020.29	65.258	13.347	---	---	23.111	23.890	-59.753	178.414	115.442	110.384	2.894	2.689	4.943	5.559	18.162	22.023	
8/2/2021	09:16:24	60.00		249.17	248.13	---	---	13.343	13.343	13.343	13.343	1020.23	65.258	13.343	---	---	23.103	23.908	59.979	178.253	115.388	110.361	2.901	2.687	5.535	5.829	19.248	22.418	
8/2/2021	09:16:39	75.00		248.33	247.98	---	---	13.345	13.345	13.345	13.345	1020.26	65.228	13.345	---	---	23.140	23.915	-59.923	177.726	115.504	110.385	2.946	2.675	5.250	5.551	18.295	22.081	
8/2/2021	09:16:54	90.00		247.91	248.50	---	---	13.341	13.341	13.341	13.341	1020.27	65.228	13.341	---	---	23.160	23.892	-59.916	58.950	115.758	110.395	2.897	2.694	5.422	5.899	18.862	21.558	
8/2/2021	09:17:09	105.00		247.20	248.23	---	---	13.339	13.339	13.339	13.339	1020.23	65.228	13.339	---	---	23.194	23.905	-59.959	178.437	115.818	110.383	2.915	2.688	5.194	5.852	19.243	23.105	
8/2/2021	09:17:24	120.00		247.57	248.42	---	---	13.340	13.340	13.340	13.340	1020.27	65.228	13.340	---	---	23.177	23.896	-59.803	177.480	115.786	110.428	2.937	2.695	5.213	5.883	19.009	22.688	
8/2/2021	09:17:39	135.00		248.19	248.55	---	---	13.333	13.333	13.333	13.333	1020.28	65.258	13.333	---	---	23.151	23.892	179.419	-60.269	115.379	111.422	2.883	2.703	4.960	5.577	17.720	20.901	
8/2/2021	09:17:54	150.00		248.02	248.16	---	---	13.335	13.335	13.335	13.335	1020.25	65.258	13.335	---	---	23.158	23.909	-179.533	178.141	115.661	111.446	2.974	2.643	5.647	6.128	19.890	23.085	
8/2/2021	09:18:09	165.00		249.05	248.24	---	---	13.336	13.336	13.336	13.336	1020.18	65.281	13.336	---	---	23.111	23.905	59.819	59.099	118.328	111.332	2.983	2.662	5.277	5.792	19.093	23.067	
8/2/2021	09:18:24	180.00		247.97	248.74	---	---	13.351	13.351	13.351	13.351	1020.30	65.281	13.351	---	---	23.155	23.877	59.934	178.789	121.306	110.729	2.923	2.673	5.939	6.272	20.698	24.463	
8/2/2021	09:18:39	195.00		248.67	248.27	---	---	13.343	13.343	13.343	13.343	1020.20	65.311	13.343	---	---	23.126	23.902	-59.894	178.478	121.035	110.446	2.911	2.666	5.883	6.195	20.472	24.394	
