
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.382	13.558	1019	100.000	20.950	50.339	22.031	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.385	13.570	1019	100.000	20.950	49.689	21.837	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/28/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/28/2021	08:37:46	0.00		247.94	226.52	---	---	12.362	12.362	---	---	1022.04	57.346	12.362	---	---	23.544	24.344	---	---	280.969	217.331	---	---	2.858	3.756	---	---	
7/28/2021	08:38:01	15.00		247.26	225.72	---	---	12.433	12.433	---	---	1022.21	57.346	12.433	---	---	23.549	24.359	---	---	281.040	217.335	---	---	2.873	3.763	---	---	
7/28/2021	08:38:16	30.00		247.20	225.24	---	---	12.433	12.433	---	---	1022.09	57.346	12.433	---	---	23.552	24.383	---	---	280.929	217.976	---	---	2.857	3.721	---	---	
7/28/2021	08:38:31	45.00		246.84	225.05	---	---	12.479	12.479	---	---	1022.07	57.346	12.479	---	---	23.552	24.376	---	---	280.962	217.954	---	---	2.865	3.712	---	---	
7/28/2021	08:38:46	60.00		246.76	225.32	---	---	12.496	12.496	---	---	1022.08	57.346	12.496	---	---	23.550	24.357	---	---	280.979	217.750	---	---	2.855	3.741	---	---	
7/28/2021	08:39:01	75.00		246.93	225.00	---	---	12.468	12.468	---	---	1022.15	57.346	12.468	---	---	23.552	24.383	---	---	280.953	217.533	---	---	2.865	3.733	---	---	
7/28/2021	08:39:16	90.00		247.48	226.11	---	---	12.412	12.412	---	---	1022.13	57.346	12.412	---	---	23.547	24.347	---	---	281.746	217.805	---	---	2.802	3.705	---	---	
7/28/2021	08:39:31	105.00		237.93	226.31	---	---	12.475	12.475	---	---	1021.99	57.346	12.475	---	---	23.972	24.315	---	---	277.251	220.675	---	---	2.842	3.722	---	---	
7/28/2021	08:39:46	120.00		192.53	223.18	---	---	12.442	12.442	---	---	1022.09	57.346	12.442	---	---	26.403	24.483	---	---	305.814	222.549	---	---	2.821	3.713	---	---	
7/28/2021	08:40:01	135.00		176.74	223.52	---	---	12.486	12.486	---	---	1022.04	57.346	12.486	---	---	27.371	24.451	---	---	317.251	222.204	---	---	2.836	3.725	---	---	
7/28/2021	08:40:16	150.00		168.04	224.64	---	---	12.516	12.516	---	---	1022.04	57.316	12.516	---	---	27.940	24.384	---	---	323.973	221.593	---	---	2.839	3.699	---	---	
7/28/2021	08:40:31	165.00		164.21	227.01	---	---	12.537	12.537	---	---	1022.09	57.316	12.537	---	---	28.196	24.258	---	---	326.910	220.399	---	---	2.837	3.703	---	---	
