
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.382	13.558	1019	100.000	20.950	50.339	22.031	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.385	13.570	1019	100.000	20.950	49.689	21.837	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/27/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/27/2021	05:32:41	0.00		250.70	231.92	---	---	12.523	12.523	---	---	1017.69	59.399	12.523	---	---	23.362	24.023	---	---	283.024	214.859	---	---	2.917	3.727	---	---	
7/27/2021	05:32:56	15.00		250.56	231.58	---	---	12.538	12.538	---	---	1017.69	59.407	12.538	---	---	23.362	24.034	---	---	284.285	214.393	---	---	2.903	3.751	---	---	
7/27/2021	05:33:11	30.00		251.22	231.91	---	---	12.440	12.440	---	---	1017.67	59.407	12.440	---	---	23.368	24.053	---	---	283.948	216.706	---	---	2.914	3.751	---	---	
7/27/2021	05:33:26	45.00		250.96	232.47	---	---	12.492	12.492	---	---	1017.67	59.422	12.492	---	---	23.361	24.007	---	---	284.941	216.708	---	---	2.890	3.742	---	---	
7/27/2021	05:33:41	60.00		233.47	231.76	---	---	12.512	12.512	---	---	1017.74	59.422	12.512	---	---	24.173	24.035	---	---	196.241	215.208	---	---	2.875	3.740	---	---	
7/27/2021	05:33:56	75.00		222.41	230.75	---	---	12.587	12.587	---	---	1017.70	59.422	12.587	---	---	24.699	24.058	---	---	213.530	214.967	---	---	2.866	3.762	---	---	
7/27/2021	05:34:11	90.00		221.24	230.55	---	---	12.589	12.589	---	---	1017.68	59.422	12.589	---	---	24.758	24.067	---	---	218.533	214.907	---	---	2.886	3.757	---	---	
7/27/2021	05:34:26	105.00		221.10	230.84	---	---	12.545	12.545	---	---	1017.68	59.422	12.545	---	---	24.781	24.068	---	---	221.422	214.984	---	---	2.901	3.742	---	---	
7/27/2021	05:34:41	120.00		221.49	231.18	---	---	12.505	12.505	---	---	1017.74	59.422	12.505	---	---	24.775	24.065	---	---	223.116	215.306	---	---	2.887	3.743	---	---	
7/27/2021	05:34:56	135.00		221.71	230.65	---	---	12.515	12.515	---	---	1017.72	59.422	12.515	---	---	24.761	24.087	---	---	224.423	215.145	---	---	2.876	3.751	---	---	
7/27/2021	05:35:11	150.00		221.69	230.02	---	---	12.505	12.505	---	---	1017.77	59.422	12.505	---	---	24.765	24.122	---	---	225.442	215.604	---	---	2.857	3.739	---	---	
7/27/2021	05:35:26	165.00		221.18	228.80	---	---	12.597	12.597	---	---	1017.70	59.422	12.597	---	---	24.759	24.149	---	---	226.320	219.968	---	---	2.883	3.756	---	---	
7/27/2021	05:35:41	180.00		220.90	228.36	---	---	12.615	12.615	---	---	1017.67	59.422	12.615	---	---	24.766	24.165	---	---	227.033	215.455	---	---	2.862	3.741	---	---	
7/27/2021	05:35:56	195.00		222.63	228.93	---	---	12.495	12.495	---	---	1017.68	59.422	12.495	---	---	24.721	24.179	---	---	227.273	222.369	---	---	2.880	3.730	---	---	
7/27/2021	05:36:11	210.00		224.09	229.52	---	---	12.514	12.514	---	---	1017.70	59.422	12.514	---	---	24.639	24.143	---	---	227.032	215.294	---	---	2.906	3.722	---	---	
7/27/2021	05:36:26	225.00		225.40	228.86	---	---	12.562	12.562	---	---	1017.74	59.422	12.562	---	---	24.556	24.159	---	---	226.631	215.681	---	---	2.881	3.746	---	---	
7/27/2021	05:36:41	240.00		226.85	228.98	---	---	12.486	12.486	---	---	1017.71	59.422	12.486	---	---	24.509	24.180	---	---	226.586	215.248	---	---	2.901	3.752	---	---	
7/27/2021	05:36:56	255.00		226.08	228.99	---	---	12.582	12.582	---	---	1017.67	59.422	12.582	---	---	24.514	24.146	---	---	226.916	216.034	---	---	2.842	3.723	---	---	
7/27/2021	05:37:11	270.00		226.16	225.72	---	---	12.524	12.524	---	---	1017.70	59.422	12.524	---	---	24.531	24.328	---	---	227.501	221.971	---	---	2.877	3.747	---	---	
7/27/2021	05:37:26	285.00		225.69	227.37	---	---	12.516	12.516	---	---	1017.72	59.422	12.516	---	---	24.557	24.248	---	---	227.705	219.954	---	---	2.914	3.754	---	---	
7/27/2021	05:37:41	300.00		224.81	226.07	---	---	12.557	12.557	---	---	1017.74	59.422	12.557	---	---	24.587	24.299	---	---	228.535	216.297	---	---	2.897	3.737	---	---	
7/27/2021	05:37:56	315.00		224.40	224.46	---	---	12.618	12.618	---	---	1017.71	59.422	12.618	---	---	24.586	24.357	---	---	228.787	215.934	---	---	2.835	3.725	---	---	
7/27/2021	05:38:11	330.00		224.65	225.27	---	---	12.566	12.566	---	---	1017.72	59.422	12.566	---	---	24.592	24.335	---	---	229.038	217.237	---	---	2.883	3.737	---	---	
7/27/2021	05:38:26	345.00		224.52	224.41	---	---	12.604	12.604	---	---	1017.71	59.422	12.604	---	---	24.585	24.365	---	---	229.116	217.640	---	---	2.867	3.726	---	---	
7/27/2021	05:38:41	360.00		224.45	224.13	---	---	12.574	12.574	---	---	1017.68	59.422	12.574	---	---	24.599	24.389	---	---	229.688	225.416	---	---	2.869	3.719	---	---	
7/27/2021	05:38:56	375.00		223.25	222.65	---	---	12.619	12.619	---	---	1017.69	59.422	12.619	---	---	24.645	24.448	---	---	230.332	218.410	---	---	2.887	3.730	---	---	
7/27/2021	05:39:11	390.00		223.42	223.14	---	---	12.536	12.536	---	---	1017.70	59.422	12.536	---	---	24.665	24.453	---	---	230.636	219.066	---	---	2.884	3.737	---	---	
7/27/2021	05:39:26	405.00		223.13	223.09	---	---	12.519	12.519	---	---	1017.69	59.422	12.519	---	---	24.686	24.461	---	---	231.023	222.847	---	---	2.884	3.754	---	---	
7/27/2021	05:39:41	420.00		222.44	223.09	---	---	12.557	12.557	---	---	1017.73	59.422	12.557	---	---	24.708	24.448	---	---	231.428	219.478	---	---	2.902	3.763	---	---	
7/27/2021	05:39:56	435.00		221.84	223.09	---	---	12.576	12.576	---	---	1017.74	59.422	12.576	---	---	24.732	24.441	---	---	231.650	225.662	---	---	2.894	3.767	---	---	
7/27/2021	05:40:11	450.00		222.25	223.85	---	---	12.469	12.469	---	---	1017.67	59.422	12.469	---	---	24.749	24.440	---	---	231.948	223.900	---	---	2.918	3.761	---	---	
7/27/2021	05:40:26	465.00		220.64	223.16	---	---	12.603	12.603	---	---	1017.69	59.422	12.603	---	---	24.784	24.428	---	---	232.437	219.231	---	---	2.865	3.742	---	---	
7/27/2021	05:40:41	480.00		220.61	223.50	---	---	12.540	12.540	---	---	1017.69	59.422	12.540	---	---	24.808	24.433	---	---	232.882	217.873	---	---	2.863	3.745	---	---	
7/27/2021	05:40:56	495.00		220.24	223.29	---	---	12.550	12.550	---	---	1017.72	59.422	12.550	---	---	24.824	24.440	---	---	233.159	217.580	---	---	2.897	3.756	---	---	
