
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.627	13.171	1022	100.000	20.950	50.547	22.014	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.613	13.172	1022	100.000	20.950	49.860	21.786	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/20/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/20/2021	08:14:36	0.00		199.60	211.31	---	---	14.070	14.070	---	---	1022.99	58.910	14.070	---	---	25.396	24.475	---	---	314.134	229.339	---	---	2.860	3.744	---	---	
7/20/2021	08:14:51	15.00		201.24	212.40	---	---	14.063	14.063	---	---	1023.04	58.956	14.063	---	---	25.304	24.420	---	---	312.328	233.640	---	---	2.888	3.758	---	---	
7/20/2021	08:15:06	30.00		202.95	207.52	---	---	14.090	14.090	---	---	1023.04	59.015	14.090	---	---	25.197	24.674	---	---	311.485	222.085	---	---	2.861	3.766	---	---	
7/20/2021	08:15:21	45.00		204.79	203.11	---	---	14.087	14.087	---	---	1023.12	59.025	14.087	---	---	25.095	24.917	---	---	310.493	225.848	---	---	2.901	3.769	---	---	
7/20/2021	08:15:36	60.00		205.80	199.66	---	---	14.095	14.095	---	---	1023.03	59.086	14.095	---	---	25.036	25.108	---	---	309.373	236.010	---	---	2.907	3.739	---	---	
7/20/2021	08:15:51	75.00		207.17	198.26	---	---	14.098	14.098	---	---	1023.08	59.139	14.098	---	---	24.959	25.186	---	---	308.309	242.483	---	---	2.873	3.763	---	---	
7/20/2021	08:16:06	90.00		207.80	199.05	---	---	14.104	14.104	---	---	1023.04	59.139	14.104	---	---	24.922	25.140	---	---	307.634	241.356	---	---	2.877	3.736	---	---	
7/20/2021	08:16:21	105.00		208.50	198.60	---	---	14.101	14.101	---	---	1023.06	59.200	14.101	---	---	24.884	25.167	---	---	307.275	242.010	---	---	2.855	3.724	---	---	
7/20/2021	08:16:36	120.00		208.11	196.90	---	---	14.093	14.093	---	---	1023.04	59.223	14.093	---	---	24.909	25.267	---	---	307.055	225.415	---	---	2.867	3.750	---	---	
7/20/2021	08:16:51	135.00		205.83	196.59	---	---	14.101	14.101	---	---	1023.04	59.254	14.101	---	---	25.031	25.281	---	---	307.814	219.612	---	---	2.900	3.759	---	---	
7/20/2021	08:17:06	150.00		203.22	197.91	---	---	14.115	14.115	---	---	1023.02	59.284	14.115	---	---	25.174	25.201	---	---	309.287	216.333	---	---	2.873	3.741	---	---	
7/20/2021	08:17:21	165.00		200.69	201.21	---	---	14.129	14.129	---	---	1023.04	59.315	14.129	---	---	25.312	25.009	---	---	309.682	216.840	---	---	2.880	3.765	---	---	
7/20/2021	08:17:36	180.00		198.74	200.60	---	---	14.164	14.164	---	---	1023.02	59.345	14.164	---	---	25.412	25.031	---	---	308.888	214.712	---	---	2.883	3.739	---	---	
7/20/2021	08:17:51	195.00		197.84	201.97	---	---	14.192	14.192	---	---	1023.03	59.389	14.192	---	---	25.454	24.945	---	---	309.436	216.727	---	---	2.871	3.747	---	---	
7/20/2021	08:18:06	210.00		197.14	200.76	---	---	14.177	14.177	---	---	1023.05	59.429	14.177	---	---	25.500	25.017	---	---	310.079	217.580	---	---	2.869	3.749	---	---	
7/20/2021	08:18:21	225.00		196.13	196.81	---	---	14.177	14.177	---	---	1023.07	59.429	14.177	---	---	25.559	25.242	---	---	310.787	227.410	---	---	2.894	3.760	---	---	
7/20/2021	08:18:36	240.00		195.97	195.17	---	---	14.169	14.169	---	---	1023.01	59.429	14.169	---	---	25.572	25.340	---	---	310.813	219.741	---	---	2.879	3.749	---	---	
7/20/2021	08:18:51	255.00		197.18	194.56	---	---	14.166	14.166	---	---	1022.98	59.490	14.166	---	---	25.502	25.377	---	---	309.980	218.565	---	---	2.865	3.745	---	---	
7/20/2021	08:19:06	270.00		198.09	195.83	---	---	14.174	14.174	---	---	1023.08	59.511	14.174	---	---	25.447	25.300	---	---	309.119	221.147	---	---	2.856	3.753	---	---	
7/20/2021	08:19:21	285.00		198.84	196.76	---	---	14.177	14.177	---	---	1023.06	59.521	14.177	---	---	25.403	25.245	---	---	308.557	238.976	---	---	2.857	3.734	---	---	
7/20/2021	08:19:36	300.00		198.96	198.39	---	---	14.188	14.188	---	---	1023.05	59.521	14.188	---	---	25.392	25.149	---	---	308.455	227.145	---	---	2.872	3.749	---	---	
7/20/2021	08:19:51	315.00		198.05	198.98	---	---	14.180	14.180	---	---	1023.05	59.544	14.180	---	---	25.446	25.117	---	---	309.278	231.565	---	---	2.865	3.747	---	---	
7/20/2021	08:20:06	330.00		196.43	200.04	---	---	14.194	14.194	---	---	1023.04	59.554	14.194	---	---	25.536	25.052	---	---	310.491	220.149	---	---	2.831	3.733	---	---	
7/20/2021	08:20:21	345.00		195.08	201.03	---	---	14.170	14.170	---	---	1023.08	59.574	14.170	---	---	25.624	25.005	---	---	311.586	226.507	---	---	2.848	3.734	---	---	
7/20/2021	08:20:36	360.00		194.62	193.50	---	---	14.169	14.169	---	---	1023.02	59.574	14.169	---	---	25.651	25.438	---	---	311.915	224.237	---	---	2.871	3.740	---	---	
7/20/2021	08:20:51	375.00		194.71	181.43	---	---	14.176	14.176	---	---	1023.01	59.605	14.176	---	---	25.643	26.166	---	---	311.757	227.932	---	---	2.908	3.773	---	---	
7/20/2021	08:21:06	390.00		195.39	182.24	---	---	14.187	14.187	---	---	1023.05	59.605	14.187	---	---	25.599	26.112	---	---	311.201	227.742	---	---	2.910	3.766	---	---	
7/20/2021	08:21:21	405.00		195.96	180.59	---	---	14.184	14.184	---	---	1023.03	59.650	14.184	---	---	25.567	26.216	---	---	310.609	225.771	---	---	2.888	3.743	---	---	
7/20/2021	08:21:36	420.00		196.69	181.88	---	---	14.173	14.173	---	---	1023.05	59.658	14.173	---	---	25.528	26.139	---	---	310.145	226.341	---	---	2.877	3.768	---	---	
7/20/2021	08:21:51	435.00		197.17	182.28	---	---	14.180	14.180	---	---	1023.08	59.689	14.180	---	---	25.498	26.112	---	---	309.689	223.146	---	---	2.844	3.729	---	---	
7/20/2021	08:22:06	450.00		195.86	185.46	---	---	14.169	14.169	---	---	1023.10	59.689	14.169	---	---	25.578	25.919	---	---	310.918	221.376	---	---	2.864	3.722	---	---	
7/20/2021	08:22:21	465.00		190.88	187.38	---	---	14.173	14.173	---	---	1023.09	59.719	14.173	---	---	25.874	25.801	---	---	314.820	228.107	---	---	2.874	3.755	---	---	
7/20/2021	08:22:36	480.00		186.78	188.94	---	---	14.173	14.173	---	---	1023.06	59.719	14.173	---	---	26.123	25.707	---	---	318.116	225.470	---	---	2.872	3.759	---	---	
7/20/2021	08:22:51	495.00		184.14	188.82	---	---	14.169	14.169	---	---	1023.09	59.750	14.169	---	---	26.289	25.716	---	---	320.208	227.974	---	---	2.863	3.741	---	---	
7/20/2021	08:23:06	510.00		182.72	188.25	---	---	14.158	14.158	---	---	1023.04	59.750	14.158	---	---	26.382	25.753	---	---	321.492	226.460	---	---	2.888	3.746	---	---	
7/20/2021	08:23:21	525.00		182.09	188.58	---	---	14.172	14.172	---	---	1023.06	59.780	14.172	---	---	26.416	25.729	---	---	321.998	226.165	---	---	2.857	3.758	---	---	
7/20/2021	08:23:36	540.00		182.49	188.89	---	---	14.165	14.165	---	---	1023.07	59.788	14.165	---	---	26.394	25.712	---	---	321.679	228.266	---	---	2.864	3.729	---	---	
