
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.514	11.981	1020	100.000	20.950	50.317	21.990	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.525	11.986	1020	100.000	20.950	49.581	21.595	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/13/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/13/2021	12:05:36	0.00		230.64	225.72	---	---	12.020	12.020	---	---	1020.05	63.213	12.020	---	---	24.276	24.085	---	---	306.257	205.637	---	---	2.871	3.754	---	---	
7/13/2021	12:05:51	15.00		233.42	225.63	---	---	12.031	12.031	---	---	1020.05	63.244	12.031	---	---	24.136	24.086	---	---	304.524	205.770	---	---	2.886	3.749	---	---	
7/13/2021	12:06:06	30.00		232.93	220.17	---	---	12.021	12.021	---	---	1020.06	63.244	12.021	---	---	24.164	24.364	---	---	304.752	208.594	---	---	2.918	3.748	---	---	
7/13/2021	12:06:21	45.00		231.57	219.14	---	---	12.024	12.024	---	---	1020.04	63.297	12.024	---	---	24.229	24.416	---	---	305.679	209.116	---	---	2.892	3.747	---	---	
7/13/2021	12:06:36	60.00		230.91	219.59	---	---	12.021	12.021	---	---	1020.05	63.328	12.021	---	---	24.262	24.394	---	---	306.171	208.975	---	---	2.870	3.728	---	---	
7/13/2021	12:06:51	75.00		230.41	219.87	---	---	12.013	12.013	---	---	1020.04	63.328	12.013	---	---	24.290	24.382	---	---	306.491	208.920	---	---	2.902	3.730	---	---	
7/13/2021	12:07:06	90.00		229.89	219.10	---	---	12.039	12.039	---	---	1020.04	63.348	12.039	---	---	24.307	24.413	---	---	300.961	210.888	---	---	2.915	3.757	---	---	
7/13/2021	12:07:21	105.00		230.10	220.07	---	---	12.025	12.025	---	---	1020.03	63.328	12.025	---	---	24.301	24.368	---	---	306.569	210.647	---	---	2.845	3.725	---	---	
7/13/2021	12:07:36	120.00		229.18	219.04	---	---	12.025	12.025	---	---	1020.10	63.358	12.025	---	---	24.346	24.421	---	---	307.243	210.990	---	---	2.860	3.754	---	---	
7/13/2021	12:07:51	135.00		227.66	219.53	---	---	12.010	12.010	---	---	1020.05	63.358	12.010	---	---	24.428	24.401	---	---	308.386	210.813	---	---	2.861	3.728	---	---	
7/13/2021	12:08:06	150.00		226.42	219.53	---	---	12.018	12.018	---	---	1020.02	63.358	12.018	---	---	24.487	24.398	---	---	309.134	210.923	---	---	2.885	3.746	---	---	
7/13/2021	12:08:21	165.00		225.74	219.18	---	---	12.018	12.018	---	---	1020.05	63.389	12.018	---	---	24.522	24.416	---	---	309.725	211.047	---	---	2.859	3.724	---	---	
