
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.382	13.558	1019	100.000	20.950	50.339	22.031	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.385	13.570	1019	100.000	20.950	49.689	21.837	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/26/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/26/2021	09:02:41	0.00		252.18	245.50	---	---	12.884	12.884	---	---	1018.76	63.023	12.884	---	---	23.169	23.261	---	---	280.126	204.825	---	---	2.943	3.804	---	---	
7/26/2021	09:02:56	15.00		252.41	246.33	---	---	12.835	12.835	---	---	1018.77	63.084	12.835	---	---	23.175	23.240	---	---	280.138	224.783	---	---	2.925	3.783	---	---	
7/26/2021	09:03:11	30.00		252.54	244.94	---	---	12.828	12.828	---	---	1018.72	63.104	12.828	---	---	23.172	23.305	---	---	280.139	204.744	---	---	2.900	3.792	---	---	
7/26/2021	09:03:26	45.00		252.48	245.26	---	---	12.839	12.839	---	---	1018.78	63.104	12.839	---	---	23.171	23.287	---	---	280.168	203.697	---	---	2.936	3.778	---	---	
7/26/2021	09:03:41	60.00		252.55	245.28	---	---	12.836	12.836	---	---	1018.74	63.114	12.836	---	---	23.169	23.287	---	---	280.091	204.767	---	---	2.942	3.787	---	---	
7/26/2021	09:03:56	75.00		252.62	244.93	---	---	12.833	12.833	---	---	1018.77	63.145	12.833	---	---	23.167	23.304	---	---	280.063	204.601	---	---	2.925	3.780	---	---	
7/26/2021	09:04:11	90.00		252.59	244.97	---	---	12.821	12.821	---	---	1018.80	63.145	12.821	---	---	23.172	23.306	---	---	280.125	210.723	---	---	2.915	3.781	---	---	
7/26/2021	09:04:26	105.00		252.55	244.79	---	---	12.836	12.836	---	---	1018.73	63.175	12.836	---	---	23.169	23.309	---	---	280.195	205.343	---	---	2.935	3.790	---	---	
7/26/2021	09:04:41	120.00		252.25	244.10	---	---	12.839	12.839	---	---	1018.78	63.175	12.839	---	---	23.181	23.339	---	---	279.943	208.957	---	---	2.924	3.791	---	---	
7/26/2021	09:04:56	135.00		252.42	244.05	---	---	12.840	12.840	---	---	1018.78	63.185	12.840	---	---	23.173	23.341	---	---	280.170	205.263	---	---	2.925	3.794	---	---	
7/26/2021	09:05:11	150.00		252.61	243.89	---	---	12.846	12.846	---	---	1018.77	63.280	12.846	---	---	23.163	23.347	---	---	280.146	206.227	---	---	2.943	3.822	---	---	
7/26/2021	09:05:26	165.00		252.30	243.28	---	---	12.844	12.844	---	---	1018.80	63.290	12.844	---	---	23.177	23.376	---	---	280.150	205.322	---	---	2.927	3.794	---	---	
