
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.382	13.558	1019	100.000	20.950	50.339	22.031	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.385	13.570	1019	100.000	20.950	49.689	21.837	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/27/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/27/2021	10:27:28	0.00		249.45	255.64	---	---	12.672	12.672	---	---	1019.47	59.879	12.672	---	---	23.366	22.883	---	---	283.886	193.311	---	---	2.890	3.735	---	---	
7/27/2021	10:27:29	1.13		249.48	255.57	---	---	12.655	12.655	---	---	1019.45	59.879	12.655	---	---	23.370	22.892	---	---	283.878	191.451	---	---	2.867	3.730	---	---	
7/27/2021	10:27:30	2.01		249.06	255.48	---	---	12.685	12.685	---	---	1019.42	59.889	12.685	---	---	23.379	22.886	---	---	283.913	191.210	---	---	2.856	3.734	---	---	
7/27/2021	10:27:31	3.03		249.03	255.60	---	---	12.671	12.671	---	---	1019.46	59.889	12.671	---	---	23.385	22.885	---	---	284.000	191.141	---	---	2.872	3.730	---	---	
7/27/2021	10:27:46	17.58		249.39	255.37	---	---	12.641	12.641	---	---	1019.43	59.910	12.641	---	---	23.379	22.905	---	---	283.887	191.797	---	---	2.845	3.726	---	---	
7/27/2021	10:28:01	32.58		249.47	252.58	---	---	12.643	12.643	---	---	1019.45	59.930	12.643	---	---	23.375	23.027	---	---	283.936	193.562	---	---	2.860	3.746	---	---	
7/27/2021	10:28:16	47.58		250.30	253.36	---	---	12.533	12.533	---	---	1019.44	59.940	12.533	---	---	23.376	23.031	---	---	284.031	192.904	---	---	2.892	3.723	---	---	
7/27/2021	10:28:31	62.58		250.01	251.64	---	---	12.572	12.572	---	---	1019.42	59.920	12.572	---	---	23.375	23.093	---	---	283.999	193.054	---	---	2.905	3.730	---	---	
7/27/2021	10:28:46	77.58		249.48	251.53	---	---	12.616	12.616	---	---	1019.42	59.940	12.616	---	---	23.384	23.083	---	---	283.709	191.423	---	---	2.903	3.750	---	---	
7/27/2021	10:29:01	92.58		250.18	250.73	---	---	12.574	12.574	---	---	1019.41	59.940	12.574	---	---	23.367	23.133	---	---	279.998	191.544	---	---	2.849	3.743	---	---	
7/27/2021	10:29:16	107.58		249.17	249.78	---	---	12.692	12.692	---	---	1019.43	59.940	12.692	---	---	23.371	23.134	---	---	279.890	192.931	---	---	2.836	3.727	---	---	
7/27/2021	10:29:31	122.58		249.89	250.49	---	---	12.607	12.607	---	---	1019.44	59.940	12.607	---	---	23.369	23.132	---	---	279.785	192.445	---	---	2.870	3.744	---	---	
