
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	30.000	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	30.000	60%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	30.000	60%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	30.000	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.405	14.290	1023	100.000	20.950	51.411	22.734	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	14.374	14.279	1023	100.000	20.950	50.869	22.600	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.568	12.565	1018	100.000	20.950	54.412	22.176	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.493	12.581	1019	100.000	20.950	52.588	24.343	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	8/2/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/2/2021	09:06:18	0.00		254.50	255.72	---	---	13.268	13.268	13.268	13.268	1023.61	62.695	13.268	---	---	23.693	23.494	178.015	174.958	227.180	197.143	4.507	4.182	2.890	3.746	46.269	52.447	
8/2/2021	09:06:33	15.00		254.29	255.13	---	---	13.275	13.275	13.275	13.275	1023.66	62.695	13.275	---	---	23.700	23.517	178.155	174.691	227.277	197.202	4.495	4.166	2.862	3.745	46.020	48.395	
8/2/2021	09:06:48	30.00		254.19	253.71	---	---	13.274	13.274	13.274	13.274	1023.62	62.664	13.274	---	---	23.705	23.581	178.584	175.859	227.187	197.791	4.547	4.289	2.865	3.744	39.004	43.625	
8/2/2021	09:07:03	45.00		254.25	252.67	---	---	13.284	13.284	13.284	13.284	1023.63	62.634	13.284	---	---	23.699	23.625	178.073	175.098	227.586	198.108	4.495	4.258	2.878	3.710	41.450	47.774	
8/2/2021	09:07:18	60.00		254.49	251.94	---	---	13.278	13.278	13.278	13.278	1023.65	62.634	13.278	---	---	23.690	23.660	178.256	174.517	227.981	198.116	4.523	4.180	2.843	3.742	35.353	40.416	
8/2/2021	09:07:33	75.00		254.52	251.06	---	---	13.303	13.303	13.303	13.303	1023.65	62.580	13.303	---	---	23.680	23.691	178.468	175.698	226.950	198.711	4.543	4.312	2.868	3.734	38.397	39.049	
8/2/2021	09:07:48	90.00		254.36	250.56	---	---	13.327	13.327	13.327	13.327	1023.63	62.580	13.327	---	---	23.678	23.706	178.293	174.812	226.487	198.881	4.518	4.155	2.859	3.743	37.480	41.310	
8/2/2021	09:08:03	105.00		254.18	251.07	---	---	13.341	13.341	13.341	13.341	1023.61	62.580	13.341	---	---	23.682	23.677	178.080	174.454	226.796	198.601	4.508	4.152	2.886	3.763	37.601	42.746	
8/2/2021	09:08:18	120.00		254.06	251.31	---	---	13.317	13.317	13.317	13.317	1023.69	62.580	13.317	---	---	23.695	23.675	178.216	174.772	227.022	198.552	4.511	4.207	2.835	3.721	43.828	48.865	
8/2/2021	09:08:33	135.00		254.00	251.33	---	---	13.320	13.320	13.320	13.320	1023.60	62.634	13.320	---	---	23.697	23.673	178.303	174.725	227.040	198.484	4.515	4.174	2.830	3.730	33.446	33.907	
8/2/2021	09:08:48	150.00		254.09	251.45	---	---	13.323	13.323	13.323	13.323	1023.66	62.580	13.323	---	---	23.692	23.667	178.334	174.569	226.769	198.452	4.520	4.212	2.852	3.725	33.463	35.507	
8/2/2021	09:09:03	165.00		254.12	251.09	---	---	13.331	13.331	13.331	13.331	1023.68	62.634	13.331	---	---	23.688	23.680	178.106	176.031	226.634	198.527	4.506	4.375	2.838	3.724	34.212	38.428	
8/2/2021	09:09:18	180.00		253.91	251.33	---	---	13.319	13.319	13.319	13.319	1023.67	62.634	13.319	---	---	23.702	23.673	178.385	174.207	226.687	198.509	4.512	4.140	2.872	3.734	36.606	40.556	
8/2/2021	09:09:33	195.00		254.05	251.47	---	---	13.316	13.316	13.316	13.316	1023.66	62.634	13.316	---	---	23.696	23.668	178.064	174.411	226.939	198.468	4.479	4.176	2.877	3.740	59.762	64.879	
8/2/2021	09:09:48	210.00		253.96	251.49	---	---	13.309	13.309	13.309	13.309	1023.65	62.634	13.309	---	---	23.703	23.669	178.310	174.894	226.853	198.443	4.492	4.176	2.851	3.736	61.254	66.335	
8/2/2021	09:10:03	225.00		254.06	251.59	---	---	13.305	13.305	13.305	13.305	1023.69	62.634	13.305	---	---	23.700	23.666	178.384	174.577	226.562	198.443	4.521	4.154	2.862	3.748	43.837	47.614	
