
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.514	11.981	1020	100.000	20.950	50.317	21.990	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.525	11.986	1020	100.000	20.950	49.581	21.595	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/12/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/12/2021	15:18:19	0.00		254.36	259.78	---	---	12.118	12.118	---	---	1019.58	64.625	12.118	---	---	23.133	22.487	---	---	279.067	194.745	---	---	2.905	3.793	---	---	
7/12/2021	15:18:20	1.17		254.30	259.83	---	---	12.122	12.122	---	---	1019.60	64.625	12.122	---	---	23.135	22.483	---	---	275.740	194.731	---	---	2.897	3.775	---	---	
7/12/2021	15:18:21	2.04		254.09	259.80	---	---	12.129	12.129	---	---	1019.58	64.625	12.129	---	---	23.141	22.482	---	---	272.213	194.717	---	---	2.894	3.773	---	---	
7/12/2021	15:18:22	2.92		254.00	259.87	---	---	12.129	12.129	---	---	1019.60	64.625	12.129	---	---	23.145	22.479	---	---	268.736	194.699	---	---	2.908	3.774	---	---	
7/12/2021	15:18:23	3.84		253.98	259.70	---	---	12.133	12.133	---	---	1019.59	64.625	12.133	---	---	23.145	22.485	---	---	269.642	194.715	---	---	2.922	3.770	---	---	
7/12/2021	15:18:24	4.72		254.11	259.55	---	---	12.129	12.129	---	---	1019.60	64.625	12.129	---	---	23.141	22.493	---	---	273.138	194.730	---	---	2.925	3.761	---	---	
7/12/2021	15:18:25	5.72		254.24	259.45	---	---	12.129	12.129	---	---	1019.62	64.625	12.129	---	---	23.135	22.497	---	---	277.275	194.783	---	---	2.914	3.764	---	---	
7/12/2021	15:18:26	6.72		254.24	259.50	---	---	12.129	12.129	---	---	1019.61	64.625	12.129	---	---	23.135	22.495	---	---	279.712	194.813	---	---	2.903	3.770	---	---	
7/12/2021	15:18:27	7.72		254.23	259.48	---	---	12.125	12.125	---	---	1019.59	64.625	12.125	---	---	23.136	22.497	---	---	281.127	194.898	---	---	2.896	3.777	---	---	
7/12/2021	15:18:28	8.72		254.09	259.35	---	---	12.132	12.132	---	---	1019.56	64.625	12.132	---	---	23.140	22.500	---	---	281.102	194.946	---	---	2.892	3.764	---	---	
7/12/2021	15:18:29	9.72		254.15	259.17	---	---	12.129	12.129	---	---	1019.55	64.625	12.129	---	---	23.139	22.508	---	---	281.087	195.013	---	---	2.900	3.757	---	---	
7/12/2021	15:18:30	10.83		254.08	258.99	---	---	12.140	12.140	---	---	1019.55	64.625	12.140	---	---	23.138	22.512	---	---	281.081	195.067	---	---	2.896	3.765	---	---	
