
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	20.000	ON	1013	28.700	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.627	13.171	1022	100.000	20.950	50.547	22.014	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.613	13.172	1022	100.000	20.950	49.860	21.786	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	7/19/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/19/2021	10:28:06	0.00		256.00	254.09	---	---	12.688	12.688	---	---	1021.63	65.922	12.688	---	---	23.044	22.885	---	---	260.007	235.420	---	---	2.897	3.798	---	---	
7/19/2021	10:28:21	15.00		255.77	248.65	---	---	12.705	12.705	---	---	1021.59	65.807	12.705	---	---	23.048	23.121	---	---	259.984	228.274	---	---	2.913	3.794	---	---	
7/19/2021	10:28:36	30.00		255.83	248.15	---	---	12.713	12.713	---	---	1021.58	65.807	12.713	---	---	23.043	23.140	---	---	259.957	242.955	---	---	2.894	3.781	---	---	
7/19/2021	10:28:51	45.00		255.68	249.55	---	---	12.701	12.701	---	---	1021.63	65.861	12.701	---	---	23.054	23.082	---	---	259.861	215.203	---	---	2.923	3.760	---	---	
7/19/2021	10:29:06	60.00		255.56	247.83	---	---	12.723	12.723	---	---	1021.62	65.861	12.723	---	---	23.051	23.152	---	---	259.945	212.546	---	---	2.891	3.761	---	---	
7/19/2021	10:29:21	75.00		255.56	229.43	---	---	12.733	12.733	---	---	1021.67	65.754	12.733	---	---	23.048	24.014	---	---	260.040	236.789	---	---	2.916	3.766	---	---	
7/19/2021	10:29:36	90.00		255.74	220.05	---	---	12.730	12.730	---	---	1021.69	65.670	12.730	---	---	23.041	24.485	---	---	259.933	274.868	---	---	2.902	3.782	---	---	
7/19/2021	10:29:51	105.00		255.81	224.23	---	---	12.726	12.726	---	---	1021.67	65.640	12.726	---	---	23.039	24.274	---	---	262.577	233.822	---	---	2.877	3.766	---	---	
7/19/2021	10:30:06	120.00		255.42	220.29	---	---	12.767	12.767	---	---	1021.58	65.691	12.767	---	---	23.042	24.460	---	---	263.765	237.434	---	---	2.918	3.749	---	---	
7/19/2021	10:30:21	135.00		254.97	217.67	---	---	12.809	12.809	---	---	1021.65	65.701	12.809	---	---	23.047	24.580	---	---	264.232	242.188	---	---	2.888	3.738	---	---	
7/19/2021	10:30:36	150.00		255.43	226.98	---	---	12.801	12.801	---	---	1021.59	65.701	12.801	---	---	23.030	24.110	---	---	263.986	256.771	---	---	2.881	3.766	---	---	
7/19/2021	10:30:51	165.00		255.36	229.77	---	---	12.816	12.816	---	---	1021.63	65.701	12.816	---	---	23.028	23.968	---	---	263.814	220.200	---	---	2.857	3.752	---	---	
