7/21/2021/11:15 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 101118
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.44 at 012.6°C amp 023500
100.00%a.s.phase 2: 28.37 at 013.4°C amp 010700
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/21/2021;11:15:07 AM;0.00;82.220;30.740;14880.000;12.400;0.000
7/21/2021;11:15:11 AM;0.06;82.080;30.760;14873.000;12.400;0.000
7/21/2021;11:15:26 AM;0.31;81.550;30.840;14954.000;12.400;0.000
7/21/2021;11:15:41 AM;0.56;78.110;31.330;15194.000;12.400;0.000
7/21/2021;11:15:56 AM;0.81;81.530;30.840;14941.000;12.400;0.000
7/21/2021;11:16:11 AM;1.06;83.020;30.630;14723.000;12.400;0.000
7/21/2021;11:16:26 AM;1.31;84.170;30.480;14839.000;12.400;0.000
7/21/2021;11:16:41 AM;1.56;81.770;30.800;14880.000;12.400;0.000
7/21/2021;11:16:56 AM;1.81;82.950;30.640;14685.000;12.400;0.000
7/21/2021;11:17:11 AM;2.06;84.990;30.370;14632.000;12.400;0.000
7/21/2021;11:17:26 AM;2.31;83.430;30.580;14619.000;12.400;0.000
7/21/2021;11:17:41 AM;2.56;83.530;30.560;14698.000;12.400;0.000
7/21/2021;11:17:56 AM;2.81;83.130;30.620;14766.000;12.400;0.000
7/21/2021;11:18:11 AM;3.06;81.800;30.800;14774.000;12.400;0.000
7/21/2021;11:18:26 AM;3.31;78.200;31.310;15139.000;12.400;0.000
7/21/2021;11:18:41 AM;3.56;74.620;31.850;15491.000;12.400;0.000
7/21/2021;11:18:56 AM;3.81;74.780;31.830;15558.000;12.400;0.000
7/21/2021;11:19:11 AM;4.06;75.440;31.720;15492.000;12.400;0.000
7/21/2021;11:19:26 AM;4.31;75.480;31.720;15485.000;12.400;0.000
7/21/2021;11:19:41 AM;4.56;75.990;31.640;15441.000;12.400;0.000
7/21/2021;11:19:56 AM;4.81;74.690;31.840;15479.000;12.400;0.000
7/21/2021;11:20:11 AM;5.06;75.050;31.780;15529.000;12.400;0.000
7/21/2021;11:20:26 AM;5.31;74.750;31.830;15463.000;12.400;0.000
7/21/2021;11:20:41 AM;5.56;74.810;31.820;15656.000;12.400;0.000
7/21/2021;11:20:56 AM;5.81;75.020;31.790;15519.000;12.400;0.000
7/21/2021;11:21:11 AM;6.06;74.130;31.930;15573.000;12.400;0.000
7/21/2021;11:21:26 AM;6.31;72.990;32.110;15706.000;12.400;0.000
7/21/2021;11:21:41 AM;6.56;72.610;32.170;15668.000;12.400;0.000
7/21/2021;11:21:56 AM;6.81;72.500;32.180;15800.000;12.400;0.000
7/21/2021;11:22:11 AM;7.06;73.120;32.090;15913.000;12.400;0.000
7/21/2021;11:22:26 AM;7.31;72.510;32.180;15770.000;12.400;0.000
7/21/2021;11:22:41 AM;7.56;73.170;32.080;15818.000;12.400;0.000
7/21/2021;11:22:56 AM;7.81;71.950;32.270;15929.000;12.400;0.000
7/21/2021;11:23:11 AM;8.06;72.460;32.190;15999.000;12.400;0.000
7/21/2021;11:23:26 AM;8.31;72.030;32.260;15933.000;12.400;0.000
7/21/2021;11:23:41 AM;8.56;72.070;32.250;15977.000;12.400;0.000
7/21/2021;11:23:56 AM;8.81;72.240;32.220;15884.000;12.400;0.000
7/21/2021;11:24:11 AM;9.06;72.250;32.220;15874.000;12.400;0.000
7/21/2021;11:24:26 AM;9.31;72.010;32.260;15986.000;12.400;0.000
