8/3/2021/8:21 AM SW ver:OXY4v2_30
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230969
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 102065
Frequency         : 006
Sending interval  : 0001
Averaging         : 7
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.11 at 014.5°C amp 011700
100.00%a.s.phase 2: 28.90 at 014.2°C amp 005400
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/3/2021;8:21:26 AM;0.00;89.260;30.350;3298.000;13.300;0.000
8/3/2021;8:21:27 AM;0.02;87.330;30.590;3276.000;13.300;0.000
8/3/2021;8:21:29 AM;0.05;88.160;30.480;3284.000;13.300;0.000
8/3/2021;8:21:37 AM;0.18;89.280;30.340;3280.000;13.300;0.000
8/3/2021;8:21:52 AM;0.43;88.830;30.400;3295.000;13.300;0.000
8/3/2021;8:22:07 AM;0.68;87.320;30.590;3301.000;13.300;0.000
8/3/2021;8:22:22 AM;0.93;86.230;30.740;3308.000;13.300;0.000
8/3/2021;8:22:37 AM;1.18;86.090;30.750;3326.000;13.300;0.000
8/3/2021;8:22:52 AM;1.43;86.090;30.750;3313.000;13.300;0.000
8/3/2021;8:23:07 AM;1.68;85.650;30.810;3322.000;13.300;0.000
8/3/2021;8:23:22 AM;1.93;84.020;31.030;3327.000;13.300;0.000
8/3/2021;8:23:37 AM;2.18;85.370;30.850;3277.000;13.300;0.000
8/3/2021;8:23:52 AM;2.43;83.660;31.080;3292.000;13.300;0.000
8/3/2021;8:24:07 AM;2.68;84.500;30.970;3288.000;13.300;0.000
8/3/2021;8:24:22 AM;2.93;85.020;30.900;3290.000;13.300;0.000
8/3/2021;8:24:37 AM;3.18;86.270;30.730;3277.000;13.300;0.000
8/3/2021;8:24:52 AM;3.43;84.440;30.970;3288.000;13.300;0.000
8/3/2021;8:25:07 AM;3.68;85.100;30.880;3289.000;13.300;0.000
8/3/2021;8:25:22 AM;3.93;83.960;31.040;3295.000;13.300;0.000
8/3/2021;8:25:37 AM;4.18;84.250;31.000;3296.000;13.300;0.000
8/3/2021;8:25:52 AM;4.43;83.500;31.100;3307.000;13.300;0.000
8/3/2021;8:26:07 AM;4.68;83.940;31.040;3308.000;13.300;0.000
8/3/2021;8:26:22 AM;4.93;83.990;31.030;3301.000;13.300;0.000
8/3/2021;8:26:37 AM;5.18;82.640;31.220;3320.000;13.300;0.000
8/3/2021;8:26:52 AM;5.43;82.860;31.190;3302.000;13.300;0.000
8/3/2021;8:27:07 AM;5.68;79.990;31.590;3320.000;13.300;0.000
8/3/2021;8:27:22 AM;5.93;81.070;31.440;3316.000;13.300;0.000
8/3/2021;8:27:37 AM;6.18;82.030;31.300;3321.000;13.300;0.000
8/3/2021;8:27:52 AM;6.43;80.480;31.520;3340.000;13.300;0.000
8/3/2021;8:28:07 AM;6.68;80.030;31.590;3360.000;13.300;0.000
8/3/2021;8:28:22 AM;6.93;80.440;31.530;3383.000;13.300;0.000
8/3/2021;8:28:37 AM;7.18;77.950;31.890;3389.000;13.300;0.000
8/3/2021;8:28:52 AM;7.43;79.720;31.630;3377.000;13.300;0.000
8/3/2021;8:29:07 AM;7.68;79.180;31.710;3393.000;13.300;0.000
8/3/2021;8:29:22 AM;7.93;78.310;31.840;3409.000;13.300;0.000
8/3/2021;8:29:37 AM;8.18;78.130;31.860;3402.000;13.300;0.000
8/3/2021;8:29:52 AM;8.43;77.480;31.960;3408.000;13.300;0.000
8/3/2021;8:30:07 AM;8.68;76.880;32.050;3434.000;13.300;0.000
8/3/2021;8:30:22 AM;8.93;78.530;31.800;3414.000;13.300;0.000
8/3/2021;8:30:37 AM;9.18;77.030;32.030;3415.000;13.300;0.000
8/3/2021;8:30:52 AM;9.43;78.900;31.750;3402.000;13.300;0.000
8/3/2021;8:31:07 AM;9.68;80.210;31.560;3389.000;13.300;0.000
8/3/2021;8:31:22 AM;9.93;78.810;31.760;3388.000;13.300;0.000
8/3/2021;8:31:37 AM;10.18;78.390;31.820;3391.000;13.300;0.000
8/3/2021;8:31:52 AM;10.43;77.320;31.980;3412.000;13.300;0.000
8/3/2021;8:32:07 AM;10.68;77.210;32.000;3414.000;13.300;0.000
8/3/2021;8:32:22 AM;10.93;77.380;31.970;3410.000;13.300;0.000
8/3/2021;8:32:37 AM;11.18;77.800;31.910;3396.000;13.300;0.000
8/3/2021;8:32:52 AM;11.43;78.600;31.790;3405.000;13.300;0.000
8/3/2021;8:33:07 AM;11.68;78.250;31.840;3402.000;13.300;0.000
8/3/2021;8:33:22 AM;11.93;77.290;31.990;3420.000;13.300;0.000
8/3/2021;8:33:37 AM;12.18;75.960;32.190;3477.000;13.300;0.000
8/3/2021;8:33:52 AM;12.43;73.430;32.580;3477.000;13.300;0.000
8/3/2021;8:34:07 AM;12.68;74.960;32.340;3452.000;13.300;0.000
8/3/2021;8:34:22 AM;12.93;75.610;32.240;3449.000;13.300;0.000
8/3/2021;8:34:37 AM;13.18;73.500;32.570;3492.000;13.300;0.000
8/3/2021;8:34:52 AM;13.43;74.220;32.460;3465.000;13.300;0.000
8/3/2021;8:35:07 AM;13.68;74.310;32.440;3474.000;13.300;0.000
8/3/2021;8:35:22 AM;13.93;74.580;32.400;3467.000;13.300;0.000
8/3/2021;8:35:37 AM;14.18;75.890;32.200;3458.000;13.300;0.000
8/3/2021;8:35:52 AM;14.43;73.310;32.600;3458.000;13.300;0.000
8/3/2021;8:36:07 AM;14.68;76.150;32.160;3472.000;13.300;0.000
8/3/2021;8:36:22 AM;14.93;75.030;32.330;3459.000;13.300;0.000
8/3/2021;8:36:37 AM;15.18;75.420;32.270;3459.000;13.300;0.000
8/3/2021;8:36:52 AM;15.43;75.390;32.270;3472.000;13.300;0.000
8/3/2021;8:37:07 AM;15.68;72.890;32.660;3491.000;13.300;0.000
8/3/2021;8:37:22 AM;15.93;73.960;32.500;3484.000;13.300;0.000
8/3/2021;8:37:37 AM;16.18;74.540;32.400;3484.000;13.300;0.000
8/3/2021;8:37:52 AM;16.43;74.100;32.470;3490.000;13.300;0.000
8/3/2021;8:38:07 AM;16.68;73.320;32.600;3483.000;13.300;0.000
8/3/2021;8:38:22 AM;16.93;73.160;32.620;3490.000;13.300;0.000
8/3/2021;8:38:37 AM;17.18;72.070;32.800;3515.000;13.300;0.000
8/3/2021;8:38:52 AM;17.43;73.360;32.590;3503.000;13.300;0.000
8/3/2021;8:39:07 AM;17.68;72.600;32.710;3499.000;13.300;0.000
8/3/2021;8:39:22 AM;17.93;73.100;32.630;3484.000;13.300;0.000
8/3/2021;8:39:37 AM;18.18;73.620;32.550;3496.000;13.300;0.000
8/3/2021;8:39:52 AM;18.43;72.970;32.650;3497.000;13.300;0.000
8/3/2021;8:40:07 AM;18.68;72.430;32.740;3492.000;13.300;0.000
