7/13/2021/12:05 PM SW ver:OXY4v2_30
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230969
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 102114
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.46 at 013.2°C amp 077800
100.00%a.s.phase 2: 28.82 at 012.1°C amp 035800
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/13/2021;12:05:26 PM;0.00;84.540;30.650;30598.000;12.300;0.000
7/13/2021;12:05:28 PM;0.04;83.320;30.720;9300.000;12.000;0.000
7/13/2021;12:05:28 PM;0.05;83.050;30.760;9312.000;12.000;0.000
7/13/2021;12:05:30 PM;0.08;0.000;0.000;9300.000;0.000;0.000
7/13/2021;12:05:38 PM;0.20;84.830;30.680;30593.000;12.000;0.000
7/13/2021;12:05:53 PM;0.45;85.090;30.640;30617.000;12.000;0.000
7/13/2021;12:06:08 PM;0.70;84.850;30.670;30649.000;12.000;0.000
7/13/2021;12:06:23 PM;0.95;85.400;30.600;30618.000;12.000;0.000
7/13/2021;12:06:38 PM;1.20;85.020;30.650;30579.000;12.000;0.000
7/13/2021;12:06:53 PM;1.45;84.800;30.680;30546.000;12.000;0.000
7/13/2021;12:07:08 PM;1.70;85.310;30.610;30666.000;12.000;0.000
7/13/2021;12:07:23 PM;1.95;85.520;30.580;30629.000;12.000;0.000
7/13/2021;12:07:38 PM;2.20;85.060;30.650;30673.000;12.000;0.000
7/13/2021;12:07:53 PM;2.45;85.090;30.640;30795.000;12.000;0.000
7/13/2021;12:08:08 PM;2.70;85.010;30.650;30832.000;12.000;0.000
7/13/2021;12:08:23 PM;2.95;84.870;30.670;30862.000;12.000;0.000
7/13/2021;12:08:38 PM;3.20;85.010;30.650;31172.000;12.000;0.000
7/13/2021;12:08:53 PM;3.45;85.210;30.630;30875.000;12.000;0.000
