7/26/2021/9:42 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 101559
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.38 at 013.6°C amp 031500
100.00%a.s.phase 2: 28.78 at 013.7°C amp 014400
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/26/2021;9:42:22 AM;0.00;91.530;29.940;12343.000;12.800;0.000
7/26/2021;9:42:23 AM;0.02;92.970;29.770;12247.000;12.800;0.000
7/26/2021;9:42:25 AM;0.05;92.470;29.830;12183.000;12.800;0.000
7/26/2021;9:42:26 AM;0.07;91.480;29.950;12180.000;12.800;0.000
7/26/2021;9:42:28 AM;0.09;91.160;29.990;12213.000;12.800;0.000
7/26/2021;9:42:29 AM;0.11;92.040;29.880;12170.000;12.800;0.000
7/26/2021;9:42:30 AM;0.14;91.750;29.920;12179.000;12.800;0.000
7/26/2021;9:42:32 AM;0.16;91.200;29.980;12184.000;12.800;0.000
7/26/2021;9:42:45 AM;0.39;91.730;29.920;12206.000;12.800;0.000
7/26/2021;9:43:00 AM;0.64;92.250;29.850;12020.000;12.800;0.000
7/26/2021;9:43:15 AM;0.89;90.500;30.070;12015.000;12.800;0.000
7/26/2021;9:43:30 AM;1.14;90.750;30.040;12091.000;12.800;0.000
7/26/2021;9:43:45 AM;1.39;88.830;30.280;12215.000;12.800;0.000
7/26/2021;9:44:00 AM;1.64;88.110;30.370;12280.000;12.800;0.000
7/26/2021;9:44:15 AM;1.89;87.230;30.480;12299.000;12.800;0.000
7/26/2021;9:44:30 AM;2.14;87.310;30.470;12423.000;12.800;0.000
7/26/2021;9:44:45 AM;2.39;88.550;30.310;12418.000;12.800;0.000
7/26/2021;9:45:00 AM;2.64;86.730;30.550;12536.000;12.800;0.000
7/26/2021;9:45:15 AM;2.89;85.530;30.710;12634.000;12.800;0.000
7/26/2021;9:45:30 AM;3.14;84.560;30.840;12726.000;12.800;0.000
7/26/2021;9:45:45 AM;3.39;83.970;30.910;12717.000;12.800;0.000
7/26/2021;9:46:00 AM;3.64;83.250;31.010;12748.000;12.800;0.000
7/26/2021;9:46:15 AM;3.89;82.680;31.090;12755.000;12.800;0.000
7/26/2021;9:46:30 AM;4.14;83.870;30.930;12744.000;12.800;0.000
7/26/2021;9:46:45 AM;4.39;84.330;30.870;12741.000;12.800;0.000
7/26/2021;9:47:00 AM;4.64;84.300;30.870;12741.000;12.800;0.000
7/26/2021;9:47:15 AM;4.89;84.210;30.880;12726.000;12.800;0.000
7/26/2021;9:47:30 AM;5.14;84.040;30.910;12765.000;12.800;0.000
7/26/2021;9:47:45 AM;5.39;82.730;31.080;12782.000;12.800;0.000
7/26/2021;9:48:00 AM;5.64;83.310;31.000;12812.000;12.800;0.000
7/26/2021;9:48:15 AM;5.89;82.570;31.110;12816.000;12.800;0.000
7/26/2021;9:48:30 AM;6.14;82.870;31.060;12844.000;12.800;0.000
7/26/2021;9:48:45 AM;6.39;82.490;31.120;12833.000;12.800;0.000
7/26/2021;9:49:00 AM;6.64;82.960;31.050;12824.000;12.800;0.000
7/26/2021;9:49:15 AM;6.89;81.950;31.190;12826.000;12.800;0.000
7/26/2021;9:49:30 AM;7.14;82.810;31.070;12836.000;12.800;0.000
7/26/2021;9:49:45 AM;7.39;82.300;31.140;12839.000;12.800;0.000
7/26/2021;9:50:00 AM;7.64;82.030;31.180;12815.000;12.800;0.000
