7/26/2021/9:42 AM SW ver:OXY4v2_30
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230969
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 101465
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.18 at 013.6°C amp 010100
100.00%a.s.phase 2: 28.53 at 013.7°C amp 004600
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
Recalibration
7/26/2021;9:42:21 AM;0.00;92.140;29.610;4810.000;12.800;0.000
7/26/2021;9:42:23 AM;0.02;90.590;29.800;4798.000;12.800;0.000
7/26/2021;9:42:24 AM;0.05;91.110;29.730;4796.000;12.800;0.000
7/26/2021;9:42:26 AM;0.07;91.320;29.710;4800.000;12.800;0.000
7/26/2021;9:42:27 AM;0.09;91.650;29.670;4799.000;12.800;0.000
7/26/2021;9:42:28 AM;0.11;91.590;29.670;4805.000;12.800;0.000
7/26/2021;9:42:30 AM;0.14;91.860;29.640;4799.000;12.800;0.000
7/26/2021;9:42:31 AM;0.16;90.380;29.820;4802.000;12.800;0.000
7/26/2021;9:42:44 AM;0.37;90.850;29.760;4810.000;12.800;0.000
7/26/2021;9:42:59 AM;0.62;90.850;29.760;4806.000;12.800;0.000
7/26/2021;9:43:14 AM;0.87;89.790;29.890;4839.000;12.800;0.000
7/26/2021;9:43:29 AM;1.12;89.650;29.910;4857.000;12.800;0.000
7/26/2021;9:43:44 AM;1.37;91.020;29.740;4871.000;12.800;0.000
7/26/2021;9:43:59 AM;1.62;90.370;29.820;4880.000;12.800;0.000
7/26/2021;9:44:14 AM;1.87;88.690;30.030;4859.000;12.800;0.000
7/26/2021;9:44:29 AM;2.12;89.130;29.980;4892.000;12.800;0.000
7/26/2021;9:44:44 AM;2.37;89.240;29.960;4812.000;12.800;0.000
7/26/2021;9:44:59 AM;2.62;89.920;29.880;4843.000;12.800;0.000
7/26/2021;9:45:14 AM;2.87;88.930;30.000;4845.000;12.800;0.000
7/26/2021;9:45:29 AM;3.12;89.300;29.960;4833.000;12.800;0.000
7/26/2021;9:45:44 AM;3.37;88.780;30.020;4826.000;12.800;0.000
7/26/2021;9:45:59 AM;3.62;88.640;30.040;4826.000;12.800;0.000
7/26/2021;9:46:14 AM;3.87;88.960;30.000;4832.000;12.800;0.000
7/26/2021;9:46:29 AM;4.12;89.220;29.970;4816.000;12.800;0.000
7/26/2021;9:46:44 AM;4.37;89.230;29.960;4814.000;12.800;0.000
7/26/2021;9:46:59 AM;4.62;88.650;30.040;4832.000;12.800;0.000
7/26/2021;9:47:14 AM;4.87;90.020;29.870;4824.000;12.800;0.000
7/26/2021;9:47:29 AM;5.12;89.270;29.960;4833.000;12.800;0.000
7/26/2021;9:47:44 AM;5.37;88.560;30.050;4836.000;12.800;0.000
7/26/2021;9:47:59 AM;5.62;89.870;29.880;4836.000;12.800;0.000
7/26/2021;9:48:14 AM;5.87;90.750;29.780;4822.000;12.800;0.000
7/26/2021;9:48:29 AM;6.12;89.290;29.960;4813.000;12.800;0.000
7/26/2021;9:48:44 AM;6.37;89.740;29.900;4822.000;12.800;0.000
7/26/2021;9:48:59 AM;6.62;89.560;29.920;4825.000;12.800;0.000
7/26/2021;9:49:14 AM;6.87;89.790;29.890;4815.000;12.800;0.000
7/26/2021;9:49:29 AM;7.12;89.430;29.940;4815.000;12.800;0.000
7/26/2021;9:49:44 AM;7.37;89.230;29.960;4822.000;12.800;0.000
7/26/2021;9:49:59 AM;7.62;89.240;29.960;4821.000;12.800;0.000
7/26/2021;9:50:14 AM;7.87;88.460;30.060;4771.000;12.800;0.000
7/26/2021;9:50:29 AM;8.12;89.070;29.980;4838.000;12.800;0.000
7/26/2021;9:50:44 AM;8.37;90.040;29.860;4838.000;12.800;0.000
7/26/2021;9:50:59 AM;8.62;89.830;29.890;4834.000;12.800;0.000
7/26/2021;9:51:14 AM;8.87;89.310;29.950;4844.000;12.800;0.000
7/26/2021;9:51:29 AM;9.12;89.860;29.890;4838.000;12.800;0.000
7/26/2021;9:51:44 AM;9.37;90.620;29.790;4828.000;12.800;0.000
7/26/2021;9:51:59 AM;9.62;88.750;30.020;4838.000;12.800;0.000
7/26/2021;9:52:14 AM;9.87;90.300;29.830;4742.000;12.800;0.000
7/26/2021;9:52:29 AM;10.12;88.430;30.060;4747.000;12.800;0.000
7/26/2021;9:52:44 AM;10.37;89.500;29.930;4742.000;12.800;0.000
7/26/2021;9:52:59 AM;10.62;89.770;29.900;4664.000;12.800;0.000
7/26/2021;9:53:14 AM;10.87;89.210;29.970;4687.000;12.800;0.000
7/26/2021;9:53:29 AM;11.12;89.510;29.930;4676.000;12.800;0.000
7/26/2021;9:53:44 AM;11.37;88.950;30.000;4682.000;12.800;0.000
7/26/2021;9:53:59 AM;11.62;89.110;29.980;4684.000;12.800;0.000
7/26/2021;9:54:14 AM;11.87;91.300;29.710;4682.000;12.800;0.000
7/26/2021;9:54:29 AM;12.12;88.880;30.010;4677.000;12.800;0.000
7/26/2021;9:54:44 AM;12.37;88.720;30.030;4678.000;12.800;0.000
7/26/2021;9:54:59 AM;12.62;89.450;29.940;4682.000;12.800;0.000
7/26/2021;9:55:14 AM;12.87;89.880;29.880;4675.000;12.800;0.000
7/26/2021;9:55:29 AM;13.12;88.840;30.010;4681.000;12.800;0.000
7/26/2021;9:55:44 AM;13.37;90.210;29.840;4683.000;12.800;0.000
7/26/2021;9:55:59 AM;13.62;89.880;29.880;4690.000;12.800;0.000
7/26/2021;9:56:14 AM;13.87;89.030;29.990;4680.000;12.800;0.000
7/26/2021;9:56:29 AM;14.12;89.510;29.930;4679.000;12.800;0.000
7/26/2021;9:56:44 AM;14.37;89.260;29.960;4684.000;12.800;0.000
7/26/2021;9:56:59 AM;14.62;90.420;29.820;4681.000;12.800;0.000
7/26/2021;9:57:14 AM;14.87;89.840;29.890;4671.000;12.800;0.000
7/26/2021;9:57:29 AM;15.12;89.310;29.950;4678.000;12.800;0.000
7/26/2021;9:57:44 AM;15.37;88.260;30.090;4687.000;12.800;0.000
7/26/2021;9:57:59 AM;15.62;89.270;29.960;4690.000;12.800;0.000
7/26/2021;9:58:14 AM;15.87;88.750;30.020;4676.000;12.800;0.000
7/26/2021;9:58:29 AM;16.12;90.430;29.810;4690.000;12.800;0.000
7/26/2021;9:58:44 AM;16.37;89.050;29.990;4681.000;12.800;0.000
7/26/2021;9:58:59 AM;16.62;88.970;30.000;4685.000;12.800;0.000
7/26/2021;9:59:14 AM;16.87;89.210;29.970;4688.000;12.800;0.000
7/26/2021;9:59:29 AM;17.12;89.690;29.910;4676.000;12.800;0.000
7/26/2021;9:59:44 AM;17.37;90.300;29.830;4687.000;12.800;0.000
7/26/2021;9:59:59 AM;17.62;89.870;29.880;4668.000;12.800;0.000
7/26/2021;10:00:14 AM;17.87;88.800;30.020;4677.000;12.800;0.000
7/26/2021;10:00:29 AM;18.12;89.070;29.980;4676.000;12.800;0.000
7/26/2021;10:00:44 AM;18.37;89.030;29.990;4692.000;12.800;0.000
7/26/2021;10:00:59 AM;18.62;90.130;29.850;4675.000;12.800;0.000
7/26/2021;10:01:14 AM;18.87;89.940;29.880;4683.000;12.800;0.000
7/26/2021;10:01:29 AM;19.12;89.070;29.980;4677.000;12.800;0.000
7/26/2021;10:01:44 AM;19.37;89.350;29.950;4681.000;12.800;0.000
7/26/2021;10:01:59 AM;19.62;89.670;29.910;4673.000;12.800;0.000
7/26/2021;10:02:14 AM;19.87;88.750;30.020;4691.000;12.800;0.000
7/26/2021;10:02:29 AM;20.12;89.780;29.900;4664.000;12.800;0.000
7/26/2021;10:02:44 AM;20.37;88.960;30.000;4684.000;12.800;0.000
7/26/2021;10:02:59 AM;20.62;91.030;29.740;4668.000;12.800;0.000
7/26/2021;10:03:14 AM;20.87;89.130;29.980;4662.000;12.800;0.000
7/26/2021;10:03:29 AM;21.12;87.130;30.230;4678.000;12.800;0.000
7/26/2021;10:03:44 AM;21.37;87.990;30.120;4671.000;12.800;0.000
7/26/2021;10:03:59 AM;21.62;88.880;30.010;4675.000;12.800;0.000
7/26/2021;10:04:14 AM;21.87;88.760;30.020;4671.000;12.800;0.000
7/26/2021;10:04:29 AM;22.12;89.320;29.950;4681.000;12.800;0.000
7/26/2021;10:04:44 AM;22.37;89.390;29.940;4679.000;12.800;0.000
7/26/2021;10:04:59 AM;22.62;89.570;29.920;4683.000;12.800;0.000
7/26/2021;10:05:14 AM;22.87;89.600;29.920;4678.000;12.800;0.000
7/26/2021;10:05:29 AM;23.12;88.440;30.060;4669.000;12.800;0.000
7/26/2021;10:05:44 AM;23.37;88.750;30.020;4687.000;12.800;0.000
7/26/2021;10:05:59 AM;23.62;90.830;29.770;4677.000;12.800;0.000
7/26/2021;10:06:14 AM;23.87;88.840;30.010;4669.000;12.800;0.000
7/26/2021;10:06:29 AM;24.12;90.200;29.840;4667.000;12.800;0.000
7/26/2021;10:06:44 AM;24.37;90.160;29.850;4673.000;12.800;0.000
7/26/2021;10:06:59 AM;24.62;90.180;29.850;4666.000;12.800;0.000
7/26/2021;10:07:14 AM;24.87;90.260;29.840;4681.000;12.800;0.000
7/26/2021;10:07:29 AM;25.12;90.110;29.850;4676.000;12.800;0.000
7/26/2021;10:07:44 AM;25.37;89.470;29.930;4681.000;12.800;0.000
7/26/2021;10:07:59 AM;25.62;89.750;29.900;4678.000;12.800;0.000
7/26/2021;10:08:14 AM;25.87;88.360;30.070;4666.000;12.800;0.000
7/26/2021;10:08:29 AM;26.12;90.450;29.810;4678.000;12.800;0.000
7/26/2021;10:08:44 AM;26.37;88.780;30.020;4675.000;12.800;0.000
7/26/2021;10:08:59 AM;26.62;89.110;29.980;4684.000;12.800;0.000
7/26/2021;10:09:14 AM;26.87;88.530;30.050;4669.000;12.800;0.000
7/26/2021;10:09:29 AM;27.12;89.310;29.950;4676.000;12.800;0.000
