7/20/2021/4:25 PM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 101118
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.44 at 012.6°C amp 023500
100.00%a.s.phase 2: 28.37 at 013.4°C amp 010700
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/20/2021;4:25:20 PM;0.00;86.730;30.180;12861.000;12.200;0.000
7/20/2021;4:25:21 PM;0.02;86.970;30.150;12845.000;12.200;0.000
7/20/2021;4:25:26 PM;0.10;87.000;30.140;12902.000;12.200;0.000
7/20/2021;4:25:41 PM;0.35;86.630;30.190;12898.000;12.200;0.000
7/20/2021;4:25:56 PM;0.60;87.550;30.070;12952.000;12.200;0.000
7/20/2021;4:26:11 PM;0.85;86.930;30.150;12904.000;12.200;0.000
7/20/2021;4:26:26 PM;1.10;86.350;30.230;12713.000;12.200;0.000
7/20/2021;4:26:41 PM;1.35;85.800;30.300;12587.000;12.200;0.000
7/20/2021;4:26:56 PM;1.60;86.320;30.230;12492.000;12.200;0.000
7/20/2021;4:27:11 PM;1.85;87.100;30.130;12474.000;12.200;0.000
7/20/2021;4:27:26 PM;2.10;85.800;30.300;12483.000;12.200;0.000
7/20/2021;4:27:41 PM;2.35;87.010;30.140;12510.000;12.200;0.000
7/20/2021;4:27:56 PM;2.60;87.210;30.120;12432.000;12.200;0.000
7/20/2021;4:28:11 PM;2.85;86.110;30.260;12415.000;12.200;0.000
7/20/2021;4:28:26 PM;3.10;86.190;30.250;12373.000;12.200;0.000
7/20/2021;4:28:41 PM;3.35;86.620;30.190;12378.000;12.200;0.000
7/20/2021;4:28:56 PM;3.60;86.960;30.150;12304.000;12.200;0.000
7/20/2021;4:29:11 PM;3.85;87.140;30.130;12232.000;12.200;0.000
7/20/2021;4:29:26 PM;4.10;86.460;30.210;12293.000;12.200;0.000
7/20/2021;4:29:41 PM;4.35;86.910;30.160;12316.000;12.200;0.000
7/20/2021;4:29:56 PM;4.60;86.710;30.180;12298.000;12.200;0.000
7/20/2021;4:30:11 PM;4.85;86.660;30.190;12293.000;12.200;0.000
7/20/2021;4:30:26 PM;5.10;86.940;30.150;12311.000;12.200;0.000
7/20/2021;4:30:41 PM;5.35;85.990;30.280;12260.000;12.200;0.000
7/20/2021;4:30:56 PM;5.60;85.810;30.300;12276.000;12.200;0.000
7/20/2021;4:31:11 PM;5.85;85.800;30.300;12262.000;12.200;0.000
7/20/2021;4:31:26 PM;6.10;85.550;30.330;12701.000;12.200;0.000
7/20/2021;4:31:41 PM;6.35;86.050;30.270;12663.000;12.200;0.000
7/20/2021;4:31:56 PM;6.60;86.260;30.240;12677.000;12.200;0.000
7/20/2021;4:32:11 PM;6.85;86.040;30.270;12739.000;12.200;0.000
7/20/2021;4:32:26 PM;7.10;84.990;30.410;12732.000;12.200;0.000
7/20/2021;4:32:41 PM;7.35;86.340;30.230;12770.000;12.200;0.000
7/20/2021;4:32:56 PM;7.60;85.470;30.340;12745.000;12.200;0.000
7/20/2021;4:33:11 PM;7.85;85.790;30.300;12714.000;12.200;0.000
7/20/2021;4:33:26 PM;8.10;86.030;30.270;12726.000;12.200;0.000
7/20/2021;4:33:41 PM;8.35;85.450;30.350;12716.000;12.200;0.000
7/20/2021;4:33:56 PM;8.60;86.320;30.230;12713.000;12.200;0.000
7/20/2021;4:34:11 PM;8.85;85.890;30.290;12602.000;12.200;0.000
7/20/2021;4:34:26 PM;9.10;85.490;30.340;12645.000;12.200;0.000
7/20/2021;4:34:41 PM;9.35;86.030;30.270;12657.000;12.200;0.000
7/20/2021;4:34:56 PM;9.60;86.280;30.240;12612.000;12.200;0.000
7/20/2021;4:35:11 PM;9.85;85.930;30.280;12670.000;12.200;0.000
7/20/2021;4:35:26 PM;10.10;86.520;30.210;12657.000;12.200;0.000
7/20/2021;4:35:41 PM;10.35;85.850;30.290;12662.000;12.200;0.000
7/20/2021;4:35:56 PM;10.60;85.890;30.290;12666.000;12.200;0.000
7/20/2021;4:36:11 PM;10.85;85.470;30.340;12680.000;12.200;0.000
7/20/2021;4:36:26 PM;11.10;86.310;30.230;12628.000;12.200;0.000
7/20/2021;4:36:41 PM;11.35;85.760;30.310;12653.000;12.200;0.000
7/20/2021;4:36:56 PM;11.60;86.090;30.260;12656.000;12.200;0.000
7/20/2021;4:37:11 PM;11.85;86.460;30.220;12656.000;12.200;0.000
7/20/2021;4:37:26 PM;12.10;85.330;30.360;12675.000;12.200;0.000
7/20/2021;4:37:41 PM;12.35;85.260;30.370;12697.000;12.200;0.000
7/20/2021;4:37:56 PM;12.60;85.250;30.370;12704.000;12.200;0.000
7/20/2021;4:38:11 PM;12.85;85.060;30.400;12715.000;12.200;0.000
7/20/2021;4:38:26 PM;13.10;84.720;30.440;12744.000;12.200;0.000
7/20/2021;4:38:41 PM;13.35;84.700;30.450;12740.000;12.200;0.000
7/20/2021;4:38:56 PM;13.60;84.670;30.450;12785.000;12.200;0.000
7/20/2021;4:39:11 PM;13.85;84.430;30.480;12721.000;12.200;0.000
7/20/2021;4:39:26 PM;14.10;84.420;30.480;12714.000;12.200;0.000
7/20/2021;4:39:41 PM;14.35;84.580;30.460;12722.000;12.200;0.000
7/20/2021;4:39:56 PM;14.60;84.530;30.470;12757.000;12.200;0.000
7/20/2021;4:40:11 PM;14.85;84.330;30.500;12752.000;12.200;0.000
7/20/2021;4:40:26 PM;15.10;85.100;30.390;12773.000;12.200;0.000
7/20/2021;4:40:41 PM;15.35;84.790;30.430;12724.000;12.200;0.000
7/20/2021;4:40:56 PM;15.60;85.040;30.400;12773.000;12.200;0.000
7/20/2021;4:41:11 PM;15.85;85.580;30.330;12733.000;12.200;0.000
7/20/2021;4:41:26 PM;16.10;84.800;30.430;12707.000;12.200;0.000
7/20/2021;4:41:41 PM;16.35;84.690;30.450;12714.000;12.200;0.000
7/20/2021;4:41:56 PM;16.60;85.140;30.390;12605.000;12.200;0.000
7/20/2021;4:42:11 PM;16.85;84.660;30.450;12595.000;12.200;0.000
7/20/2021;4:42:26 PM;17.10;85.320;30.360;12631.000;12.200;0.000
7/20/2021;4:42:41 PM;17.35;85.170;30.380;12575.000;12.200;0.000
7/20/2021;4:42:56 PM;17.60;85.960;30.280;12697.000;12.200;0.000
7/20/2021;4:43:11 PM;17.85;85.560;30.330;12707.000;12.200;0.000
7/20/2021;4:43:26 PM;18.10;84.990;30.410;12677.000;12.200;0.000
7/20/2021;4:43:41 PM;18.35;85.870;30.290;12706.000;12.200;0.000
7/20/2021;4:43:56 PM;18.60;85.740;30.310;12590.000;12.200;0.000
7/20/2021;4:44:11 PM;18.85;85.680;30.320;12622.000;12.200;0.000
7/20/2021;4:44:26 PM;19.10;85.520;30.340;12609.000;12.200;0.000
7/20/2021;4:44:41 PM;19.35;85.150;30.390;12656.000;12.200;0.000
7/20/2021;4:44:56 PM;19.60;85.420;30.350;12644.000;12.200;0.000
7/20/2021;4:45:11 PM;19.85;85.610;30.330;12670.000;12.200;0.000
7/20/2021;4:45:26 PM;20.10;86.660;30.190;12695.000;12.200;0.000
7/20/2021;4:45:41 PM;20.35;85.690;30.320;12707.000;12.200;0.000
7/20/2021;4:45:56 PM;20.60;85.390;30.350;12700.000;12.200;0.000
7/20/2021;4:46:11 PM;20.85;85.620;30.320;12726.000;12.200;0.000
7/20/2021;4:46:26 PM;21.10;84.700;30.450;12707.000;12.200;0.000
7/20/2021;4:46:41 PM;21.35;85.410;30.350;12716.000;12.200;0.000
7/20/2021;4:46:56 PM;21.60;85.750;30.310;12709.000;12.200;0.000
7/20/2021;4:47:11 PM;21.85;85.140;30.390;12707.000;12.200;0.000
7/20/2021;4:47:26 PM;22.10;85.500;30.340;12765.000;12.200;0.000
7/20/2021;4:47:41 PM;22.35;85.710;30.310;12758.000;12.200;0.000
7/20/2021;4:47:56 PM;22.60;85.680;30.320;12783.000;12.200;0.000
7/20/2021;4:48:11 PM;22.85;85.630;30.320;12791.000;12.200;0.000
7/20/2021;4:48:26 PM;23.10;85.320;30.360;12806.000;12.200;0.000
7/20/2021;4:48:41 PM;23.35;85.630;30.320;12739.000;12.200;0.000
7/20/2021;4:48:56 PM;23.60;85.240;30.370;12740.000;12.200;0.000
7/20/2021;4:49:11 PM;23.85;85.360;30.360;12782.000;12.200;0.000
7/20/2021;4:49:26 PM;24.10;85.810;30.300;12789.000;12.200;0.000
7/20/2021;4:49:41 PM;24.35;85.530;30.340;12763.000;12.200;0.000
7/20/2021;4:49:56 PM;24.60;85.950;30.280;12750.000;12.200;0.000
7/20/2021;4:50:11 PM;24.85;85.720;30.310;12753.000;12.200;0.000
7/20/2021;4:50:26 PM;25.10;84.910;30.420;12770.000;12.200;0.000
7/20/2021;4:50:41 PM;25.35;84.490;30.470;12808.000;12.200;0.000
7/20/2021;4:50:56 PM;25.60;85.890;30.290;12777.000;12.200;0.000
7/20/2021;4:51:11 PM;25.85;85.660;30.320;12790.000;12.200;0.000
7/20/2021;4:51:26 PM;26.10;86.440;30.220;12801.000;12.200;0.000
7/20/2021;4:51:41 PM;26.35;86.080;30.260;12803.000;12.200;0.000
7/20/2021;4:51:56 PM;26.60;86.430;30.220;12809.000;12.200;0.000
7/20/2021;4:52:11 PM;26.85;85.460;30.350;12871.000;12.200;0.000
7/20/2021;4:52:26 PM;27.10;85.680;30.320;12842.000;12.200;0.000
7/20/2021;4:52:41 PM;27.35;84.600;30.460;12909.000;12.200;0.000
7/20/2021;4:52:56 PM;27.60;84.830;30.430;12893.000;12.200;0.000
7/20/2021;4:53:11 PM;27.85;86.110;30.260;12864.000;12.200;0.000
7/20/2021;4:53:26 PM;28.10;85.920;30.290;12891.000;12.200;0.000
7/20/2021;4:53:41 PM;28.35;85.280;30.370;12883.000;12.200;0.000
7/20/2021;4:53:56 PM;28.60;85.030;30.400;12897.000;12.200;0.000
7/20/2021;4:54:11 PM;28.85;85.670;30.320;12870.000;12.200;0.000
7/20/2021;4:54:26 PM;29.10;85.770;30.310;12883.000;12.200;0.000
7/20/2021;4:54:41 PM;29.35;85.320;30.360;12859.000;12.200;0.000
7/20/2021;4:54:56 PM;29.60;84.970;30.410;12987.000;12.200;0.000
7/20/2021;4:55:11 PM;29.85;85.610;30.330;12976.000;12.200;0.000
7/20/2021;4:55:26 PM;30.10;84.680;30.450;12965.000;12.200;0.000
7/20/2021;4:55:41 PM;30.35;84.730;30.440;12950.000;12.200;0.000
7/20/2021;4:55:56 PM;30.60;85.320;30.360;13130.000;12.200;0.000
7/20/2021;4:56:11 PM;30.85;86.000;30.280;13129.000;12.200;0.000
7/20/2021;4:56:26 PM;31.10;85.050;30.400;13111.000;12.200;0.000
7/20/2021;4:56:41 PM;31.35;84.690;30.450;13122.000;12.200;0.000
7/20/2021;4:56:56 PM;31.60;84.980;30.410;13113.000;12.200;0.000
