8/2/2021/9:04 AM SW ver:OXY4v2_30
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230969
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 102065
Frequency         : 006
Sending interval  : 0001
Averaging         : 7
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.11 at 014.5°C amp 011700
100.00%a.s.phase 2: 28.90 at 014.2°C amp 005400
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
Recalibration
8/2/2021;9:04:53 AM;0.00;96.300;29.520;3313.000;13.200;0.000
8/2/2021;9:04:54 AM;0.02;97.610;29.370;3300.000;13.200;0.000
8/2/2021;9:04:56 AM;0.05;97.850;29.340;3309.000;13.200;0.000
8/2/2021;9:05:07 AM;0.24;97.860;29.340;3306.000;13.200;0.000
8/2/2021;9:05:22 AM;0.49;97.300;29.400;3265.000;13.200;0.000
8/2/2021;9:05:37 AM;0.74;97.930;29.330;3308.000;13.200;0.000
8/2/2021;9:05:52 AM;0.99;98.290;29.290;3365.000;13.200;0.000
8/2/2021;9:06:07 AM;1.24;96.040;29.550;3364.000;13.200;0.000
8/2/2021;9:06:22 AM;1.49;97.190;29.420;3366.000;13.200;0.000
8/2/2021;9:06:37 AM;1.74;97.890;29.340;3259.000;13.200;0.000
8/2/2021;9:06:52 AM;1.99;96.190;29.530;3243.000;13.200;0.000
8/2/2021;9:07:07 AM;2.24;97.440;29.390;3232.000;13.200;0.000
8/2/2021;9:07:22 AM;2.49;96.220;29.530;3232.000;13.200;0.000
8/2/2021;9:07:37 AM;2.74;97.950;29.330;3224.000;13.200;0.000
8/2/2021;9:07:52 AM;2.99;96.730;29.470;3227.000;13.200;0.000
8/2/2021;9:08:07 AM;3.24;97.590;29.370;3218.000;13.200;0.000
8/2/2021;9:08:22 AM;3.49;97.600;29.370;3219.000;13.200;0.000
8/2/2021;9:08:37 AM;3.74;97.610;29.370;3213.000;13.200;0.000
8/2/2021;9:08:52 AM;3.99;97.080;29.430;3212.000;13.200;0.000
8/2/2021;9:09:07 AM;4.24;96.410;29.500;3216.000;13.200;0.000
8/2/2021;9:09:22 AM;4.49;96.780;29.460;3154.000;13.200;0.000
8/2/2021;9:09:37 AM;4.74;96.400;29.510;3156.000;13.200;0.000
8/2/2021;9:09:52 AM;4.99;96.870;29.450;3151.000;13.200;0.000
8/2/2021;9:10:07 AM;5.24;98.360;29.280;3154.000;13.200;0.000
8/2/2021;9:10:22 AM;5.49;97.250;29.410;3144.000;13.200;0.000
8/2/2021;9:10:37 AM;5.74;98.130;29.310;3151.000;13.200;0.000
8/2/2021;9:10:52 AM;5.99;97.390;29.390;3147.000;13.200;0.000
8/2/2021;9:11:07 AM;6.24;96.390;29.510;3152.000;13.200;0.000
8/2/2021;9:11:22 AM;6.49;98.430;29.280;3138.000;13.200;0.000
8/2/2021;9:11:37 AM;6.74;96.000;29.550;3150.000;13.200;0.000
8/2/2021;9:11:52 AM;6.99;95.540;29.610;3148.000;13.200;0.000
8/2/2021;9:12:07 AM;7.24;98.920;29.220;3141.000;13.200;0.000
8/2/2021;9:12:22 AM;7.49;97.780;29.350;3147.000;13.200;0.000
8/2/2021;9:12:37 AM;7.74;96.460;29.500;3138.000;13.200;0.000
8/2/2021;9:12:52 AM;7.99;99.490;29.160;3153.000;13.200;0.000
8/2/2021;9:13:07 AM;8.24;96.800;29.460;3145.000;13.200;0.000
8/2/2021;9:13:22 AM;8.49;96.140;29.540;3151.000;13.200;0.000
8/2/2021;9:13:37 AM;8.74;97.590;29.370;3139.000;13.200;0.000
8/2/2021;9:13:52 AM;8.99;97.340;29.400;3140.000;13.200;0.000
8/2/2021;9:14:07 AM;9.24;97.440;29.390;3143.000;13.200;0.000
8/2/2021;9:14:22 AM;9.49;98.080;29.310;3136.000;13.200;0.000
8/2/2021;9:14:37 AM;9.74;97.440;29.390;3150.000;13.200;0.000
8/2/2021;9:14:52 AM;9.99;96.980;29.440;3148.000;13.200;0.000
8/2/2021;9:15:07 AM;10.24;96.320;29.520;3131.000;13.200;0.000
8/2/2021;9:15:22 AM;10.49;97.900;29.330;3139.000;13.200;0.000
8/2/2021;9:15:37 AM;10.74;97.570;29.370;3137.000;13.200;0.000
8/2/2021;9:15:52 AM;10.99;97.690;29.360;3152.000;13.200;0.000
8/2/2021;9:16:07 AM;11.24;96.210;29.530;3144.000;13.200;0.000
8/2/2021;9:16:22 AM;11.49;97.830;29.340;3139.000;13.200;0.000
8/2/2021;9:16:37 AM;11.74;96.530;29.490;3139.000;13.200;0.000
8/2/2021;9:16:52 AM;11.99;97.040;29.430;3142.000;13.200;0.000
8/2/2021;9:17:07 AM;12.24;96.760;29.460;3139.000;13.200;0.000
8/2/2021;9:17:22 AM;12.49;97.820;29.340;3151.000;13.200;0.000
8/2/2021;9:17:37 AM;12.74;98.530;29.260;3152.000;13.200;0.000
8/2/2021;9:17:52 AM;12.99;96.770;29.460;3136.000;13.200;0.000
8/2/2021;9:18:07 AM;13.24;99.100;29.200;3149.000;13.200;0.000
8/2/2021;9:18:22 AM;13.49;95.570;29.600;3149.000;13.200;0.000
8/2/2021;9:18:37 AM;13.74;98.180;29.300;3140.000;13.200;0.000
8/2/2021;9:18:52 AM;13.99;96.800;29.460;3142.000;13.200;0.000
8/2/2021;9:19:07 AM;14.24;96.780;29.460;3143.000;13.200;0.000
8/2/2021;9:19:22 AM;14.49;95.850;29.570;3492.000;13.200;0.000
8/2/2021;9:19:37 AM;14.74;95.970;29.560;3486.000;13.200;0.000
8/2/2021;9:19:52 AM;14.99;96.940;29.440;3489.000;13.200;0.000
8/2/2021;9:20:07 AM;15.24;95.930;29.560;3493.000;13.200;0.000
8/2/2021;9:20:22 AM;15.49;95.950;29.560;3497.000;13.200;0.000
8/2/2021;9:20:37 AM;15.74;96.460;29.500;3497.000;13.200;0.000
8/2/2021;9:20:52 AM;15.99;93.790;29.810;3498.000;13.200;0.000
8/2/2021;9:21:07 AM;16.24;94.940;29.680;3502.000;13.200;0.000
8/2/2021;9:21:22 AM;16.49;94.610;29.710;3500.000;13.200;0.000
8/2/2021;9:21:37 AM;16.74;95.000;29.670;3506.000;13.200;0.000
8/2/2021;9:21:52 AM;16.99;94.690;29.710;3505.000;13.200;0.000
8/2/2021;9:22:07 AM;17.24;95.640;29.590;3506.000;13.200;0.000
8/2/2021;9:22:22 AM;17.49;93.880;29.800;3515.000;13.200;0.000
8/2/2021;9:22:37 AM;17.74;93.680;29.820;3510.000;13.200;0.000
8/2/2021;9:22:52 AM;17.99;95.260;29.640;3502.000;13.200;0.000
8/2/2021;9:23:07 AM;18.24;94.630;29.710;3513.000;13.200;0.000
8/2/2021;9:23:22 AM;18.49;94.890;29.680;3511.000;13.200;0.000
8/2/2021;9:23:37 AM;18.74;95.330;29.630;3503.000;13.200;0.000
8/2/2021;9:23:52 AM;18.99;93.440;29.850;3503.000;13.200;0.000
8/2/2021;9:24:07 AM;19.24;94.350;29.750;3504.000;13.200;0.000
8/2/2021;9:24:22 AM;19.49;93.520;29.840;3511.000;13.200;0.000
8/2/2021;9:24:37 AM;19.74;94.000;29.790;3499.000;13.200;0.000
8/2/2021;9:24:52 AM;19.99;94.580;29.720;3501.000;13.200;0.000
8/2/2021;9:25:07 AM;20.24;93.860;29.800;3505.000;13.200;0.000
8/2/2021;9:25:22 AM;20.49;94.570;29.720;3525.000;13.200;0.000
8/2/2021;9:25:37 AM;20.74;93.080;29.900;3513.000;13.200;0.000
8/2/2021;9:25:52 AM;20.99;94.680;29.710;3510.000;13.200;0.000
8/2/2021;9:26:07 AM;21.24;94.800;29.690;3510.000;13.200;0.000
8/2/2021;9:26:22 AM;21.49;95.020;29.670;3520.000;13.200;0.000
8/2/2021;9:26:37 AM;21.74;93.360;29.860;3503.000;13.200;0.000
8/2/2021;9:26:52 AM;21.99;93.890;29.800;3507.000;13.200;0.000
8/2/2021;9:27:07 AM;22.24;93.630;29.830;3511.000;13.200;0.000
8/2/2021;9:27:22 AM;22.49;94.520;29.730;3518.000;13.200;0.000
8/2/2021;9:27:37 AM;22.74;93.250;29.880;3516.000;13.200;0.000
8/2/2021;9:27:52 AM;22.99;93.920;29.800;3522.000;13.200;0.000
8/2/2021;9:28:07 AM;23.24;94.170;29.770;3511.000;13.200;0.000
8/2/2021;9:28:22 AM;23.49;93.550;29.840;3500.000;13.200;0.000
8/2/2021;9:28:37 AM;23.74;95.240;29.640;3506.000;13.200;0.000
8/2/2021;9:28:52 AM;23.99;93.240;29.880;3505.000;13.200;0.000
8/2/2021;9:29:07 AM;24.24;95.080;29.660;3498.000;13.200;0.000
8/2/2021;9:29:22 AM;24.49;95.120;29.650;3507.000;13.200;0.000
8/2/2021;9:29:37 AM;24.74;93.580;29.840;3519.000;13.200;0.000
8/2/2021;9:29:52 AM;24.99;93.910;29.800;3506.000;13.200;0.000
8/2/2021;9:30:07 AM;25.24;94.000;29.790;3503.000;13.200;0.000
8/2/2021;9:30:22 AM;25.49;94.630;29.710;3503.000;13.200;0.000
8/2/2021;9:30:37 AM;25.74;92.950;29.910;3512.000;13.200;0.000
8/2/2021;9:30:52 AM;25.99;93.670;29.830;3508.000;13.200;0.000
8/2/2021;9:31:07 AM;26.24;92.550;29.960;3522.000;13.200;0.000
8/2/2021;9:31:22 AM;26.49;93.650;29.830;3525.000;13.200;0.000
8/2/2021;9:31:37 AM;26.74;92.740;29.940;3523.000;13.200;0.000
8/2/2021;9:31:52 AM;26.99;92.330;29.990;3533.000;13.200;0.000
8/2/2021;9:32:07 AM;27.24;91.210;30.120;3547.000;13.200;0.000
8/2/2021;9:32:22 AM;27.49;91.580;30.080;3541.000;13.200;0.000
8/2/2021;9:32:37 AM;27.74;92.080;30.020;3557.000;13.200;0.000
8/2/2021;9:32:52 AM;27.99;90.860;30.170;3556.000;13.200;0.000
8/2/2021;9:33:07 AM;28.24;92.070;30.020;3542.000;13.200;0.000
8/2/2021;9:33:22 AM;28.49;92.230;30.000;3547.000;13.200;0.000
8/2/2021;9:33:37 AM;28.74;90.500;30.210;3534.000;13.200;0.000
8/2/2021;9:33:52 AM;28.99;91.120;30.130;3534.000;13.200;0.000
8/2/2021;9:34:07 AM;29.24;90.930;30.160;3926.000;13.200;0.000
8/2/2021;9:34:22 AM;29.49;90.760;30.180;3940.000;13.200;0.000
8/2/2021;9:34:37 AM;29.74;90.300;30.240;3938.000;13.200;0.000
8/2/2021;9:34:52 AM;29.99;91.360;30.110;3944.000;13.200;0.000
8/2/2021;9:35:07 AM;30.24;91.310;30.110;3920.000;13.200;0.000
8/2/2021;9:35:22 AM;30.49;91.550;30.080;3792.000;13.200;0.000
8/2/2021;9:35:37 AM;30.74;90.670;30.190;3812.000;13.200;0.000
8/2/2021;9:35:52 AM;30.99;90.890;30.160;3817.000;13.200;0.000
8/2/2021;9:36:07 AM;31.24;91.520;30.090;3827.000;13.200;0.000
8/2/2021;9:36:22 AM;31.49;91.620;30.070;3748.000;13.200;0.000
8/2/2021;9:36:37 AM;31.74;90.960;30.150;3849.000;13.200;0.000
8/2/2021;9:36:52 AM;31.99;91.890;30.040;3851.000;13.200;0.000
8/2/2021;9:37:07 AM;32.24;91.900;30.040;3876.000;13.200;0.000
8/2/2021;9:37:22 AM;32.49;91.810;30.050;3865.000;13.200;0.000
8/2/2021;9:37:37 AM;32.74;92.220;30.000;3883.000;13.200;0.000
8/2/2021;9:37:52 AM;32.99;92.510;29.960;3888.000;13.200;0.000
8/2/2021;9:38:07 AM;33.24;90.130;30.260;3887.000;13.200;0.000
8/2/2021;9:38:22 AM;33.49;89.970;30.280;3889.000;13.200;0.000
8/2/2021;9:38:37 AM;33.74;92.570;29.960;3894.000;13.200;0.000
8/2/2021;9:38:52 AM;33.99;91.340;30.110;3896.000;13.200;0.000
8/2/2021;9:39:07 AM;34.24;90.930;30.160;3893.000;13.200;0.000
8/2/2021;9:39:22 AM;34.49;91.220;30.120;3887.000;13.200;0.000
8/2/2021;9:39:37 AM;34.74;91.980;30.030;3896.000;13.200;0.000
8/2/2021;9:39:52 AM;34.99;91.000;30.150;3895.000;13.200;0.000
8/2/2021;9:40:07 AM;35.24;91.280;30.110;3893.000;13.200;0.000
8/2/2021;9:40:22 AM;35.49;91.170;30.130;3894.000;13.200;0.000
8/2/2021;9:40:37 AM;35.74;90.680;30.190;3895.000;13.200;0.000
8/2/2021;9:40:52 AM;35.99;91.990;30.030;3896.000;13.200;0.000
8/2/2021;9:41:07 AM;36.24;90.490;30.210;3916.000;13.200;0.000
8/2/2021;9:41:22 AM;36.49;91.580;30.080;3901.000;13.200;0.000
8/2/2021;9:41:37 AM;36.74;91.620;30.070;3895.000;13.200;0.000
8/2/2021;9:41:52 AM;36.99;89.680;30.310;3893.000;13.200;0.000
8/2/2021;9:42:07 AM;37.24;92.070;30.020;3890.000;13.200;0.000
8/2/2021;9:42:22 AM;37.49;91.030;30.150;3907.000;13.200;0.000
8/2/2021;9:42:37 AM;37.74;90.550;30.210;3899.000;13.200;0.000
8/2/2021;9:42:52 AM;37.99;91.430;30.100;3896.000;13.200;0.000
8/2/2021;9:43:07 AM;38.24;91.320;30.110;3900.000;13.200;0.000
8/2/2021;9:43:22 AM;38.49;91.030;30.150;3894.000;13.200;0.000
8/2/2021;9:43:37 AM;38.74;92.010;30.030;3902.000;13.200;0.000
8/2/2021;9:43:52 AM;38.99;91.110;30.140;3894.000;13.200;0.000
8/2/2021;9:44:07 AM;39.24;89.980;30.280;3903.000;13.200;0.000
8/2/2021;9:44:22 AM;39.49;91.330;30.110;3894.000;13.200;0.000
8/2/2021;9:44:37 AM;39.74;91.650;30.070;3904.000;13.200;0.000
8/2/2021;9:44:52 AM;39.99;91.490;30.090;3908.000;13.200;0.000
8/2/2021;9:45:07 AM;40.24;92.990;29.910;3907.000;13.200;0.000
8/2/2021;9:45:22 AM;40.49;91.230;30.120;3912.000;13.200;0.000
8/2/2021;9:45:37 AM;40.74;91.050;30.140;3902.000;13.200;0.000
8/2/2021;9:45:52 AM;40.99;90.590;30.200;3907.000;13.200;0.000
8/2/2021;9:46:07 AM;41.24;91.700;30.060;3903.000;13.200;0.000
8/2/2021;9:46:22 AM;41.49;90.470;30.210;3893.000;13.200;0.000
8/2/2021;9:46:37 AM;41.74;90.970;30.150;3896.000;13.200;0.000
8/2/2021;9:46:52 AM;41.99;91.260;30.120;3906.000;13.200;0.000
8/2/2021;9:47:07 AM;42.24;91.680;30.070;3900.000;13.200;0.000
8/2/2021;9:47:22 AM;42.49;91.670;30.070;3902.000;13.200;0.000
8/2/2021;9:47:37 AM;42.74;90.930;30.160;3902.000;13.200;0.000
8/2/2021;9:47:52 AM;42.99;90.410;30.220;3903.000;13.200;0.000
8/2/2021;9:48:07 AM;43.24;91.100;30.140;3895.000;13.200;0.000
8/2/2021;9:48:22 AM;43.49;91.420;30.100;3899.000;13.200;0.000
8/2/2021;9:48:37 AM;43.74;91.820;30.050;3898.000;13.200;0.000
8/2/2021;9:48:52 AM;43.99;90.640;30.190;3898.000;13.200;0.000
8/2/2021;9:49:07 AM;44.24;89.880;30.290;3895.000;13.200;0.000
8/2/2021;9:49:22 AM;44.49;91.510;30.090;3903.000;13.200;0.000
8/2/2021;9:49:37 AM;44.74;90.870;30.170;3907.000;13.200;0.000
8/2/2021;9:49:52 AM;44.99;91.510;30.090;3904.000;13.200;0.000
8/2/2021;9:50:07 AM;45.24;91.110;30.140;3905.000;13.200;0.000
8/2/2021;9:50:22 AM;45.49;91.740;30.060;3906.000;13.200;0.000
8/2/2021;9:50:37 AM;45.74;90.820;30.170;3907.000;13.200;0.000
8/2/2021;9:50:52 AM;45.99;92.460;29.970;3903.000;13.200;0.000
8/2/2021;9:51:07 AM;46.24;90.520;30.210;3899.000;13.200;0.000
8/2/2021;9:51:22 AM;46.49;91.710;30.060;3893.000;13.200;0.000
8/2/2021;9:51:37 AM;46.74;92.040;30.020;3908.000;13.200;0.000
8/2/2021;9:51:52 AM;46.99;92.350;29.980;3906.000;13.200;0.000
8/2/2021;9:52:07 AM;47.24;91.390;30.100;3903.000;13.200;0.000
8/2/2021;9:52:22 AM;47.49;90.730;30.180;3903.000;13.200;0.000
8/2/2021;9:52:37 AM;47.74;90.850;30.170;3900.000;13.200;0.000
8/2/2021;9:52:52 AM;47.99;91.240;30.120;3902.000;13.200;0.000
8/2/2021;9:53:07 AM;48.24;91.890;30.040;3899.000;13.200;0.000
8/2/2021;9:53:22 AM;48.49;91.270;30.120;3902.000;13.200;0.000
8/2/2021;9:53:37 AM;48.74;92.050;30.020;3887.000;13.200;0.000
8/2/2021;9:53:52 AM;48.99;91.070;30.140;3890.000;13.200;0.000
8/2/2021;9:54:07 AM;49.24;90.370;30.230;3906.000;13.200;0.000
8/2/2021;9:54:22 AM;49.49;90.530;30.210;3894.000;13.200;0.000
8/2/2021;9:54:37 AM;49.74;91.220;30.120;3894.000;13.200;0.000
8/2/2021;9:54:52 AM;49.99;91.090;30.140;3901.000;13.200;0.000
8/2/2021;9:55:07 AM;50.24;90.810;30.170;3890.000;13.200;0.000
8/2/2021;9:55:22 AM;50.49;91.660;30.070;3893.000;13.200;0.000
8/2/2021;9:55:37 AM;50.74;90.340;30.230;3898.000;13.200;0.000
8/2/2021;9:55:52 AM;50.99;89.740;30.310;3893.000;13.200;0.000
8/2/2021;9:56:07 AM;51.24;90.880;30.160;3893.000;13.200;0.000
8/2/2021;9:56:22 AM;51.49;91.010;30.150;3905.000;13.200;0.000
8/2/2021;9:56:37 AM;51.74;90.870;30.170;3899.000;13.200;0.000
8/2/2021;9:56:52 AM;51.99;90.970;30.150;3906.000;13.200;0.000
8/2/2021;9:57:07 AM;52.24;90.740;30.180;3910.000;13.200;0.000
8/2/2021;9:57:22 AM;52.49;90.470;30.210;3892.000;13.200;0.000
8/2/2021;9:57:37 AM;52.74;91.230;30.120;3893.000;13.200;0.000
8/2/2021;9:57:52 AM;52.99;90.610;30.200;3906.000;13.200;0.000
8/2/2021;9:58:07 AM;53.24;91.560;30.080;3907.000;13.200;0.000
8/2/2021;9:58:22 AM;53.49;92.000;30.030;3888.000;13.200;0.000
8/2/2021;9:58:37 AM;53.74;91.580;30.080;3901.000;13.200;0.000
8/2/2021;9:58:52 AM;53.99;92.280;29.990;3905.000;13.200;0.000
8/2/2021;9:59:07 AM;54.24;91.050;30.140;3889.000;13.200;0.000
8/2/2021;9:59:22 AM;54.49;90.900;30.160;3893.000;13.200;0.000
8/2/2021;9:59:37 AM;54.74;91.230;30.120;3899.000;13.200;0.000
8/2/2021;9:59:52 AM;54.99;90.650;30.190;3902.000;13.200;0.000
8/2/2021;10:00:07 AM;55.24;91.750;30.060;3885.000;13.200;0.000
8/2/2021;10:00:22 AM;55.49;91.580;30.080;3894.000;13.200;0.000
8/2/2021;10:00:37 AM;55.74;91.310;30.110;3897.000;13.200;0.000
8/2/2021;10:00:52 AM;55.99;91.320;30.110;3884.000;13.200;0.000
8/2/2021;10:01:07 AM;56.24;92.030;30.020;3890.000;13.200;0.000
8/2/2021;10:01:22 AM;56.49;90.550;30.210;3894.000;13.200;0.000
8/2/2021;10:01:37 AM;56.74;91.630;30.070;3891.000;13.200;0.000
8/2/2021;10:01:52 AM;56.99;92.670;29.950;3896.000;13.200;0.000
8/2/2021;10:02:07 AM;57.24;91.310;30.110;3890.000;13.200;0.000
8/2/2021;10:02:22 AM;57.49;90.800;30.170;3894.000;13.200;0.000
8/2/2021;10:02:37 AM;57.74;91.060;30.140;3887.000;13.200;0.000
8/2/2021;10:02:52 AM;57.99;91.270;30.120;3887.000;13.200;0.000
8/2/2021;10:03:07 AM;58.24;91.340;30.110;3889.000;13.200;0.000
8/2/2021;10:03:22 AM;58.49;90.600;30.200;3886.000;13.200;0.000
8/2/2021;10:03:37 AM;58.74;91.060;30.140;3891.000;13.200;0.000
8/2/2021;10:03:52 AM;58.99;91.940;30.030;3896.000;13.200;0.000
8/2/2021;10:04:07 AM;59.24;90.420;30.220;3887.000;13.200;0.000
8/2/2021;10:04:22 AM;59.49;90.480;30.210;3887.000;13.200;0.000
8/2/2021;10:04:37 AM;59.74;90.540;30.210;3895.000;13.200;0.000
8/2/2021;10:04:52 AM;59.99;91.670;30.070;3889.000;13.200;0.000
8/2/2021;10:05:07 AM;60.24;92.020;30.020;3894.000;13.200;0.000
8/2/2021;10:05:22 AM;60.49;90.690;30.190;3894.000;13.200;0.000
8/2/2021;10:05:37 AM;60.74;93.180;29.880;3887.000;13.200;0.000
8/2/2021;10:05:52 AM;60.99;90.840;30.170;3880.000;13.200;0.000
8/2/2021;10:06:07 AM;61.24;91.890;30.040;3889.000;13.200;0.000
8/2/2021;10:06:22 AM;61.49;91.340;30.110;3881.000;13.200;0.000
8/2/2021;10:06:37 AM;61.74;92.730;29.940;3888.000;13.200;0.000
