8/2/2021/9:04 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 102298
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.95 at 014.5°C amp 025700
100.00%a.s.phase 2: 28.72 at 014.2°C amp 012900
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/2/2021;9:04:53 AM;0.00;92.290;29.810;13075.000;13.200;0.000
8/2/2021;9:04:55 AM;0.02;92.330;29.810;13016.000;13.200;0.000
8/2/2021;9:04:56 AM;0.05;92.520;29.790;13097.000;13.200;0.000
8/2/2021;9:05:08 AM;0.25;92.950;29.730;13025.000;13.200;0.000
8/2/2021;9:05:23 AM;0.50;92.970;29.730;12945.000;13.200;0.000
8/2/2021;9:05:38 AM;0.75;93.250;29.700;12941.000;13.200;0.000
8/2/2021;9:05:53 AM;1.00;92.700;29.760;13026.000;13.200;0.000
8/2/2021;9:06:08 AM;1.25;93.080;29.720;12978.000;13.200;0.000
8/2/2021;9:06:23 AM;1.50;92.970;29.730;13047.000;13.200;0.000
8/2/2021;9:06:38 AM;1.75;92.760;29.760;12982.000;13.200;0.000
8/2/2021;9:06:53 AM;2.00;92.010;29.850;12984.000;13.200;0.000
8/2/2021;9:07:08 AM;2.25;92.150;29.830;12974.000;13.200;0.000
8/2/2021;9:07:23 AM;2.50;92.040;29.840;13123.000;13.200;0.000
8/2/2021;9:07:38 AM;2.75;92.410;29.800;12981.000;13.200;0.000
8/2/2021;9:07:53 AM;3.00;92.840;29.750;13104.000;13.200;0.000
8/2/2021;9:08:08 AM;3.25;92.230;29.820;13022.000;13.200;0.000
8/2/2021;9:08:23 AM;3.50;92.240;29.820;13123.000;13.200;0.000
8/2/2021;9:08:38 AM;3.75;92.190;29.830;13092.000;13.200;0.000
8/2/2021;9:08:53 AM;4.00;92.000;29.850;13129.000;13.200;0.000
8/2/2021;9:09:08 AM;4.25;92.570;29.780;13011.000;13.200;0.000
8/2/2021;9:09:23 AM;4.50;92.470;29.790;13104.000;13.200;0.000
8/2/2021;9:09:38 AM;4.75;91.810;29.870;13167.000;13.200;0.000
8/2/2021;9:09:53 AM;5.00;92.140;29.830;13116.000;13.200;0.000
8/2/2021;9:10:08 AM;5.25;92.620;29.770;13008.000;13.200;0.000
8/2/2021;9:10:23 AM;5.50;91.650;29.890;13072.000;13.200;0.000
8/2/2021;9:10:38 AM;5.75;92.290;29.810;13171.000;13.200;0.000
8/2/2021;9:10:53 AM;6.00;92.100;29.840;13139.000;13.200;0.000
8/2/2021;9:11:08 AM;6.25;92.440;29.800;13157.000;13.200;0.000
8/2/2021;9:11:23 AM;6.50;91.640;29.890;13809.000;13.200;0.000
8/2/2021;9:11:38 AM;6.75;92.140;29.830;13388.000;13.200;0.000
8/2/2021;9:11:53 AM;7.00;92.300;29.810;13482.000;13.200;0.000
8/2/2021;9:12:08 AM;7.25;92.250;29.820;13311.000;13.200;0.000
8/2/2021;9:12:23 AM;7.50;91.960;29.850;13313.000;13.200;0.000
8/2/2021;9:12:38 AM;7.75;92.050;29.840;13375.000;13.200;0.000
8/2/2021;9:12:53 AM;8.00;92.510;29.790;13449.000;13.200;0.000
8/2/2021;9:13:08 AM;8.25;91.870;29.860;13450.000;13.200;0.000
8/2/2021;9:13:23 AM;8.50;92.290;29.810;13438.000;13.200;0.000
8/2/2021;9:13:38 AM;8.75;91.720;29.880;13480.000;13.200;0.000
8/2/2021;9:13:53 AM;9.00;91.460;29.910;13255.000;13.200;0.000
8/2/2021;9:14:08 AM;9.25;92.410;29.800;13362.000;13.200;0.000
8/2/2021;9:14:23 AM;9.50;91.940;29.860;13374.000;13.200;0.000
8/2/2021;9:14:38 AM;9.75;92.830;29.750;13488.000;13.200;0.000
8/2/2021;9:14:53 AM;10.00;91.760;29.880;13532.000;13.200;0.000
8/2/2021;9:15:08 AM;10.25;92.320;29.810;13506.000;13.200;0.000
8/2/2021;9:15:23 AM;10.50;91.770;29.880;13281.000;13.200;0.000
8/2/2021;9:15:38 AM;10.75;92.120;29.830;13392.000;13.200;0.000
8/2/2021;9:15:53 AM;11.00;92.070;29.840;13305.000;13.200;0.000
8/2/2021;9:16:08 AM;11.25;91.050;29.970;13368.000;13.200;0.000
8/2/2021;9:16:23 AM;11.50;91.710;29.880;13343.000;13.200;0.000
8/2/2021;9:16:38 AM;11.75;90.860;29.990;13430.000;13.200;0.000
8/2/2021;9:16:53 AM;12.00;90.790;30.000;13532.000;13.200;0.000
8/2/2021;9:17:08 AM;12.25;91.390;29.920;13391.000;13.200;0.000
8/2/2021;9:17:23 AM;12.50;90.950;29.980;13589.000;13.200;0.000
8/2/2021;9:17:38 AM;12.75;91.280;29.940;13574.000;13.200;0.000
8/2/2021;9:17:53 AM;13.00;91.640;29.890;13420.000;13.200;0.000
8/2/2021;9:18:08 AM;13.25;90.580;30.020;13427.000;13.200;0.000
8/2/2021;9:18:23 AM;13.50;91.060;29.960;13478.000;13.200;0.000
8/2/2021;9:18:38 AM;13.75;90.280;30.060;13476.000;13.200;0.000
8/2/2021;9:18:53 AM;14.00;90.710;30.010;13496.000;13.200;0.000
8/2/2021;9:19:08 AM;14.25;90.430;30.040;13359.000;13.200;0.000
8/2/2021;9:19:23 AM;14.50;90.910;29.980;13522.000;13.200;0.000
8/2/2021;9:19:38 AM;14.75;88.830;30.240;13552.000;13.200;0.000
8/2/2021;9:19:53 AM;15.00;89.200;30.190;13551.000;13.200;0.000
8/2/2021;9:20:08 AM;15.25;89.410;30.170;13482.000;13.200;0.000
8/2/2021;9:20:23 AM;15.50;89.920;30.100;13458.000;13.200;0.000
8/2/2021;9:20:38 AM;15.75;89.590;30.150;13495.000;13.200;0.000
8/2/2021;9:20:53 AM;16.00;89.520;30.150;13469.000;13.200;0.000
8/2/2021;9:21:08 AM;16.25;89.100;30.210;13677.000;13.200;0.000
8/2/2021;9:21:23 AM;16.50;89.230;30.190;13684.000;13.200;0.000
8/2/2021;9:21:38 AM;16.75;89.120;30.210;13735.000;13.200;0.000
8/2/2021;9:21:53 AM;17.00;88.280;30.310;13962.000;13.200;0.000
8/2/2021;9:22:08 AM;17.25;89.160;30.200;14252.000;13.200;0.000
8/2/2021;9:22:23 AM;17.50;89.360;30.180;14304.000;13.200;0.000
8/2/2021;9:22:38 AM;17.75;88.940;30.230;14245.000;13.200;0.000
8/2/2021;9:22:53 AM;18.00;89.020;30.220;14353.000;13.200;0.000
8/2/2021;9:23:08 AM;18.25;89.280;30.180;14464.000;13.200;0.000
