7/19/2021/10:29 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 102378
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.59 at 012.6°C amp 020400
100.00%a.s.phase 2: 28.17 at 012.6°C amp 010500
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
7/19/2021;10:29:53 AM;0.00;89.090;29.410;11433.000;12.700;0.000
7/19/2021;10:29:54 AM;0.04;88.530;29.480;11422.000;12.700;0.000
7/19/2021;10:29:55 AM;0.06;88.410;29.490;11396.000;12.700;0.000
7/19/2021;10:30:04 AM;0.20;87.980;29.550;11440.000;12.700;0.000
7/19/2021;10:30:19 AM;0.45;88.430;29.490;11405.000;12.700;0.000
7/19/2021;10:30:34 AM;0.70;88.450;29.490;11453.000;12.700;0.000
7/19/2021;10:30:49 AM;0.95;88.520;29.480;11432.000;12.700;0.000
7/19/2021;10:31:04 AM;1.20;88.400;29.490;11428.000;12.700;0.000
7/19/2021;10:31:19 AM;1.45;89.790;29.320;8725.000;12.700;0.000
7/19/2021;10:31:34 AM;1.70;89.110;29.400;8650.000;12.700;0.000
7/19/2021;10:31:49 AM;1.95;89.220;29.390;9154.000;12.700;0.000
7/19/2021;10:32:04 AM;2.20;89.880;29.310;9153.000;12.700;0.000
7/19/2021;10:32:19 AM;2.45;89.040;29.410;9139.000;12.700;0.000
7/19/2021;10:32:34 AM;2.70;90.870;29.190;9066.000;12.700;0.000
7/19/2021;10:32:49 AM;2.95;90.180;29.270;9133.000;12.700;0.000
7/19/2021;10:33:04 AM;3.20;91.010;29.170;9068.000;12.700;0.000
7/19/2021;10:33:19 AM;3.45;90.780;29.200;9152.000;12.700;0.000
7/19/2021;10:33:34 AM;3.70;91.160;29.150;9090.000;12.700;0.000
7/19/2021;10:33:49 AM;3.95;91.400;29.120;9010.000;12.700;0.000
7/19/2021;10:34:04 AM;4.20;91.540;29.110;9140.000;12.700;0.000
7/19/2021;10:34:19 AM;4.45;90.430;29.240;10986.000;12.700;0.000
7/19/2021;10:34:34 AM;4.70;90.850;29.190;11068.000;12.700;0.000
