Date,Group#,"File name",day,Type,tank,octo1,octo2,"Pco2 treatment","flow rate (L/min)","Mass (g)","Flow rate 2","Mass 2",RMR,pCrit,,Notes
2021/07/12,3,"gr3 muus 1800 7-12-21.txt",1,RMR,10,3-1,,1800,0.04755,70,,,1.890111,,,
2021/07/13,3,"gr3 muus 1800 pcrit 7-13-21.txt",1,pcrit,10,3-1,,1800,X,70,,,,9.717385,Conformer,
2022/07/19,3,"gr3 muus 1800 7day-7-19-21.txt",7,RMR,10,3-1,,1800,0.04125,70,,,2.005475,,,
2022/07/20,3,"gr3 muus 1800 7day Pcrit 7-19-21.txt",7,pcrit,10,3-1,,1800,X,70,,,,4.392043,,
2022/07/20,3,"gr3 muus 1000 7-20-21.txt",1,RMR,3,3-2,,1000,0.05095,21.6,,,2.688192,,,"Students has 0.5095 for flow"
2022/07/22,3,"Gr3 Muus 1000 pcrit 7-22-21.txt",1,pcrit,3,3-2,,1000,X,21.6,,,,5.139781,,
2022/07/26,3,"gr3 muus 1000-2 7day 7-26-21.txt",7,RMR,3,3-2,,1000,0.0265,21.6,,,1.66335,,,
2022/07/27,3,"Gr3 Muus1000-2 7day pcrit 7-27-21.txt",7,pcrit,3,3-2,,1000,X,21.6,,,,3.142877,,
2022/07/27,3,"gr3 muus 1800 -2 7-27-21.txt",1,RMR,10,3-3,,1800,0.0176,16.9,,,1.94083227,,,
2022/07/28,3,"Gr3 Muus 1800-2 pcrit 7-28-21.txt",1,pcrit,10,3-3,,1800,X,16.9,,,,3.22736,,
2022/08/02,3,"gr3 muus 1800 -2 day7 8-02-21.txt",7,RMR,10,3-3,,1800,0.02025,16.9,,,2.42975909,,,
2022/08/03,3,"Gr3 Muus 1800-2 pcrit 8-03-21.txt",7,pcrit,10,3-3,,1800,X,16.9,,,,9.643677,Conformer,
,,,,,,,,,,,,,,,,
2021/07/12,1,"GR1 Muus1800 7-12-21.txt",1,RMR,8,1-1,,1800,0.0495,30.8,,,2.35435254,,,
2021/07/13,1,"GR1 Muus1800 pcrit 7-13-21.txt",1,pcrit,8,1-1,,1800,X,30.8,,,,5.01528145,,
2022/07/19,1,"GR1 Muus1800 7day-7-19-21.txt",7,RMR,8,1-1,,1800,0.0431,30.8,,,2.70205596,,,
2022/07/20,1,"GR1 Muus1800 7day-pcrit 7-20-21.txt",7,pcrit,8,1-1,,1800,X,30.8,,,,7.39866121,,
2022/07/20,1,"GR1 Muus1000 7-20-21.txt",1,RMR,1,1-2,,1000,0.054,20.6,,,2.36581922,,,
2022/07/22,1,"GR1 Muus1000 pcrit 7-21-21.txt",1,pcrit,1,1-2,,1000,X,20.6,,,,4.68082976,,
