Date,Variable,T1,T2,T3,T4,T8,T9,T10,T11
2021/07/09,pH,7.72752373,7.64485714,7.671,7.601336508,7.441347593,7.43060038,7.302,7.49176210768
2021/07/09,Alkalinity,0.00203498231,0.0020420134,0.00204226008,0.002036427,0.00201837066,0.0020338481,0.00200504349,0.00197726024
2021/07/09,pCO2,827.5533,1030.42443,753.578029,1143.039989363,1661.5633,1707.76672,3259.69031,1440.21818066526
2021/07/09,Salinity,28.6,26.9,27.2,26.7,28.1,27.6,27.2,27
2021/07/09,"pH set point",7.65,7.65720122,7.65598419,7.656555932,7.406,7.40849659,7.40367252,7.64324558887
2021/07/11,pH,7.705209807,7.6971273469,7.7391,7.615075587,7.493492347,7.4105734,7.5277,7.49811372473
2021/07/11,Alkalinity,0.00203498231,0.0020420134,0.0020423,0.002036427,0.00201837066,0.0020338481,0.002005,0.00197726024
2021/07/11,pCO2,875.423,904.624766706,821,1102.992541801,1449.536667,1736.20762,1354,1416.30006599053
2021/07/11,Salinity,28.4,27.2,29.3,27,28.4,27.4,25.6,27.2
2021/07/11,"pH set point",7.651,7.6559780718,7.658,7.655518903,7.403,7.4089,7.409,7.64256705742
2021/07/12,pH,7.711660117,7.70439138,7.764,7.60079871889,7.471,7.54478957,7.5043,7.46812665894
2021/07/12,Alkalinity,0.00203498231,0.00203843692,0.0020423,0.00204469138,0.00201837066,0.00206009765,0.002005,0.00205612858
2021/07/12,pCO2,853.2563,878.86044,766,1134.01197358638,1524.32,1286.22707,1400,1565.62538067489
2021/07/12,Salinity,29.7,28.7,27.6,28.4,28.8,31,28.6,28.7
2021/07/12,"pH set point",7.647,7.6515806,7.655,7.65262537194,7.402,7.40468607,7.399,7.65401765465
2021/07/13,pH,7.581,7.70844179517,7.707,7.56732548599,7.408,7.44038104844,7.511,7.56158861472
2021/07/13,Alkalinity,0.00198224831,0.00203843692,0.00206613,0.00204469138,0.00207881481,0.00206009765,0.0020456,0.00205612858
2021/07/13,pCO2,1133.41,858.24200592449,879,1210.01938844453,1786.92,1653.90673617507,1396,1235.35706307611
2021/07/13,Salinity,30.9,30.2,29.3,30.8,30.6,30.8,29.6,30.6
2021/07/13,"pH set point",7.633,7.64599769302,7.653,7.64578260249,7.409,7.40492338616,7.4051,7.64861808191
