"","filename","spreadsheet_guess","octo","mass","pco2","day","rmr","mass.log","rmr.log"
"1","Gr1 Muus 1800-2  7day-8-2-21.txt","Gr1 Muus 1800-2  7day-8-2-21.txt","1-3",2.5,"1800",7,2.00631692090577,0.916290731874155,0.696300663554595
"2","GR1 Muus1000 7-20-21.txt","GR1 Muus1000 7-20-21.txt","1-2",20.6,"1000",1,2.38250738486023,3.02529107579554,0.868153456167956
"3","GR1 Muus1000 7day-7-26-21.txt","GR1 Muus1000 7day-7-26-21.txt","1-2",20.6,"1000",7,2.05476744041106,3.02529107579554,0.720162673861072
"4","GR1 Muus1800 7-12-21.txt","GR1 Muus1800 7-12-21.txt","1-1",30.8,"1800",1,2.402579525207,3.42751468997953,0.876542962337169
"5","GR1 Muus1800 7day-7-19-21.txt","GR1 Muus1800 7day-7-19-21.txt","1-1",30.8,"1800",7,2.59535998874771,3.42751468997953,0.953725230984128
"6","GR1 Muus1800-2 7-26-21.txt","GR1 Muus1800-2 7-26-21.txt","1-3",2.5,"1800",1,2.59496641955193,0.916290731874155,0.953573576091709
"7","gr2muus1000 7-20-21.txt","gr2muus1000 7-20-21.txt","2-2",35,"1000",1,2.40688024769,3.55534806148941,0.878331405876532
"8","gr2muus1000-2 7-26-21.txt","gr2muus1000-2 7-26-21.txt","2-2",35,"1000",7,2.06706704142012,3.55534806148941,0.726130714339169
"9","gr2muus1800 7day 7-19-21.txt","gr2muus1800 7day 7-19-21.txt","2-1",16.8,"1800",7,2.86535651513149,2.82137888640921,1.0526927805162
"10","gr2muus1800-2 7-27-21 forgot to start log.txt","gr2muus1800-2 7-27-21 forgot to start log.txt","2-3",2.6,"1800",1,22.3183906429391,0.955511445027436,3.10541103110254
"11","gr2muus1800-2 day7 8-2-21.txt","gr2muus1800-2 day7 8-2-21.txt","2-3",2.6,"1800",7,21.8549916110366,0.955511445027436,3.08442934446879
"12","gr3 muus 1000 7-20-21.txt","gr3 muus 1000 7-20-21.txt","3-2",21.6,"1000",1,2.68337952050634,3.07269331469012,0.987077015225285
"13","gr3 muus 1000-2 7day 7-26-21.txt","gr3 muus 1000-2 7day 7-26-21.txt","3-2",21.6,"1000",7,1.66194639451728,3.07269331469012,0.507989442313388
"14","gr3 muus 1800 -2 7-27-21.txt","gr3 muus 1800 -2 7-27-21.txt","3-3",16.9,"1800",1,1.88355533335994,2.82731362192903,0.633161125663716
"15","gr3 muus 1800 -2 day7 8-02-21.txt","gr3 muus 1800 -2 day7 8-02-21.txt","3-3",16.9,"1800",7,2.43132400865495,2.82731362192903,0.888435968499186
"16","gr3 muus 1800 7-12-21.txt","gr3 muus 1800 7-12-21.txt","3-1",70,"1800",1,1.73931909144483,4.24849524204936,0.553493709882296
