
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-532-199	3	ON External	19.000	ON	1013	35.100	40%	200x	10	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-532-199	3	ON External	19.000	ON	1013	35.100	40%	200x	10	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.147	11.953	1002	100.000	20.950	54.395	21.895	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	12.156	11.951	1002	100.000	20.950	54.592	21.517	0.804	0.122	4000	0.969	-0.056	0.577	0.000	-0.000303	0.000	
Data	Smoothing:	1	
Date:	6/28/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
6/28/2021	20:04:27	0.00		266.09	246.58	---	---	12.117	12.117	---	---	1001.76	53.806	12.117	---	---	21.883	22.403	---	---	138.597	147.862	---	---	6.093	6.358	---	---	
6/28/2021	20:04:42	15.00		265.53	244.99	---	---	12.120	12.120	---	---	1001.70	54.714	12.120	---	---	21.907	22.479	---	---	138.817	148.483	---	---	6.105	6.383	---	---	
6/28/2021	20:04:57	30.00		264.99	243.23	---	---	12.120	12.120	---	---	1001.70	53.860	12.120	---	---	21.931	22.565	---	---	139.059	149.075	---	---	6.128	6.331	---	---	
6/28/2021	20:05:12	45.00		264.51	241.93	---	---	12.115	12.115	---	---	1001.64	53.684	12.115	---	---	21.953	22.631	---	---	139.251	149.666	---	---	6.140	6.420	---	---	
6/28/2021	20:05:27	60.00		264.05	240.50	---	---	12.104	12.104	---	---	1001.67	53.745	12.104	---	---	21.978	22.706	---	---	139.507	150.257	---	---	6.136	6.378	---	---	
6/28/2021	20:05:42	75.00		263.20	238.56	---	---	12.109	12.109	---	---	1001.73	53.570	12.109	---	---	22.014	22.801	---	---	139.735	150.890	---	---	6.082	6.294	---	---	
6/28/2021	20:05:57	90.00		262.23	257.93	---	---	12.107	12.107	---	---	1001.82	53.509	12.107	---	---	22.059	21.874	---	---	138.117	137.430	---	---	5.961	6.179	---	---	
6/28/2021	20:06:12	105.00		262.10	256.78	---	---	12.089	12.089	---	---	1001.73	53.333	12.089	---	---	22.071	21.934	---	---	140.337	138.287	---	---	6.106	6.233	---	---	
6/28/2021	20:06:27	120.00		261.22	256.86	---	---	12.058	12.058	---	---	1001.85	53.242	12.058	---	---	22.122	21.941	---	---	140.652	138.423	---	---	6.114	6.293	---	---	
6/28/2021	20:06:42	135.00		260.50	255.59	---	---	12.068	12.068	---	---	1001.70	53.181	12.068	---	---	22.151	21.996	---	---	140.950	138.840	---	---	6.138	6.219	---	---	
6/28/2021	20:06:57	150.00		258.90	253.71	---	---	12.076	12.076	---	---	1001.73	53.158	12.076	---	---	22.221	22.080	---	---	141.297	139.341	---	---	6.151	6.258	---	---	
6/28/2021	20:07:12	165.00		258.73	252.68	---	---	12.078	12.078	---	---	1001.73	53.127	12.078	---	---	22.228	22.128	---	---	141.538	139.862	---	---	6.103	6.350	---	---	
