Date,Group#,File name,Treatment Length (days),Type,Tank #,Pco2 treatment,flow rate (L/min),Mass (g),resp.back,RMR,pCrit,TB pCrit 1/4/22,Mean Temp,Standard Dev,Low temp,High temp,Notes
27-Jul,1,Gr Muus1000 pcrit 7-27-21 B.txt,7,pcrit,1,1000,X,20.6,,,4.97,4.97,I got a - value,,,,
28-Jul,1,Gr1 Muus 1800#2 pcrit 25 ml jar 7-29-21 ch2 blank.txt,1,pcrit,8,1800,X,2.5,,,4.71,4.707,"I got neg, garbage looking run",,,,
3-Aug,1,GR1 Muus 1800#2 pcrit day7 8-3-21.txt,7,pcrit,8,1800,X,2.5,,,14.45,15.97024,Conformer,,,,
22-Jul,1,GR1 Muus1000 pcrit 7-21-21.txt,1,pcrit,1,1000,X,20.6,,,4.68,4.658,,,,,
20-Jul,1,GR1 Muus1800 7day-pcrit 7-20-21.txt,7,pcrit,8,1800,X,30.8,,,7.4,7.356,,,,,
7/13/21,1,GR1 Muus1800 pcrit 7-13-21.txt,1,pcrit,8,1800,X,30.8,,,5.02,5.015,,,,,
22-Jul,2,gr2muus1000 pcrit 7-21-21.txt,1,pcrit,2,1000,X,35,,,3.77,3.774628,,,,,
27-Jul,2,gr2muus1000#2 pcrit 7-26-21.txt,7,pcrit,2,1000,X,35,,,10.08,10.0765,Conformer: eyeballed looks like 6.0 to me,,,,
20-Jul,2,gr2muus1800 7day pcrit 7-20-21.txt,7,pcrit,9,1800,X,16.8,,,6.65,6.65235,,,,,
28-Jul,2,gr2muus1800#2 pcrit in 25 ml jar 7-29-21 ch2 is blank.txt,1,pcrit,9,1800,X,2.6,,,5.92,4,"Negative value, crap run in 25ml",,,,
22-Jul,3,Gr3 Muus 1000 pcrit 7-22-21.txt,1,pcrit,3,1000,X,21.6,,,5.14,5.041125,,,,,
20-Jul,3,gr3 muus 1800 7day Pcrit 7-19-21.txt,7,pcrit,10,1800,X,70,,,4.39,4.392149,"Sloppy run, noisy",,,,
7/13/21,3,gr3 muus 1800 pcrit 7-13-21.txt,1,pcrit,10,1800,X,70,,,9.72,9.728477,Conformer: if i eyeballed would be ~4-5,,,,
28-Jul,3,Gr3 Muus 1800#2 pcrit 7-28-21.txt,1,pcrit,10,1800,X,16.9,,,3.23,3.923466,in ~100 ml jar,,,,
3-Aug,3,Gr3 Muus 1800#2 pcrit 8-03-21.txt,7,pcrit,10,1800,X,16.9,,,9.64,8.4603,Conformer: if I eyeballed I would put at! 3.5,,,,
27-Jul,3,Gr3 Muus1000#2 7day pcrit 7-27-21.txt,7,pcrit,3,1000,X,21.6,,,3.14,3.142869,,,,,
27-Jul,4,GR4MUUS1000#2Pcrit-7-26-21.txt,7,pcrit,4,1000,X,15.5,,,4.99,4.961886,,,,,
21-Jul,4,GR4MUUS1000Pcrit-7-21-21.txt,1,pcrit,4,1000,X,15.5,,,3.7,3.596721,,,,,
20-Jul,4,GR4MUUS1800-7dayPcrit-7-20-21.txt,7,pcrit,11,1800,X,27.5,,,10.91,6.873062,Conformer Couldn't plot Abline graph of bins,,,,
3-Aug,4,GR4MUUS1800#2-7dayPcrit-8-3-21.txt,7,pcrit,11,1800,X,41.3,,,4.7,4.452991,,,,,
28-Jul,4,GR4MUUS1800#2Pcrit-7-28-21.txt,1,Pcrit,11,1800,X,41.3,,,3.4,3.355205,,,,,
7/13/21,4,GR4MUUS1800Pcrit-7-13-21,1,pcrit,11,1800,X,27.5,,,6.19,6.556591,Trim noise makes big change,,,,
,,blank,,,,,0.03,,,,,,,,,,
,,,,,,,,,,,,4.589631,Trimmed early noise,,,,
