Date,Group#,File name,day,Type,Tank #,pCO2,flow rate (L/min),mass,resp.back,RMR,student pCrit,TB_pcrit,Mean Temp,Standard Dev,Low temp,High temp,Notes,,,,,,,,,,,,,,
,,tbocto 1000 rmr tank 3 and 4,1,pcrit,4,1000,0.023,4.4,7.83,2.851,,3.781578,,Male,,,,,,,,,,,,,,,,,
,,tbocto 1000 rmr tank 3 and 4,1,pcrit,3,1000,0.027,13,7.83,1.837,,4.508876,,Male,,,,,,,,,,,,,,,,,
21-Jul,4,GR4MUUS1000Pcrit-7-21-21.txt,1,pcrit,4,1000,X,15.5,,,3.704677,3.596721,,,,,,,,,,,,,,,,,,,
22-Jul,1,GR1 Muus1000 pcrit 7-21-21.txt,1,pcrit,1,1000,X,20.6,,,4.68082976,4.658,,,,,,,,,,,,,,,,,,,
22-Jul,3,Gr3 Muus 1000 pcrit 7-22-21.txt,1,pcrit,3,1000,X,21.6,,,5.139781,5.041125,,,,,,,,,,,,,,,,,,,
,,tbocto 1000 rmr tank 1 and 2,1,pcrit,2,1000,0.0265,25.1,7.83,2.45,,7.260164,,Female,"Double check flow in notes, maybe 0.0230",,,,,,,,,,,,,,,,
22-Jul,2,gr2muus1000 pcrit 7-21-21.txt,1,pcrit,2,1000,X,35,,,3.77451978,3.774628,,,,,,,,,,,,,,,,,,,
8/10/21,TB,tbocto 1000 rmr tank 1 and 2,1,pcrit,1,1000,0.0265,36.3,7.83,1.1,,3.744317,,Male,,,,,,,,,,,,,,,,,
,,tbocto 1000 rmr tank 3 and 4,7,pcrit,4,1000,0.019,4.4,7.83,5.441,,18.67493,,Male,,,,,,,,,,,,,,,,,
,,tbocto 1000 rmr tank 3 and 4,7,pcrit,3,1000,0.0165,13,7.83,3.325,,8.510165,,Male,,,,,,,,,,,,,,,,,
27-Jul,4,GR4MUUS1000#2Pcrit-7-26-21.txt,7,pcrit,4,1000,X,15.5,,,4.986458,4.961886,,,,,,,,,,,,,,,,,,,
27-Jul,1,Gr Muus1000 pcrit 7-27-21 B.txt,7,pcrit,1,1000,X,20.6,,,4.9707688,4.97,I got a - value,,,,,,,,,,,,,,,,,,
27-Jul,3,Gr3 Muus1000#2 7day pcrit 7-27-21.txt,7,pcrit,3,1000,X,21.6,,,3.142877,3.142869,,,,,,,,,,,,,,,,,,,
,,tbocto 1000 rmr tank 1 and 2,7,pcrit,2,1000,0.019,25.1,7.83,2.81,,6.025132,,Female,,,,,,,,,,,,,,,,,
27-Jul,2,gr2muus1000#2 pcrit 7-26-21.txt,7,pcrit,2,1000,X,35,,,10.07637222,10.0765,Conformer: eyeballed looks like 6.0 to me,,,,,,,,,,,,,,,,,,
8/18/21,TB,tbocto 1000 rmr tank 1 and 2,7,pcrit,1,1000,0.02,36.3,7.83,1.35,,15.20444,,Male,,,,,,,,,,,,,,,,,
28-Jul,1,Gr1 Muus 1800#2 pcrit 25 ml jar 7-29-21 ch2 blank.txt,1,pcrit,8,1800,X,2.5,,,4.70881353,4.707,"I got neg, garbage looking run",,,,,,,,,,,,,,,,,,
28-Jul,2,gr2muus1800#2 pcrit in 25 ml jar 7-29-21 ch2 is blank.txt,1,pcrit,9,1800,X,2.6,,,5.91504761,4,"Negative value, crap run in 25ml",,,,,,,,,,,,,,,,,,
28-Jul,3,Gr3 Muus 1800#2 pcrit 7-28-21.txt,1,pcrit,10,1800,X,16.9,,,3.22736,3.923466,in ~100 ml jar,,,,,,,,,,,,,,,,,,
7/13/21,4,GR4MUUS1800Pcrit-7-13-21,1,pcrit,11,1800,X,27.5,,,6.193212,6.556591,Trim noise makes big change,,,,,,,,,,,,,,,,,,
7/13/21,1,GR1 Muus1800 pcrit 7-13-21.txt,1,pcrit,8,1800,X,30.8,,,5.01528145,5.015,,,,,,,,,,,,,,,,,,,
28-Jul,4,GR4MUUS1800#2Pcrit-7-28-21.txt,1,Pcrit,11,1800,X,41.3,,,3.401692,3.355205,,,,,,,,,,,,,,,,,,,
7/13/21,3,gr3 muus 1800 pcrit 7-13-21.txt,1,pcrit,10,1800,X,70,,,9.717385,9.728477,Conformer: if i eyeballed would be ~4-5,,,,,,,,,,,,,,,,,,
3-Aug,1,GR1 Muus 1800#2 pcrit day7 8-3-21.txt,7,pcrit,8,1800,X,2.5,,,14.4518789,4.589631,,,,,,,,,,,,,,,,,,,
20-Jul,2,gr2muus1800 7day pcrit 7-20-21.txt,7,pcrit,9,1800,X,16.8,,,6.65235773,6.65235,,,,,,,,,,,,,,,,,,,
3-Aug,3,Gr3 Muus 1800#2 pcrit 8-03-21.txt,7,pcrit,10,1800,X,16.9,,,9.643677,8.4603,Conformer: if I eyeballed I would put at! 3.5,,,,,,,,,,,,,,,,,,
20-Jul,4,GR4MUUS1800-7dayPcrit-7-20-21.txt,7,pcrit,11,1800,X,27.5,,,10.91083,6.873062,Conformer Couldn't plot Abline graph of bins,,,,,,,,,,,,,,,,,,
20-Jul,1,GR1 Muus1800 7day-pcrit 7-20-21.txt,7,pcrit,8,1800,X,30.8,,,7.39866121,7.356,,,,,,,,,,,,,,,,,,,
3-Aug,4,GR4MUUS1800#2-7dayPcrit-8-3-21.txt,7,pcrit,11,1800,X,41.3,,,4.702994,4.452991,,,,,,,,,,,,,,,,,,,
20-Jul,3,gr3 muus 1800 7day Pcrit 7-19-21.txt,7,pcrit,10,1800,X,70,,,4.392043,4.392149,"Sloppy run, noisy",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Trimmed early noise,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,blank,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
