8/12/2021/12:05 AM SW ver:OXY4v2_30
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1230969
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 100783
Frequency         : 006
Sending interval  : 0001
Averaging         : 7
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.06 at 013.7°C amp 011800
100.00%a.s.phase 2: 28.47 at 013.3°C amp 005600
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/12/2021;12:05:50 AM;0.00;82.830;30.600;5833.000;13.100;0.000
8/12/2021;12:05:52 AM;0.02;81.660;30.760;5840.000;13.100;0.000
8/12/2021;12:05:53 AM;0.04;81.440;30.790;5839.000;13.100;0.000
8/12/2021;12:06:06 AM;0.26;82.770;30.610;5835.000;13.100;0.000
8/12/2021;12:06:21 AM;0.51;82.770;30.610;5829.000;13.100;0.000
8/12/2021;12:06:36 AM;0.76;83.120;30.560;5850.000;13.100;0.000
8/12/2021;12:06:51 AM;1.01;84.740;30.340;5830.000;13.100;0.000
8/12/2021;12:07:06 AM;1.26;82.450;30.650;5913.000;13.100;0.000
8/12/2021;12:07:21 AM;1.51;83.560;30.500;5882.000;13.100;0.000
8/12/2021;12:07:36 AM;1.76;82.930;30.590;5854.000;13.100;0.000
8/12/2021;12:07:51 AM;2.01;82.200;30.690;5866.000;13.100;0.000
8/12/2021;12:08:06 AM;2.26;82.800;30.600;5861.000;13.100;0.000
