8/11/2021/3:41 PM SW ver:OXY4v2_30
Header Ch-3
Description: 
IDENTIFICATION
PHIboard number   : v1230971
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 064
Ref LED amplitude : 101041
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.32 at 013.7°C amp 057400
100.00%a.s.phase 2: 28.49 at 013.3°C amp 029300
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/11/2021;3:41:53 PM;0.00;85.880;30.210;9668.000;13.100;0.000
8/11/2021;3:41:54 PM;0.02;85.720;30.230;9657.000;13.100;0.000
8/11/2021;3:41:55 PM;0.04;86.060;30.190;9652.000;13.100;0.000
8/11/2021;3:41:56 PM;0.06;85.630;30.250;9654.000;13.100;0.000
8/11/2021;3:41:58 PM;0.08;86.290;30.160;9654.000;13.100;0.000
8/11/2021;3:42:07 PM;0.24;86.240;30.170;9644.000;13.100;0.000
8/11/2021;3:42:22 PM;0.49;86.180;30.170;9683.000;13.100;0.000
8/11/2021;3:42:37 PM;0.74;85.880;30.210;9673.000;13.100;0.000
8/11/2021;3:42:52 PM;0.99;86.450;30.140;9672.000;13.100;0.000
8/11/2021;3:43:07 PM;1.24;90.490;29.630;12477.000;13.100;0.000
8/11/2021;3:43:22 PM;1.49;93.850;29.220;9283.000;13.100;0.000
8/11/2021;3:43:37 PM;1.74;88.250;29.910;9704.000;13.100;0.000
8/11/2021;3:43:52 PM;1.99;88.120;29.920;10074.000;13.100;0.000
8/11/2021;3:44:07 PM;2.24;86.780;30.100;10121.000;13.100;0.000
8/11/2021;3:44:22 PM;2.49;87.090;30.050;10157.000;13.100;0.000
8/11/2021;3:44:37 PM;2.74;87.150;30.050;10107.000;13.100;0.000
8/11/2021;3:44:52 PM;2.99;86.860;30.080;10081.000;13.100;0.000
8/11/2021;3:45:07 PM;3.24;87.360;30.020;9830.000;13.100;0.000
8/11/2021;3:45:22 PM;3.49;85.930;30.210;9824.000;13.100;0.000
8/11/2021;3:45:37 PM;3.74;86.480;30.130;9798.000;13.100;0.000
8/11/2021;3:45:52 PM;3.99;87.060;30.060;9781.000;13.100;0.000
8/11/2021;3:46:07 PM;4.24;86.480;30.130;9765.000;13.100;0.000
8/11/2021;3:46:22 PM;4.49;85.880;30.210;9772.000;13.100;0.000
8/11/2021;3:46:37 PM;4.74;86.750;30.100;9772.000;13.100;0.000
8/11/2021;3:46:52 PM;4.99;86.790;30.090;9783.000;13.100;0.000
8/11/2021;3:47:07 PM;5.24;86.380;30.150;9792.000;13.100;0.000
8/11/2021;3:47:22 PM;5.49;85.840;30.220;9803.000;13.100;0.000
8/11/2021;3:47:37 PM;5.74;85.960;30.200;9796.000;13.100;0.000
8/11/2021;3:47:52 PM;5.99;86.490;30.130;9818.000;13.100;0.000
8/11/2021;3:48:07 PM;6.24;84.690;30.370;9843.000;13.100;0.000
8/11/2021;3:48:22 PM;6.49;85.050;30.320;9834.000;13.100;0.000
8/11/2021;3:48:37 PM;6.74;85.600;30.250;9845.000;13.100;0.000
8/11/2021;3:48:52 PM;6.99;85.000;30.330;9861.000;13.100;0.000
8/11/2021;3:49:07 PM;7.24;85.910;30.210;9869.000;13.100;0.000
8/11/2021;3:49:22 PM;7.49;85.820;30.220;9854.000;13.100;0.000
8/11/2021;3:49:37 PM;7.74;85.090;30.320;9856.000;13.100;0.000
8/11/2021;3:49:52 PM;7.99;84.780;30.360;9854.000;13.100;0.000
8/11/2021;3:50:07 PM;8.24;84.510;30.390;9882.000;13.100;0.000
8/11/2021;3:50:22 PM;8.49;83.990;30.460;9888.000;13.100;0.000
8/11/2021;3:50:37 PM;8.74;84.750;30.360;9884.000;13.100;0.000
8/11/2021;3:50:52 PM;8.99;84.660;30.370;9904.000;13.100;0.000
8/11/2021;3:51:07 PM;9.24;84.160;30.440;9910.000;13.100;0.000
8/11/2021;3:51:22 PM;9.49;83.680;30.500;9923.000;13.100;0.000
8/11/2021;3:51:37 PM;9.74;83.580;30.520;9922.000;13.100;0.000
8/11/2021;3:51:52 PM;9.99;84.300;30.420;9922.000;13.100;0.000
