8/19/2021/11:52 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 102881
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.21 at 014.4°C amp 024000
100.00%a.s.phase 2: 28.33 at 013.3°C amp 013100
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/19/2021;11:52:00 AM;0.00;79.440;31.010;14761.000;12.700;0.000
8/19/2021;11:52:01 AM;0.02;79.070;31.060;14755.000;12.700;0.000
8/19/2021;11:52:02 AM;0.03;79.580;30.990;14770.000;12.700;0.000
8/19/2021;11:52:15 AM;0.25;80.170;30.910;14767.000;12.700;0.000
8/19/2021;11:52:30 AM;0.50;79.770;30.960;14771.000;12.700;0.000
8/19/2021;11:52:45 AM;0.75;79.580;30.990;14786.000;12.700;0.000
8/19/2021;11:53:00 AM;1.00;79.600;30.990;14819.000;12.700;0.000
8/19/2021;11:53:15 AM;1.25;79.420;31.020;14811.000;12.700;0.000
8/19/2021;11:53:30 AM;1.50;80.470;30.870;14755.000;12.700;0.000
8/19/2021;11:53:45 AM;1.75;79.630;30.980;14755.000;12.700;0.000
8/19/2021;11:54:00 AM;2.00;79.790;30.960;14752.000;12.700;0.000
8/19/2021;11:54:15 AM;2.25;80.460;30.870;14771.000;12.700;0.000
8/19/2021;11:54:30 AM;2.50;79.720;30.970;14773.000;12.700;0.000
8/19/2021;11:54:45 AM;2.75;80.220;30.900;14745.000;12.700;0.000
8/19/2021;11:55:00 AM;3.00;80.930;30.800;14742.000;12.700;0.000
8/19/2021;11:55:15 AM;3.25;80.120;30.920;14735.000;12.700;0.000
8/19/2021;11:55:30 AM;3.50;80.670;30.840;14741.000;12.700;0.000
8/19/2021;11:55:45 AM;3.75;80.310;30.890;14742.000;12.700;0.000
8/19/2021;11:56:00 AM;4.00;80.570;30.850;14733.000;12.700;0.000
8/19/2021;11:56:15 AM;4.25;80.720;30.830;14755.000;12.700;0.000
8/19/2021;11:56:30 AM;4.50;80.550;30.850;14763.000;12.700;0.000
8/19/2021;11:56:45 AM;4.75;80.160;30.910;14757.000;12.700;0.000
8/19/2021;11:57:00 AM;5.00;80.700;30.830;14742.000;12.700;0.000
8/19/2021;11:57:15 AM;5.25;80.700;30.830;14752.000;12.700;0.000
8/19/2021;11:57:30 AM;5.50;80.230;30.900;14760.000;12.700;0.000
8/19/2021;11:57:45 AM;5.75;80.410;30.870;14716.000;12.700;0.000
8/19/2021;11:58:00 AM;6.00;80.290;30.890;14761.000;12.700;0.000
8/19/2021;11:58:15 AM;6.25;80.070;30.920;14732.000;12.700;0.000
8/19/2021;11:58:30 AM;6.50;80.400;30.880;14774.000;12.700;0.000
8/19/2021;11:58:45 AM;6.75;80.660;30.840;14743.000;12.700;0.000
8/19/2021;11:59:00 AM;7.00;79.230;31.040;14750.000;12.700;0.000
8/19/2021;11:59:15 AM;7.25;80.250;30.900;14782.000;12.700;0.000
8/19/2021;11:59:30 AM;7.50;80.440;30.870;14799.000;12.700;0.000
8/19/2021;11:59:45 AM;7.75;80.270;30.890;14792.000;12.700;0.000
8/19/2021;12:00:00 PM;8.00;80.200;30.900;14779.000;12.700;0.000
8/19/2021;12:00:15 PM;8.25;80.340;30.880;14771.000;12.700;0.000
8/19/2021;12:00:30 PM;8.50;79.800;30.960;14792.000;12.700;0.000
8/19/2021;12:00:45 PM;8.75;79.960;30.940;14787.000;12.700;0.000
8/19/2021;12:01:00 PM;9.00;79.940;30.940;14818.000;12.700;0.000
8/19/2021;12:01:15 PM;9.25;79.580;30.990;14830.000;12.700;0.000
8/19/2021;12:01:30 PM;9.50;79.700;30.980;14831.000;12.700;0.000
8/19/2021;12:01:45 PM;9.75;79.740;30.970;14800.000;12.700;0.000
8/19/2021;12:02:00 PM;10.00;79.010;31.070;14865.000;12.700;0.000
8/19/2021;12:02:15 PM;10.24;79.200;31.050;14864.000;12.700;0.000
8/19/2021;12:02:30 PM;10.50;80.120;30.920;14812.000;12.700;0.000
8/19/2021;12:02:45 PM;10.75;79.370;31.020;14837.000;12.700;0.000
8/19/2021;12:03:00 PM;11.00;79.720;30.970;14838.000;12.700;0.000
8/19/2021;12:03:15 PM;11.25;80.090;30.920;14818.000;12.700;0.000
8/19/2021;12:03:30 PM;11.50;79.180;31.050;14857.000;12.700;0.000
8/19/2021;12:03:45 PM;11.75;78.950;31.080;14851.000;12.700;0.000
8/19/2021;12:04:00 PM;12.00;79.190;31.050;14853.000;12.700;0.000
8/19/2021;12:04:15 PM;12.25;79.230;31.040;14874.000;12.700;0.000
8/19/2021;12:04:30 PM;12.50;79.040;31.070;14868.000;12.700;0.000
8/19/2021;12:04:45 PM;12.75;78.850;31.100;14883.000;12.700;0.000
8/19/2021;12:05:00 PM;13.00;79.230;31.040;14885.000;12.700;0.000
8/19/2021;12:05:15 PM;13.25;78.840;31.100;14893.000;12.700;0.000
8/19/2021;12:05:30 PM;13.50;78.660;31.120;14875.000;12.700;0.000
8/19/2021;12:05:45 PM;13.75;78.580;31.140;14921.000;12.700;0.000
8/19/2021;12:06:00 PM;14.00;79.390;31.020;14892.000;12.700;0.000
8/19/2021;12:06:15 PM;14.25;78.500;31.150;14913.000;12.700;0.000
8/19/2021;12:06:30 PM;14.50;79.020;31.070;14886.000;12.700;0.000
8/19/2021;12:06:45 PM;14.75;78.230;31.190;14900.000;12.700;0.000
8/19/2021;12:07:00 PM;15.00;78.460;31.150;14893.000;12.700;0.000
8/19/2021;12:07:15 PM;15.25;78.330;31.170;14893.000;12.700;0.000
8/19/2021;12:07:30 PM;15.50;78.750;31.110;14900.000;12.700;0.000
8/19/2021;12:07:45 PM;15.75;78.580;31.140;14915.000;12.700;0.000
8/19/2021;12:08:00 PM;16.00;78.020;31.220;14937.000;12.700;0.000
8/19/2021;12:08:15 PM;16.25;78.630;31.130;14924.000;12.700;0.000
8/19/2021;12:08:30 PM;16.50;78.700;31.120;14893.000;12.700;0.000
8/19/2021;12:08:45 PM;16.75;78.370;31.170;14925.000;12.700;0.000
8/19/2021;12:09:00 PM;17.00;78.310;31.180;14927.000;12.700;0.000
8/19/2021;12:09:15 PM;17.25;78.490;31.150;14911.000;12.700;0.000
8/19/2021;12:09:30 PM;17.50;77.730;31.260;14995.000;12.700;0.000
8/19/2021;12:09:45 PM;17.75;78.510;31.150;14943.000;12.700;0.000
8/19/2021;12:10:00 PM;18.00;78.260;31.180;14946.000;12.700;0.000
8/19/2021;12:10:15 PM;18.25;78.160;31.200;14934.000;12.700;0.000
8/19/2021;12:10:30 PM;18.50;78.260;31.180;14937.000;12.700;0.000
8/19/2021;12:10:45 PM;18.75;78.210;31.190;14967.000;12.700;0.000
8/19/2021;12:11:00 PM;19.00;77.760;31.260;14969.000;12.700;0.000
8/19/2021;12:11:15 PM;19.25;78.030;31.220;14980.000;12.700;0.000
8/19/2021;12:11:30 PM;19.50;76.530;31.440;15057.000;12.700;0.000
8/19/2021;12:11:45 PM;19.75;77.430;31.300;15046.000;12.700;0.000
8/19/2021;12:12:00 PM;20.00;77.440;31.300;15066.000;12.700;0.000
8/19/2021;12:12:15 PM;20.25;76.730;31.410;15050.000;12.700;0.000
8/19/2021;12:12:30 PM;20.50;77.100;31.350;15003.000;12.700;0.000
