8/10/2021/7:05 PM SW ver:OXY4v2_30
Header Ch-4
Description: 
IDENTIFICATION
PHIboard number   : v1230972
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 077
Ref LED amplitude : 98019
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.33 at 013.7°C amp 069600
100.00%a.s.phase 2: 28.39 at 013.1°C amp 025100
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/10/2021;7:05:14 PM;0.00;99.900;28.400;25188.000;13.100;0.000
8/10/2021;7:05:15 PM;0.04;100.430;28.340;25211.000;13.100;0.000
8/10/2021;7:05:16 PM;0.05;100.040;28.390;25195.000;13.100;0.000
8/10/2021;7:05:17 PM;0.07;100.000;28.390;25180.000;13.100;0.000
8/10/2021;7:05:23 PM;0.17;100.480;28.340;25211.000;13.100;0.000
8/10/2021;7:05:38 PM;0.42;97.320;28.690;26188.000;13.100;0.000
8/10/2021;7:05:53 PM;0.67;91.100;29.410;27154.000;13.100;0.000
8/10/2021;7:06:08 PM;0.92;89.580;29.600;27277.000;13.100;0.000
8/10/2021;7:06:23 PM;1.17;88.290;29.760;27396.000;13.100;0.000
8/10/2021;7:06:38 PM;1.42;87.740;29.830;27429.000;13.100;0.000
8/10/2021;7:06:53 PM;1.67;87.800;29.820;27457.000;13.100;0.000
8/10/2021;7:07:08 PM;1.92;94.040;29.060;30753.000;13.100;0.000
8/10/2021;7:07:23 PM;2.17;96.030;28.830;24558.000;13.100;0.000
8/10/2021;7:07:38 PM;2.42;90.320;29.510;25396.000;13.100;0.000
