8/18/2021/9:04 AM SW ver:OXY4v2_30
Header Ch-2
Description: 
IDENTIFICATION
PHIboard number   : v1230970
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 102887
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.21 at 014.4°C amp 024000
100.00%a.s.phase 2: 28.33 at 013.3°C amp 013100
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/18/2021;9:04:30 AM;0.00;87.970;29.740;14053.000;13.300;0.000
8/18/2021;9:04:43 AM;0.23;88.500;29.710;14069.000;13.100;0.000
8/18/2021;9:04:58 AM;0.48;88.720;29.690;14071.000;13.100;0.000
8/18/2021;9:05:13 AM;0.73;88.580;29.700;14065.000;13.100;0.000
8/18/2021;9:05:28 AM;0.98;87.870;29.790;14099.000;13.100;0.000
8/18/2021;9:05:43 AM;1.23;88.640;29.700;14159.000;13.100;0.000
8/18/2021;9:05:58 AM;1.48;88.000;29.780;14094.000;13.100;0.000
8/18/2021;9:06:13 AM;1.73;87.970;29.780;14075.000;13.100;0.000
8/18/2021;9:06:28 AM;1.98;87.610;29.830;14087.000;13.100;0.000
8/18/2021;9:06:43 AM;2.23;86.890;29.920;14175.000;13.100;0.000
8/18/2021;9:06:58 AM;2.48;87.060;29.900;14188.000;13.100;0.000
8/18/2021;9:07:13 AM;2.73;87.770;29.810;14194.000;13.100;0.000
8/18/2021;9:07:28 AM;2.98;86.570;29.960;14176.000;13.100;0.000
8/18/2021;9:07:43 AM;3.23;87.040;29.900;14193.000;13.100;0.000
8/18/2021;9:07:58 AM;3.48;87.300;29.870;14128.000;13.100;0.000
8/18/2021;9:08:13 AM;3.73;87.680;29.820;14082.000;13.100;0.000
8/18/2021;9:08:28 AM;3.98;87.590;29.830;14066.000;13.100;0.000
8/18/2021;9:08:43 AM;4.23;88.130;29.760;14093.000;13.100;0.000
8/18/2021;9:08:58 AM;4.48;87.510;29.840;14074.000;13.100;0.000
8/18/2021;9:09:13 AM;4.73;87.930;29.790;14064.000;13.100;0.000
8/18/2021;9:09:28 AM;4.98;87.220;29.880;14068.000;13.100;0.000
8/18/2021;9:09:43 AM;5.23;88.300;29.740;14091.000;13.100;0.000
8/18/2021;9:09:58 AM;5.48;87.420;29.850;14084.000;13.100;0.000
8/18/2021;9:10:13 AM;5.73;87.600;29.830;14094.000;13.100;0.000
8/18/2021;9:10:28 AM;5.98;87.050;29.900;14126.000;13.100;0.000
8/18/2021;9:10:43 AM;6.23;87.290;29.870;14119.000;13.100;0.000
8/18/2021;9:10:58 AM;6.48;86.740;29.940;14120.000;13.100;0.000
8/18/2021;9:11:13 AM;6.73;87.890;29.790;14114.000;13.100;0.000
8/18/2021;9:11:28 AM;6.98;87.350;29.860;14138.000;13.100;0.000
8/18/2021;9:11:43 AM;7.23;87.430;29.850;14131.000;13.100;0.000
8/18/2021;9:11:58 AM;7.48;87.360;29.860;14116.000;13.100;0.000
8/18/2021;9:12:13 AM;7.73;88.120;29.760;14161.000;13.100;0.000
8/18/2021;9:12:28 AM;7.98;87.540;29.840;14138.000;13.100;0.000
8/18/2021;9:12:43 AM;8.23;87.090;29.890;14149.000;13.100;0.000
8/18/2021;9:12:58 AM;8.48;87.280;29.870;14125.000;13.100;0.000
8/18/2021;9:13:13 AM;8.73;87.370;29.860;14157.000;13.100;0.000
8/18/2021;9:13:28 AM;8.98;87.090;29.890;14137.000;13.100;0.000
8/18/2021;9:13:43 AM;9.23;87.450;29.850;14137.000;13.100;0.000
8/18/2021;9:13:58 AM;9.48;87.670;29.820;14157.000;13.100;0.000
8/18/2021;9:14:13 AM;9.73;87.230;29.880;14161.000;13.100;0.000
8/18/2021;9:14:28 AM;9.98;87.480;29.840;14143.000;13.100;0.000
8/18/2021;9:14:43 AM;10.23;86.930;29.910;14131.000;13.100;0.000
8/18/2021;9:14:58 AM;10.48;86.940;29.910;14155.000;13.100;0.000
8/18/2021;9:15:13 AM;10.73;87.340;29.860;14187.000;13.100;0.000
8/18/2021;9:15:28 AM;10.98;86.910;29.920;14137.000;13.100;0.000
8/18/2021;9:15:43 AM;11.23;87.310;29.870;14167.000;13.100;0.000
8/18/2021;9:15:58 AM;11.48;87.940;29.790;14160.000;13.100;0.000
8/18/2021;9:16:13 AM;11.73;87.330;29.860;14160.000;13.100;0.000
8/18/2021;9:16:28 AM;11.98;87.050;29.900;14142.000;13.100;0.000
8/18/2021;9:16:43 AM;12.23;88.150;29.760;14144.000;13.100;0.000
8/18/2021;9:16:58 AM;12.48;87.630;29.820;14118.000;13.100;0.000
8/18/2021;9:17:13 AM;12.73;88.110;29.760;14149.000;13.100;0.000
8/18/2021;9:17:28 AM;12.98;87.880;29.790;14127.000;13.100;0.000
8/18/2021;9:17:43 AM;13.23;87.700;29.820;14138.000;13.100;0.000
8/18/2021;9:17:58 AM;13.48;87.340;29.860;14150.000;13.100;0.000
8/18/2021;9:18:13 AM;13.73;87.610;29.830;14146.000;13.100;0.000
8/18/2021;9:18:28 AM;13.98;87.740;29.810;14137.000;13.100;0.000
8/18/2021;9:18:43 AM;14.23;87.500;29.840;14130.000;13.100;0.000
8/18/2021;9:18:58 AM;14.48;87.550;29.830;14154.000;13.100;0.000
8/18/2021;9:19:13 AM;14.73;87.550;29.830;14162.000;13.100;0.000
8/18/2021;9:19:28 AM;14.98;87.880;29.790;14162.000;13.100;0.000
8/18/2021;9:19:43 AM;15.23;87.630;29.830;14145.000;13.100;0.000
8/18/2021;9:19:58 AM;15.48;86.820;29.930;14151.000;13.100;0.000
8/18/2021;9:20:13 AM;15.73;87.530;29.840;14165.000;13.100;0.000
8/18/2021;9:20:28 AM;15.98;87.520;29.840;14167.000;13.100;0.000
8/18/2021;9:20:43 AM;16.23;86.550;29.960;14137.000;13.100;0.000
8/18/2021;9:20:58 AM;16.48;87.580;29.830;14143.000;13.100;0.000
8/18/2021;9:21:13 AM;16.73;88.240;29.750;14154.000;13.100;0.000
8/18/2021;9:21:28 AM;16.98;87.060;29.900;14124.000;13.100;0.000
8/18/2021;9:21:43 AM;17.23;87.870;29.790;14164.000;13.100;0.000
8/18/2021;9:21:58 AM;17.48;87.410;29.850;14139.000;13.100;0.000
8/18/2021;9:22:13 AM;17.73;87.150;29.890;14151.000;13.100;0.000
8/18/2021;9:22:28 AM;17.98;87.540;29.840;14150.000;13.100;0.000
8/18/2021;9:22:43 AM;18.23;86.860;29.920;14138.000;13.100;0.000
8/18/2021;9:22:58 AM;18.48;87.240;29.870;14150.000;13.100;0.000
8/18/2021;9:23:13 AM;18.73;87.070;29.900;14134.000;13.100;0.000
8/18/2021;9:23:28 AM;18.98;86.950;29.910;14152.000;13.100;0.000
8/18/2021;9:23:43 AM;19.23;87.860;29.800;14131.000;13.100;0.000
8/18/2021;9:23:58 AM;19.48;88.010;29.780;14143.000;13.100;0.000
8/18/2021;9:24:13 AM;19.73;87.590;29.830;14138.000;13.100;0.000
8/18/2021;9:24:28 AM;19.98;87.880;29.790;14145.000;13.100;0.000
8/18/2021;9:24:43 AM;20.23;87.220;29.880;14139.000;13.100;0.000
8/18/2021;9:24:58 AM;20.48;87.130;29.890;14156.000;13.100;0.000
8/18/2021;9:25:13 AM;20.73;87.020;29.900;14153.000;13.100;0.000
8/18/2021;9:25:28 AM;20.98;86.530;29.970;14164.000;13.100;0.000
8/18/2021;9:25:43 AM;21.23;87.330;29.860;14160.000;13.100;0.000
8/18/2021;9:25:58 AM;21.48;87.800;29.800;14175.000;13.100;0.000
8/18/2021;9:26:13 AM;21.73;86.950;29.910;14168.000;13.100;0.000
8/18/2021;9:26:28 AM;21.98;87.200;29.880;14168.000;13.100;0.000
8/18/2021;9:26:43 AM;22.23;86.270;30.000;14151.000;13.100;0.000
8/18/2021;9:26:58 AM;22.48;87.040;29.900;14167.000;13.100;0.000
8/18/2021;9:27:13 AM;22.73;87.300;29.870;14163.000;13.100;0.000
8/18/2021;9:27:28 AM;22.98;87.430;29.850;14175.000;13.100;0.000
