8/20/2021/8:15 AM SW ver:OXY4v2_30
Header Ch-3
Description: 
IDENTIFICATION
PHIboard number   : v1230971
PM number         : 00000000
Serial number     : S DLD 0001 000056   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 064
Ref LED amplitude : 104101
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.92 at 014.4°C amp 006000
100.00%a.s.phase 2: 27.73 at 013.3°C amp 002500
Date   (ddmmyy)   : 111216
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C;Error
8/20/2021;8:15:37 AM;0.00;85.500;29.550;1594.000;12.700;0.000
8/20/2021;8:15:38 AM;0.02;84.090;29.730;1600.000;12.700;0.000
8/20/2021;8:15:40 AM;0.05;87.340;29.310;1582.000;12.700;0.000
8/20/2021;8:15:46 AM;0.15;83.890;29.760;1587.000;12.700;0.000
8/20/2021;8:16:01 AM;0.40;85.990;29.480;1583.000;12.700;0.000
8/20/2021;8:16:16 AM;0.65;86.970;29.360;1585.000;12.700;0.000
8/20/2021;8:16:31 AM;0.90;87.120;29.340;1566.000;12.700;0.000
8/20/2021;8:16:46 AM;1.15;84.030;29.740;1568.000;12.700;0.000
8/20/2021;8:17:01 AM;1.40;86.110;29.470;1521.000;12.700;0.000
8/20/2021;8:17:15 AM;1.65;85.500;29.550;1537.000;12.700;0.000
8/20/2021;8:17:31 AM;1.90;84.900;29.630;1486.000;12.700;0.000
8/20/2021;8:17:46 AM;2.15;83.520;29.810;1468.000;12.700;0.000
8/20/2021;8:18:01 AM;2.40;90.030;28.980;1465.000;12.700;0.000
8/20/2021;8:18:16 AM;2.65;88.850;29.120;1454.000;12.700;0.000
8/20/2021;8:18:31 AM;2.90;85.400;29.560;1444.000;12.700;0.000
8/20/2021;8:18:46 AM;3.15;85.490;29.550;1436.000;12.700;0.000
8/20/2021;8:19:01 AM;3.40;87.830;29.250;1430.000;12.700;0.000
8/20/2021;8:19:16 AM;3.65;84.370;29.700;1438.000;12.700;0.000
8/20/2021;8:19:31 AM;3.90;88.890;29.120;1445.000;12.700;0.000
8/20/2021;8:19:46 AM;4.15;85.940;29.490;1449.000;12.700;0.000
8/20/2021;8:20:01 AM;4.40;88.360;29.180;1435.000;12.700;0.000
8/20/2021;8:20:16 AM;4.65;85.170;29.590;1444.000;12.700;0.000
8/20/2021;8:20:31 AM;4.90;86.800;29.380;1451.000;12.700;0.000
8/20/2021;8:20:46 AM;5.15;92.200;28.720;1444.000;12.700;0.000
8/20/2021;8:21:01 AM;5.40;87.040;29.350;1449.000;12.700;0.000
8/20/2021;8:21:16 AM;5.65;85.570;29.540;1450.000;12.700;0.000
8/20/2021;8:21:31 AM;5.90;88.760;29.130;1454.000;12.700;0.000
8/20/2021;8:21:46 AM;6.15;87.250;29.320;1450.000;12.700;0.000
8/20/2021;8:22:01 AM;6.40;83.850;29.760;1455.000;12.700;0.000
8/20/2021;8:22:16 AM;6.65;89.280;29.070;1445.000;12.700;0.000
8/20/2021;8:22:31 AM;6.90;88.210;29.200;1447.000;12.700;0.000
8/20/2021;8:22:46 AM;7.15;87.980;29.230;1449.000;12.700;0.000
8/20/2021;8:23:01 AM;7.40;83.560;29.800;1445.000;12.700;0.000
8/20/2021;8:23:16 AM;7.65;87.270;29.320;1444.000;12.700;0.000
8/20/2021;8:23:31 AM;7.90;87.070;29.350;1455.000;12.700;0.000
8/20/2021;8:23:46 AM;8.15;87.870;29.250;1449.000;12.700;0.000
8/20/2021;8:24:00 AM;8.40;87.700;29.270;1449.000;12.700;0.000
