
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.009	16.525	1014	100.000	20.950	50.221	21.458	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.003	16.521	1015	100.000	20.950	51.696	22.200	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.993	16.428	1014	100.000	20.950	50.212	21.551	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.986	16.441	1014	100.000	20.950	49.598	21.172	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/30/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/30/2021	14:28:52	0.00		247.59	206.53	249.94	172.72	13.495	13.495	13.495	13.495	1013.73	68.729	13.495	---	---	22.752	25.668	22.731	26.484	93.802	115.250	66.697	125.626	5.601	6.087	4.874	6.743	
7/30/2021	14:29:07	15.00		247.47	207.05	249.80	174.43	13.478	13.478	13.478	13.478	1013.68	68.699	13.478	---	---	22.763	25.644	22.743	26.379	93.955	115.170	66.691	125.074	5.604	6.071	4.923	6.779	
7/30/2021	14:29:22	30.00		247.86	206.96	249.75	173.06	13.477	13.477	13.477	13.477	1013.67	68.600	13.477	---	---	22.746	25.649	22.745	26.469	94.089	115.132	66.680	125.456	5.588	6.055	4.942	6.805	
7/30/2021	14:29:37	45.00		247.51	206.60	249.85	172.44	13.479	13.479	13.479	13.479	1013.72	68.582	13.479	---	---	22.761	25.669	22.740	26.509	94.014	115.194	66.651	125.710	5.541	6.056	4.913	6.767	
7/30/2021	14:29:52	60.00		248.28	206.83	249.67	171.06	13.470	13.470	13.470	13.470	1013.71	68.508	13.470	---	---	22.729	25.659	22.751	26.602	93.980	115.261	66.644	126.126	5.614	6.086	4.954	6.821	
7/30/2021	14:30:07	75.00		248.25	206.69	250.03	168.16	13.475	13.475	13.475	13.475	1013.69	68.445	13.475	---	---	22.729	25.665	22.733	26.794	93.915	115.315	66.646	127.184	5.600	6.086	4.927	6.936	
7/30/2021	14:30:22	90.00		247.85	206.60	250.61	167.53	13.466	13.466	13.466	13.466	1013.72	68.485	13.466	---	---	22.750	25.674	22.711	26.840	93.981	115.331	66.625	127.439	5.619	6.068	4.920	7.008	
7/30/2021	14:30:37	105.00		247.94	206.50	250.63	170.40	13.465	13.465	13.465	13.465	1013.71	68.485	13.465	---	---	22.747	25.680	22.710	26.648	93.942	115.349	66.620	126.339	5.611	6.050	4.945	7.004	
7/30/2021	14:30:52	120.00		248.45	206.65	250.79	170.25	13.454	13.454	13.454	13.454	1013.70	68.485	13.454	---	---	22.727	25.675	22.707	26.662	93.941	115.354	66.617	126.405	5.581	6.060	4.974	7.099	
7/30/2021	14:31:07	135.00		248.44	206.13	250.57	171.55	13.457	13.457	13.457	13.457	1013.72	68.508	13.457	---	---	22.727	25.704	22.715	26.575	93.906	115.387	66.610	125.930	5.603	6.069	4.944	6.996	
7/30/2021	14:31:22	150.00		248.24	206.24	250.53	170.98	13.451	13.451	13.451	13.451	1013.73	68.485	13.451	---	---	22.738	25.700	22.719	26.614	93.892	115.449	66.641	126.102	5.599	6.087	4.931	6.963	
7/30/2021	14:31:37	165.00		248.51	206.15	250.84	173.13	13.451	13.451	13.451	13.451	1013.76	68.455	13.451	---	---	22.726	25.705	22.706	26.473	89.698	115.529	66.483	125.341	5.613	6.065	4.939	6.706	
7/30/2021	14:31:52	180.00		247.78	205.51	250.91	174.99	13.456	13.456	13.456	13.456	1013.74	68.416	13.456	---	---	22.757	25.740	22.701	26.350	93.941	115.636	66.495	124.638	5.609	6.073	4.914	6.734	
7/30/2021	14:32:07	195.00		247.80	205.25	250.34	176.22	13.474	13.474	13.474	13.474	1013.70	68.401	13.474	---	---	22.750	25.748	22.720	26.265	93.941	115.763	66.556	124.185	5.613	6.069	4.949	6.739	
7/30/2021	14:32:22	210.00		248.44	204.88	249.92	176.42	13.479	13.479	13.479	13.479	1013.70	68.348	13.479	---	---	22.719	25.767	22.737	26.250	93.895	115.809	66.545	124.024	5.609	6.048	4.967	6.714	
