
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.411	13.574	1016	100.000	20.950	50.428	21.912	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.372	13.576	1016	100.000	20.950	51.929	22.670	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.419	13.578	1016	100.000	20.950	51.258	22.544	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	16.401	13.575	1016	100.000	20.950	49.151	21.227	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/11/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/11/2021	15:38:37	0.00		231.71	206.49	227.59	210.90	13.395	13.395	13.395	13.395	1013.80	62.870	13.395	---	---	23.706	25.883	24.585	24.012	110.325	117.678	83.998	97.188	5.511	5.954	4.872	6.194	
8/11/2021	15:38:52	15.00		229.17	200.98	225.18	206.44	13.813	13.813	13.813	13.813	1013.74	62.855	13.813	---	---	23.686	26.051	24.560	24.107	111.051	118.567	85.186	95.565	5.633	6.020	4.960	6.125	
8/11/2021	15:39:07	30.00		230.67	203.87	226.92	207.37	13.609	13.609	13.609	13.609	1013.79	62.855	13.609	---	---	23.683	25.956	24.542	24.126	110.891	118.086	86.451	96.673	5.444	5.905	4.874	6.113	
8/11/2021	15:39:22	45.00		230.98	204.97	223.87	205.00	13.577	13.577	13.577	13.577	1013.77	62.870	13.577	---	---	23.679	25.904	24.712	24.265	113.186	117.176	89.546	85.142	5.496	6.010	4.830	6.165	
8/11/2021	15:39:37	60.00		230.38	201.32	213.32	205.18	13.607	13.607	13.607	13.607	1013.83	62.855	13.607	---	---	23.698	26.106	25.262	24.245	112.704	118.506	92.753	97.057	5.623	6.062	4.933	6.261	
8/11/2021	15:39:52	75.00		230.50	207.62	211.95	207.38	13.591	13.591	13.591	13.591	1013.78	62.855	13.591	---	---	23.697	25.748	25.342	24.132	112.553	116.788	92.686	97.281	5.671	6.042	4.951	6.272	
8/11/2021	15:40:07	90.00		230.62	211.43	209.94	209.21	13.592	13.592	13.592	13.592	1013.80	62.834	13.592	---	---	23.691	25.532	25.453	24.034	122.700	116.191	94.065	96.108	5.408	5.903	4.822	5.975	
8/11/2021	15:40:22	105.00		231.17	212.50	209.33	210.03	13.550	13.550	13.550	13.550	1013.77	62.845	13.550	---	---	23.679	25.487	25.502	24.004	119.618	116.136	95.827	97.970	5.636	6.042	4.924	6.225	
8/11/2021	15:40:37	120.00		214.93	216.32	210.93	211.28	13.331	13.331	13.331	13.331	1013.76	62.855	13.331	---	---	24.585	25.357	25.492	24.013	117.529	115.594	95.782	100.207	5.450	5.921	4.825	6.205	
8/11/2021	15:40:52	135.00		217.93	215.96	211.90	212.11	13.279	13.279	13.279	13.279	1013.75	62.824	13.279	---	---	24.445	25.396	25.457	23.988	116.701	115.819	95.620	100.281	5.588	6.041	4.967	6.281	
8/11/2021	15:41:07	150.00		219.25	216.99	212.37	211.95	13.255	13.255	13.255	13.255	1013.70	62.824	13.255	---	---	24.385	25.348	25.440	24.004	116.469	115.533	95.545	100.351	5.545	5.969	4.874	6.084	
8/11/2021	15:41:22	165.00		220.34	217.49	212.45	211.85	13.245	13.245	13.245	13.245	1013.71	62.845	13.245	---	---	24.331	25.324	25.439	24.013	116.081	115.403	95.564	100.388	5.513	5.985	4.808	6.181	
8/11/2021	15:41:37	180.00		220.50	217.01	212.97	211.86	13.233	13.233	13.233	13.233	1013.74	62.855	13.233	---	---	24.327	25.355	25.415	24.017	116.036	115.625	95.532	100.394	5.527	6.020	4.926	6.209	
