
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.300	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	25.000	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.351	12.785	1019	100.000	20.950	48.583	21.802	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.441	12.796	1019	100.000	20.950	49.768	21.861	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/20/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/20/2021	19:49:42	0.00		241.62	230.77	---	---	12.491	12.491	---	---	1017.35	49.989	12.491	---	---	23.292	23.898	---	---	245.738	300.739	---	---	5.623	5.992	---	---	
7/20/2021	19:49:57	15.00		241.29	231.13	---	---	12.490	12.490	---	---	1017.31	49.999	12.490	---	---	23.307	23.881	---	---	245.686	300.525	---	---	5.602	6.020	---	---	
7/20/2021	19:50:12	30.00		241.23	229.71	---	---	12.494	12.494	---	---	1017.33	49.969	12.494	---	---	23.309	23.949	---	---	245.690	301.355	---	---	5.420	5.954	---	---	
7/20/2021	19:50:27	45.00		241.23	228.04	---	---	12.490	12.490	---	---	1017.40	49.969	12.490	---	---	23.310	24.032	---	---	245.731	302.607	---	---	5.683	6.057	---	---	
7/20/2021	19:50:42	60.00		241.02	226.05	---	---	12.492	12.492	---	---	1017.33	49.999	12.492	---	---	23.319	24.130	---	---	245.760	303.975	---	---	5.477	5.875	---	---	
7/20/2021	19:50:57	75.00		241.70	223.26	---	---	12.494	12.494	---	---	1017.34	49.999	12.494	---	---	23.287	24.269	---	---	247.047	301.751	---	---	5.864	6.049	---	---	
7/20/2021	19:51:12	90.00		241.85	220.17	---	---	12.493	12.493	---	---	1017.34	50.030	12.493	---	---	23.281	24.427	---	---	250.303	300.679	---	---	5.540	5.886	---	---	
7/20/2021	19:51:27	105.00		241.57	220.59	---	---	12.495	12.495	---	---	1017.31	50.053	12.495	---	---	23.293	24.404	---	---	250.322	300.444	---	---	5.577	6.037	---	---	
7/20/2021	19:51:42	120.00		241.57	219.95	---	---	12.501	12.501	---	---	1017.36	50.129	12.501	---	---	23.291	24.435	---	---	250.221	300.677	---	---	5.944	6.183	---	---	
7/20/2021	19:51:57	135.00		241.42	221.42	---	---	12.498	12.498	---	---	1017.31	50.167	12.498	---	---	23.299	24.361	---	---	248.277	296.238	---	---	5.389	5.962	---	---	
7/20/2021	19:52:12	150.00		241.43	223.84	---	---	12.501	12.501	---	---	1017.32	50.137	12.501	---	---	23.297	24.237	---	---	247.356	296.002	---	---	5.449	5.984	---	---	
7/20/2021	19:52:27	165.00		241.22	223.57	---	---	12.509	12.509	---	---	1017.33	50.147	12.509	---	---	23.304	24.248	---	---	246.457	295.952	---	---	5.618	6.046	---	---	
