
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.300	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	25.000	ON	1013	30.600	100%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.621	14.014	1015	100.000	20.950	49.133	22.274	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	13.646	13.944	1015	100.000	20.950	50.340	22.275	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/28/2021	
			 	Oxygen	Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/28/2021	08:43:09	0.00		251.84	222.23	---	---	12.467	12.467	---	---	1018.86	57.588	12.467	---	---	23.425	24.864	---	---	230.085	358.387	---	---	5.574	5.960	---	---	
7/28/2021	08:43:24	15.00		251.89	222.90	---	---	12.468	12.468	---	---	1018.84	57.578	12.468	---	---	23.423	24.828	---	---	230.102	357.621	---	---	5.571	5.991	---	---	
7/28/2021	08:43:39	30.00		251.71	223.13	---	---	12.469	12.469	---	---	1018.81	57.568	12.469	---	---	23.431	24.816	---	---	230.135	357.461	---	---	5.598	6.011	---	---	
7/28/2021	08:43:54	45.00		251.88	222.91	---	---	12.469	12.469	---	---	1018.82	57.537	12.469	---	---	23.423	24.828	---	---	230.056	357.623	---	---	5.581	5.987	---	---	
7/28/2021	08:44:09	60.00		251.78	222.71	---	---	12.471	12.471	---	---	1018.87	57.537	12.471	---	---	23.427	24.837	---	---	230.142	357.656	---	---	5.598	6.012	---	---	
7/28/2021	08:44:24	75.00		251.83	222.52	---	---	12.472	12.472	---	---	1018.87	57.547	12.472	---	---	23.424	24.847	---	---	230.185	357.841	---	---	5.597	5.999	---	---	
7/28/2021	08:44:39	90.00		251.86	222.41	---	---	12.471	12.471	---	---	1018.83	57.537	12.471	---	---	23.423	24.852	---	---	230.142	357.988	---	---	5.540	5.989	---	---	
7/28/2021	08:44:54	105.00		251.85	222.36	---	---	12.471	12.471	---	---	1018.88	57.537	12.471	---	---	23.424	24.855	---	---	230.132	358.139	---	---	5.576	5.989	---	---	
7/28/2021	08:45:09	120.00		251.85	222.29	---	---	12.471	12.471	---	---	1018.89	57.537	12.471	---	---	23.424	24.859	---	---	230.134	358.152	---	---	5.583	5.987	---	---	
7/28/2021	08:45:24	135.00		251.83	223.10	---	---	12.473	12.473	---	---	1018.90	57.537	12.473	---	---	23.424	24.816	---	---	230.211	357.359	---	---	5.600	5.997	---	---	
7/28/2021	08:45:39	150.00		251.77	223.82	---	---	12.473	12.473	---	---	1018.87	57.547	12.473	---	---	23.426	24.780	---	---	230.206	356.762	---	---	5.578	6.015	---	---	
7/28/2021	08:45:54	165.00		251.92	224.54	---	---	12.475	12.475	---	---	1018.86	57.568	12.475	---	---	23.419	24.742	---	---	230.220	356.360	---	---	5.544	6.007	---	---	
