
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.514	14.339	1020	100.000	20.950	50.466	21.982	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	15.267	14.224	1020	100.000	20.950	51.919	22.715	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.993	16.428	1014	100.000	20.950	50.212	21.551	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.986	16.441	1014	100.000	20.950	49.598	21.172	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	8/3/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/3/2021	08:30:09	0.00		243.82	243.39	---	---	13.432	13.432	13.432	13.432	1017.39	59.132	13.432	---	---	23.318	24.102	-59.418	178.167	102.203	110.317	2.846	2.687	5.778	6.083	13.924	15.881	
8/3/2021	08:30:24	15.00		243.65	242.93	---	---	13.433	13.433	13.433	13.433	1017.42	59.132	13.433	---	---	23.325	24.123	-59.658	178.891	102.537	110.431	2.821	2.688	5.865	6.098	13.616	15.569	
8/3/2021	08:30:39	30.00		243.13	242.72	---	---	13.434	13.434	13.434	13.434	1017.43	59.132	13.434	---	---	23.349	24.133	-179.358	59.014	102.499	110.690	2.898	2.679	4.937	5.800	13.911	16.658	
8/3/2021	08:30:54	45.00		243.11	242.49	---	---	13.437	13.437	13.437	13.437	1017.46	59.132	13.437	---	---	23.349	24.143	-179.766	178.755	102.602	110.868	2.867	2.701	5.294	5.853	13.752	15.742	
8/3/2021	08:31:09	60.00		242.57	241.26	---	---	13.440	13.440	13.440	13.440	1017.39	59.132	13.440	---	---	23.373	24.201	-59.894	178.666	102.681	111.052	2.865	2.736	5.802	6.134	13.929	15.393	
8/3/2021	08:31:24	75.00		241.81	240.42	---	---	13.444	13.444	13.444	13.444	1017.47	59.132	13.444	---	---	23.407	24.241	-59.920	178.857	102.796	111.314	2.871	2.730	5.352	5.829	13.500	15.838	
8/3/2021	08:31:39	90.00		241.40	236.72	---	---	13.450	13.450	13.450	13.450	1017.47	59.132	13.450	---	---	23.424	24.420	-59.956	178.066	102.709	112.379	2.846	2.702	5.397	5.867	13.408	15.690	
8/3/2021	08:32:24	135.00		239.24	238.57	---	---	13.461	13.461	13.461	13.461	1017.43	59.132	13.461	---	---	23.522	24.325	60.215	59.530	103.024	111.756	2.854	2.729	6.017	6.288	13.844	15.869	
8/3/2021	08:32:39	150.00		238.20	238.32	---	---	13.465	13.465	13.465	13.465	1017.40	59.132	13.465	---	---	23.570	24.336	-178.997	178.731	103.450	111.811	2.883	2.699	5.390	5.894	13.563	15.461	
8/3/2021	08:32:54	165.00		238.22	238.14	---	---	13.466	13.466	13.466	13.466	1017.40	59.132	13.466	---	---	23.569	24.344	-59.598	177.947	103.377	112.118	2.849	2.756	5.574	5.923	13.744	15.450	
8/3/2021	08:33:09	180.00		238.96	237.98	---	---	13.470	13.470	13.470	13.470	1017.48	59.132	13.470	---	---	23.532	24.351	179.445	179.028	103.302	112.234	2.838	2.734	5.870	5.994	13.785	15.683	
8/3/2021	08:33:24	195.00		238.08	237.49	---	---	13.466	13.466	13.466	13.466	1017.43	59.132	13.466	---	---	23.576	24.376	-59.540	177.926	103.314	112.322	2.877	2.728	6.024	6.272	14.020	15.592	
8/3/2021	08:33:39	210.00		238.38	237.20	---	---	13.467	13.467	13.467	13.467	1017.45	59.132	13.467	---	---	23.561	24.390	-179.204	58.471	103.419	112.440	2.849	2.710	6.090	6.291	14.003	15.654	
8/3/2021	08:33:54	225.00		237.90	236.55	---	---	13.464	13.464	13.464	13.464	1017.50	59.132	13.464	---	---	23.585	24.423	-179.270	178.953	103.470	112.563	2.876	2.761	5.468	5.949	13.766	15.913	
8/3/2021	08:34:09	240.00		236.92	235.35	---	---	13.468	13.468	13.468	13.468	1017.45	59.112	13.468	---	---	23.630	24.481	59.896	178.442	103.514	112.932	2.856	2.704	5.844	6.230	13.916	15.225	
8/3/2021	08:34:24	255.00		236.87	234.31	---	---	13.463	13.463	13.463	13.463	1017.47	59.112	13.463	---	---	23.634	24.535	-60.031	178.524	103.681	113.198	2.863	2.715	6.085	6.285	13.816	15.246	
8/3/2021	08:34:39	270.00		235.98	233.80	---	---	13.466	13.466	13.466	13.466	1017.47	59.132	13.466	---	---	23.676	24.559	-59.729	179.145	103.802	113.292	2.876	2.738	6.036	6.127	13.668	15.350	
8/3/2021	08:34:54	285.00		235.51	234.16	---	---	13.464	13.464	13.464	13.464	1017.43	59.132	13.464	---	---	23.699	24.542	-59.680	179.038	103.961	113.263	2.859	2.685	5.621	6.034	13.840	16.090	
8/3/2021	08:35:09	300.00		234.63	234.08	---	---	13.461	13.461	13.461	13.461	1017.40	59.132	13.461	---	---	23.743	24.548	-59.769	178.479	105.154	112.797	2.856	2.695	5.235	5.907	13.879	15.864	
8/3/2021	08:35:24	315.00		234.30	233.18	---	---	13.466	13.466	13.466	13.466	1017.51	59.132	13.466	---	---	23.757	24.590	179.785	59.065	104.589	113.417	2.897	2.688	5.607	6.205	13.809	15.835	
8/3/2021	08:35:39	330.00		232.84	233.11	---	---	13.459	13.459	13.459	13.459	1017.43	59.132	13.459	---	---	23.830	24.597	-59.622	-60.448	104.620	113.506	2.846	2.766	5.414	5.860	13.421	15.361	
8/3/2021	08:35:54	345.00		233.58	232.71	---	---	13.458	13.458	13.458	13.458	1017.43	59.132	13.458	---	---	23.795	24.617	-59.354	178.267	104.555	113.659	2.880	2.692	5.690	5.950	13.579	15.576	
8/3/2021	08:36:09	360.00		232.64	232.09	---	---	13.451	13.451	13.451	13.451	1017.44	59.132	13.451	---	---	23.843	24.651	-59.551	59.560	104.642	113.799	2.831	2.742	5.759	6.105	13.830	15.855	
8/3/2021	08:36:24	375.00		232.75	231.64	---	---	13.452	13.452	13.452	13.452	1017.37	59.132	13.452	---	---	23.837	24.674	-59.745	178.532	104.721	113.843	2.836	2.690	5.699	6.087	13.953	15.773	
8/3/2021	08:36:39	390.00		231.71	231.35	---	---	13.445	13.445	13.445	13.445	1017.40	59.132	13.445	---	---	23.891	24.691	-179.555	179.115	104.729	113.914	2.874	2.696	4.908	5.711	13.395	16.060	
8/3/2021	08:36:54	405.00		231.78	231.28	---	---	13.451	13.451	13.451	13.451	1017.42	59.132	13.451	---	---	23.886	24.692	-179.101	178.285	104.591	113.928	2.842	2.720	5.325	6.044	13.685	15.516	
8/3/2021	08:37:09	420.00		231.30	230.74	---	---	13.452	13.452	13.452	13.452	1017.43	59.071	13.452	---	---	23.908	24.720	-59.757	178.486	104.544	113.463	2.851	2.726	5.279	5.742	13.546	16.126	
8/3/2021	08:37:24	435.00		231.75	230.49	---	---	13.451	13.451	13.451	13.451	1017.49	59.071	13.451	---	---	23.886	24.733	-179.596	178.364	104.946	113.934	2.903	2.699	5.365	5.764	13.921	15.839	
8/3/2021	08:37:39	450.00		230.22	229.75	---	---	13.453	13.453	13.453	13.453	1017.43	59.071	13.453	---	---	23.961	24.769	-59.318	178.315	105.001	114.044	2.888	2.684	5.562	5.858	13.486	15.652	
8/3/2021	08:37:54	465.00		231.00	229.81	---	---	13.450	13.450	13.450	13.450	1017.44	59.071	13.450	---	---	23.924	24.767	-179.598	179.375	105.023	114.181	2.866	2.675	5.709	6.029	13.686	15.759	
8/3/2021	08:38:09	480.00		231.28	229.75	---	---	13.453	13.453	13.453	13.453	1017.44	59.071	13.453	---	---	23.909	24.769	60.163	59.874	107.659	112.294	2.843	2.707	5.641	5.877	13.622	15.740	
8/3/2021	08:38:24	495.00		232.95	228.60	---	---	13.453	13.453	13.453	13.453	1017.49	59.071	13.453	---	---	23.827	24.828	60.004	178.208	112.194	109.148	2.846	2.755	5.405	5.950	13.960	15.530	
8/3/2021	08:38:39	510.00		254.41	229.23	---	---	13.457	13.457	13.457	13.457	1017.44	59.071	13.457	---	---	22.829	24.794	-59.284	178.387	104.578	112.708	2.843	2.722	5.355	5.845	13.571	15.631	
8/3/2021	08:38:54	525.00		230.63	229.59	---	---	13.467	13.467	13.467	13.467	1017.44	59.071	13.467	---	---	23.937	24.772	-59.441	178.823	104.956	113.116	2.902	2.762	5.349	5.836	13.947	16.233	
8/3/2021	08:39:09	540.00		228.25	231.35	---	---	13.470	13.470	13.470	13.470	1017.48	59.091	13.470	---	---	24.053	24.682	-179.541	178.654	105.108	112.669	2.860	2.711	5.436	5.967	14.224	16.199	
8/3/2021	08:39:24	555.00		228.19	232.60	---	---	13.471	13.471	13.471	13.471	1017.52	59.112	13.471	---	---	24.056	24.619	-59.654	178.375	104.922	112.760	2.857	2.720	5.476	5.856	14.126	15.913	
8/3/2021	08:39:39	570.00		227.74	229.11	---	---	13.472	13.472	13.472	13.472	1017.46	59.091	13.472	---	---	24.077	24.795	-179.558	178.542	105.021	113.608	2.845	2.737	5.373	5.931	14.072	15.688	
8/3/2021	08:39:54	585.00		228.11	228.52	---	---	13.475	13.475	13.475	13.475	1017.45	59.071	13.475	---	---	24.058	24.825	59.998	178.905	104.583	113.704	2.877	2.723	5.617	5.941	13.733	15.495	
8/3/2021	08:40:09	600.00		229.23	226.73	---	---	13.471	13.471	13.471	13.471	1017.47	59.132	13.471	---	---	24.004	24.918	-59.994	179.119	104.195	114.054	2.853	2.745	5.723	6.078	13.639	15.530	
8/3/2021	08:40:24	615.00		228.90	226.75	---	---	13.468	13.468	13.468	13.468	1017.44	59.132	13.468	---	---	24.021	24.918	-60.092	179.013	103.986	114.159	2.884	2.682	5.821	6.274	14.162	15.370	
8/3/2021	08:40:39	630.00		228.48	227.28	---	---	13.469	13.469	13.469	13.469	1017.50	59.132	13.469	---	---	24.042	24.891	-179.215	178.687	104.227	114.116	2.826	2.740	6.010	6.229	14.362	15.886	
8/3/2021	08:40:54	645.00		226.88	226.42	---	---	13.465	13.465	13.465	13.465	1017.47	59.132	13.465	---	---	24.123	24.937	-179.423	178.983	104.497	114.161	2.835	2.747	6.059	6.203	14.257	15.644	
8/3/2021	08:41:09	660.00		225.71	226.85	---	---	13.469	13.469	13.469	13.469	1017.44	59.132	13.469	---	---	24.181	24.913	-59.490	178.493	104.719	114.174	2.868	2.717	5.962	6.248	14.299	15.931	
8/3/2021	08:41:24	675.00		225.39	226.42	---	---	13.462	13.462	13.462	13.462	1017.48	59.132	13.462	---	---	24.200	24.938	59.794	178.030	104.741	114.331	2.852	2.748	5.425	5.953	14.134	16.358	
8/3/2021	08:41:39	690.00		225.20	225.58	---	---	13.458	13.458	13.458	13.458	1017.51	59.132	13.458	---	---	24.211	24.983	-59.911	178.497	104.844	114.480	2.842	2.697	5.951	6.241	13.236	14.337	
8/3/2021	08:41:54	705.00		225.51	225.71	---	---	13.464	13.464	13.464	13.464	1017.47	59.132	13.464	---	---	24.193	24.974	-59.627	179.169	104.848	114.478	2.870	2.687	5.266	5.800	12.757	15.013	
8/3/2021	08:42:09	720.00		225.11	225.32	---	---	13.462	13.462	13.462	13.462	1017.43	59.132	13.462	---	---	24.214	24.995	59.604	59.227	104.964	114.627	2.871	2.698	4.896	5.597	12.167	14.293	
8/3/2021	08:42:24	735.00		224.78	225.03	---	---	13.461	13.461	13.461	13.461	1017.48	59.132	13.461	---	---	24.231	25.010	-59.671	179.032	105.076	114.763	2.852	2.714	5.236	5.664	11.856	13.688	
8/3/2021	08:42:39	750.00		224.02	223.94	---	---	13.453	13.453	13.453	13.453	1017.43	59.132	13.453	---	---	24.272	25.071	-179.269	179.030	105.160	114.951	2.864	2.739	5.595	6.080	12.924	14.813	
