
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SA7-530-200	3	ON External	21.500	ON	1013	30.000	40%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.009	16.525	1014	100.000	20.950	50.221	21.458	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.003	16.521	1015	100.000	20.950	51.696	22.200	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.993	16.428	1014	100.000	20.950	50.212	21.551	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.986	16.441	1014	100.000	20.950	49.598	21.172	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	7/31/2021	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
7/31/2021	17:01:01	0.00		242.30	183.00	169.32	165.60	15.921	15.921	15.921	15.921	1015.19	72.893	15.921	---	---	22.182	26.232	26.325	26.131	96.878	120.783	78.280	122.415	5.616	6.066	4.885	4.824	
7/31/2021	17:01:02	1.60		242.23	183.12	169.21	165.70	15.912	15.912	15.912	15.912	1015.17	72.893	15.912	---	---	22.188	26.227	26.335	26.127	96.865	120.776	78.317	122.507	5.647	6.055	4.886	4.851	
7/31/2021	17:01:03	2.67		242.15	183.31	169.41	165.78	15.892	15.892	15.892	15.892	1015.15	72.882	15.892	---	---	22.198	26.222	26.328	26.128	96.853	120.758	78.338	122.566	5.675	6.056	4.879	4.900	
7/31/2021	17:01:04	3.79		242.29	183.32	169.52	166.02	15.875	15.875	15.875	15.875	1015.12	72.882	15.875	---	---	22.198	26.227	26.327	26.118	96.852	120.761	77.998	122.599	5.712	6.066	4.908	4.938	
7/31/2021	17:01:05	4.88		242.52	183.53	169.49	166.18	15.859	15.859	15.859	15.859	1015.13	72.872	15.859	---	---	22.192	26.219	26.334	26.112	97.014	120.742	78.162	122.611	5.706	6.078	4.902	4.939	
7/31/2021	17:01:07	6.06		242.78	183.42	169.26	166.21	15.854	15.854	15.854	15.854	1015.14	72.872	15.854	---	---	22.182	26.228	26.352	26.111	97.170	120.704	77.599	122.629	5.693	6.090	4.919	4.922	
7/31/2021	17:01:08	7.18		242.64	183.67	169.47	166.28	15.850	15.850	15.850	15.850	1015.15	72.872	15.850	---	---	22.190	26.214	26.339	26.108	97.354	120.684	78.892	122.617	5.638	6.089	4.886	4.906	
7/31/2021	17:01:09	8.23		242.32	183.56	169.60	166.22	15.852	15.852	15.852	15.852	1015.17	72.872	15.852	---	---	22.203	26.220	26.330	26.112	97.483	120.682	79.480	122.601	5.607	6.088	4.889	4.893	
7/31/2021	17:01:10	9.35		242.12	183.64	169.77	166.29	15.854	15.854	15.854	15.854	1015.18	72.872	15.854	---	---	22.212	26.214	26.317	26.106	97.529	120.686	80.774	122.582	5.576	6.090	4.876	4.885	
7/31/2021	17:01:11	10.40		241.90	183.46	169.59	166.23	15.862	15.862	15.862	15.862	1015.14	72.872	15.862	---	---	22.219	26.223	26.327	26.108	97.651	120.686	80.647	122.606	5.612	6.083	4.881	4.878	
7/31/2021	17:01:12	11.44		242.29	183.35	169.42	166.11	15.866	15.866	15.866	15.866	1015.10	72.872	15.866	---	---	22.200	26.228	26.337	26.114	99.215	120.697	80.680	122.603	5.588	6.086	4.877	4.891	
7/31/2021	17:01:13	12.50		242.56	183.28	169.38	165.97	15.868	15.868	15.868	15.868	1015.05	72.872	15.868	---	---	22.187	26.233	26.339	26.123	101.551	120.747	80.597	122.618	5.618	6.070	4.868	4.897	
7/31/2021	17:01:14	13.48		237.02	183.21	169.39	165.99	15.861	15.861	15.861	15.861	1015.10	72.872	15.861	---	---	22.454	26.239	26.341	26.124	106.681	120.801	80.651	122.596	5.610	6.054	4.863	4.925	
